"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Carson Kelly","27","104","354","317","40","67","18","0","7","35","2","0","29","71",".211",".282",".334",".617","75","106","10","4","0","4","0"
"2","1B","Christian Walker","31","160","667","583","84","141","25","2","36","94","2","2","69","131",".242",".327",".477",".804","125","278","15","8","0","7","2"
"3","2B","Ketel Marte#","28","137","558","492","68","118","42","2","12","52","5","1","55","101",".240",".321",".407",".727","105","200","12","6","0","5","3"
"4","SS","Geraldo Perdomo#","22","148","500","431","58","84","10","2","5","40","9","2","50","103",".195",".285",".262",".547","57","113","3","5","12","2","0"
"5","3B","Josh Rojas*","28","125","510","443","66","119","25","1","9","56","23","3","55","98",".269",".349",".391",".739","110","173","7","2","5","5","2"
"6","LF","David Peralta*","34","87","310","278","29","69","19","2","12","41","1","2","27","74",".248",".316",".460",".777","117","128","6","2","0","3","4"
"7","CF","Alek Thomas*","22","113","411","381","45","88","17","1","8","39","4","3","22","74",".231",".275",".344",".619","75","131","6","3","0","5","0"
"8","RF","Daulton Varsho*","25","151","592","531","79","125","23","3","27","74","16","6","46","145",".235",".302",".443",".745","108","235","8","7","2","5","0"
"9","DH","Seth Beer*","25","38","126","111","4","21","3","0","1","9","0","0","11","31",".189",".278",".243",".521","50","27","3","3","0","1","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","OF","Jake McCarthy*","24","99","354","321","53","91","16","3","8","43","23","3","23","76",".283",".342",".427",".769","117","137","3","6","3","1","0"
"11","RF","Pavin Smith*","26","75","277","245","24","54","9","0","9","33","1","0","28","67",".220",".300",".367",".667","89","90","2","1","0","3","1"
"12","OF","Jordan Luplow","28","83","234","205","26","36","5","0","11","28","5","1","25","60",".176",".274",".361",".634","79","74","5","3","0","1","1"
"13","UT","Cooper Hummel#","27","66","201","176","20","31","8","3","3","17","4","1","23","64",".176",".274",".307",".580","65","54","4","1","0","1","0"
"14","3B","Sergio Alcántara#","25","71","186","170","23","41","8","1","6","26","1","0","10","45",".241",".283",".406",".688","93","69","6","1","2","3","0"
"15","3B","Emmanuel Rivera","26","39","148","132","22","30","8","0","6","18","1","2","12","37",".227",".304",".424",".728","104","56","1","3","0","1","0"
