"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Brian McCann*","26","143","566","479","63","129","25","0","21","77","5","2","74","98",".269",".375",".453",".828","124","217","12","9","0","4","10"
"2","1B","Troy Glaus","33","128","483","412","52","99","18","0","16","71","0","0","63","100",".240",".344",".400",".744","102","165","16","4","0","4","2"
"3","2B","Martín Prado","26","140","651","599","100","184","40","3","15","66","5","3","40","86",".307",".350",".459",".809","119","275","13","3","3","6","2"
"4","SS","Yunel Escobar","27","75","301","261","28","62","12","0","0","19","5","1","37","31",".238",".334",".284",".618","71","74","9","1","2","0","1"
"5","3B","Chipper Jones#","38","95","381","317","47","84","21","0","10","46","5","0","61","47",".265",".381",".426",".806","120","135","10","0","0","3","6"
"6","LF","Melky Cabrera#","25","147","509","458","50","117","27","3","4","42","7","1","42","64",".255",".317",".354",".671","83","162","8","1","5","3","11"
"7","CF","Nate McLouth*","28","85","288","242","30","46","12","1","6","24","7","2","33","57",".190",".298",".322",".620","69","78","3","5","6","2","2"
"8","RF","Jason Heyward*","20","142","623","520","83","144","29","5","18","72","11","6","91","128",".277",".393",".456",".849","131","237","13","10","0","2","2"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","IF","Omar Infante","28","134","506","471","65","151","15","3","8","47","7","6","29","62",".321",".359",".416",".775","111","196","14","0","4","2","1"
"10","UT","Eric Hinske*","32","131","320","281","38","72","21","1","11","51","0","0","33","75",".256",".338",".456",".793","114","128","4","3","0","3","5"
"11","SS","Álex González","33","72","292","267","27","64","17","2","6","38","0","2","14","53",".240",".291",".386",".676","83","103","7","6","3","2","2"
"12","LF","Matt Diaz","32","84","244","224","27","56","17","2","7","31","3","1","13","44",".250",".302",".438",".739","99","98","6","4","2","1","3"
"13","3B","Brooks Conrad#","30","103","177","156","31","39","11","1","8","33","5","1","16","45",".250",".324",".487",".811","117","76","0","1","4","0","0"
"14","1B","Derrek Lee","34","39","151","129","17","37","14","0","3","24","0","0","21","33",".287",".384",".465",".849","130","60","7","0","0","1","0"
"15","C","David Ross","33","59","145","121","15","35","13","2","2","28","0","1","20","28",".289",".392",".479",".871","136","58","5","1","2","1","0"
"16","CF","Rick Ankiel*","30","47","139","119","17","25","6","1","2","9","2","1","19","42",".210",".324",".328",".651","78","39","1","1","0","0","2"
"17","CF","Grégor Blanco*","26","36","66","58","9","18","1","1","0","3","1","2","8","15",".310",".394",".362",".756","108","21","2","0","0","0","1"
"18","1B","Freddie Freeman*","20","20","24","24","3","4","1","0","1","1","0","0","0","8",".167",".167",".333",".500","32","8","1","0","0","0","0"
"19","MI","Diory Hernández","26","20","10","9","5","1","0","0","1","1","0","0","0","4",".111",".111",".444",".556","42","4","0","0","1","0","0"
"20","IF","Brandon Hicks","24","16","6","5","7","0","0","0","0","0","0","0","1","2",".000",".167",".000",".167","-49","0","0","0","0","0","0"
"21","LF","Brent Clevlen","26","4","4","4","2","1","1","0","0","0","0","0","0","1",".250",".250",".500",".750","98","2","1","0","0","0","0"
"22","C","J.C. Boscán","30","1","1","0","1","0","0","0","0","0","0","0","1","0","","1.000","","","","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"23","P","Tim Hudson","34","33","85","77","4","15","4","0","0","4","0","0","0","21",".195",".195",".247",".442","19","19","0","0","8","0","0"
"24","P","Tommy Hanson","23","33","73","62","3","6","0","0","0","4","0","0","2","27",".097",".123",".097",".220","-39","6","0","0","8","1","0"
"25","P","Derek Lowe","37","32","69","53","6","8","4","0","0","3","0","0","5","14",".151",".224",".226",".451","23","12","1","0","11","0","0"
"26","P","Jair Jurrjens","24","20","46","39","2","5","1","0","0","2","0","0","2","14",".128",".190",".154",".344","-5","6","1","1","4","0","0"
"27","P","Kris Medlen#","24","31","33","27","2","5","1","0","0","2","0","0","3","14",".185",".290",".222",".513","42","6","0","1","2","0","0"
"28","P","Kenshin Kawakami","35","18","31","24","2","3","1","0","0","1","0","0","3","9",".125",".222",".167",".389","8","4","1","0","4","0","0"
"29","P","Mike Minor","22","9","11","10","0","0","0","0","0","0","0","0","1","7",".000",".091",".000",".091","-72","0","1","0","0","0","0"
"30","P","Brandon Beachy","23","3","6","5","1","1","0","0","0","0","0","0","1","4",".200",".333",".200",".533","50","1","0","0","0","0","0"
"31","P","Cristhian Martínez","28","18","4","4","0","0","0","0","0","0","0","0","0","3",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"32","P","Jo-Jo Reyes*","25","1","2","1","0","0","0","0","0","0","0","0","1","0",".000",".500",".000",".500","52","0","0","0","0","0","0"
"33","P","Mike Dunn*","25","25","2","2","1","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"34","P","Jonny Venters*","25","77","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"35","P","Takashi Saito*","40","54","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"36","P","Jesse Chavez","26","27","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"37","P","Eric O'Flaherty*","25","55","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Billy Wagner*","38","70","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Kyle Farnsworth","34","23","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Craig Kimbrel","22","21","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Scott Proctor","33","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Chris Resop","27","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Peter Moylan","31","84","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","28.6","162","6252","5463","738","1411","312","25","139","699","63","29","634","1140",".258",".339",".401",".740","101","2190","136","51","69","35","50"
"","","Rank in 16 NL teams","","","","11","5","7","1","13","11","","14","4","1","6","6","1","9","6","","10","","6","","13",""
"","","Non-Pitcher Totals","28.5","162","5887","5156","717","1368","301","25","139","683","63","29","616","1023",".265",".347",".414",".761","107","2136","132","49","32","34","50"
"","","Pitcher Totals","29.5","162","365","307","21","43","11","0","0","16","0","0","18","117",".140",".192",".176",".368","1","54","4","2","37","1","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
