"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Yan Gomes","35","116","419","382","44","102","20","2","10","63","1","0","21","81",".267",".315",".408",".723","93","156","9","9","0","7","1"
"2","1B","Trey Mancini","31","79","263","235","31","55","12","0","4","28","0","0","21","78",".234",".299",".336",".635","71","79","5","2","0","3","1"
"3","2B","Nico Hoerner","26","150","688","619","98","175","27","4","9","68","43","7","49","83",".283",".346",".383",".729","97","237","12","14","1","5","0"
"4","SS","Dansby Swanson","29","147","638","565","81","138","25","3","22","80","9","1","66","154",".244",".328",".416",".744","99","235","9","5","0","2","0"
"5","3B","Nick Madrigal","26","92","294","270","34","71","16","1","2","28","10","2","10","24",".263",".311",".352",".663","79","95","3","9","5","0","0"
"6","LF","Ian Happ#","28","158","691","580","86","144","35","4","21","84","14","3","99","153",".248",".360",".431",".791","112","250","12","6","0","6","2"
"7","CF","Cody Bellinger*","27","130","556","499","95","153","29","1","26","97","20","6","40","87",".307",".356",".525",".881","133","262","7","5","0","12","3"
"8","RF","Seiya Suzuki","28","138","583","515","75","147","31","6","20","74","6","7","59","130",".285",".357",".485",".842","124","250","8","2","0","7","3"
"9","DH","Christopher Morel","24","107","429","388","62","96","17","3","26","70","6","2","36","133",".247",".313",".508",".821","116","197","7","2","1","2","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","CF","Mike Tauchman*","32","108","401","337","64","85","18","0","8","48","7","1","56","86",".252",".363",".377",".739","100","127","3","4","1","3","1"
"11","3B","Patrick Wisdom","31","97","302","268","43","55","8","1","23","46","4","2","30","111",".205",".289",".500",".789","107","134","4","2","1","1","0"
"12","CI","Jeimer Candelario#","29","41","157","137","20","32","9","1","6","17","2","0","17","39",".234",".318",".445",".764","103","61","1","1","0","2","0"
"13","C","Miguel Amaya","24","53","156","131","17","28","4","0","5","18","0","0","12","40",".214",".329",".359",".688","86","47","2","11","1","1","0"
"14","3B","Miles Mastrobuoni*","27","60","149","133","24","32","5","0","1","5","13","1","13","32",".241",".308",".301",".609","65","40","1","0","3","0","0"
"15","C","Tucker Barnhart*","32","43","123","109","6","22","3","0","1","9","1","0","12","42",".202",".285",".257",".541","48","28","4","1","0","1","0"
"16","DH","Eric Hosmer*","33","31","100","94","7","22","3","0","2","14","0","0","6","25",".234",".280",".330",".610","64","31","5","0","0","0","0"
"17","1B","Matt Mervis*","25","27","99","90","8","15","2","0","3","11","0","0","8","32",".167",".242",".289",".531","43","26","1","1","0","0","0"
"18","1B","Jared Young*","27","16","47","43","8","8","0","3","2","8","2","0","3","13",".186",".255",".465",".720","88","20","1","1","0","0","0"
"19","DH","Edwin Ríos*","29","18","34","28","3","2","1","0","1","2","0","0","5","16",".071",".235",".214",".450","23","6","0","1","0","0","0"
"20","OF","Nelson Velázquez","24","13","32","29","8","7","2","0","3","6","0","0","3","8",".241",".313",".621",".933","143","18","1","0","0","0","0"
"21","DH","Luis Torrens","27","13","22","20","1","5","1","0","0","3","0","0","1","8",".250",".318",".300",".618","68","6","0","1","0","0","0"
"22","CF","Pete Crow-Armstrong*","21","13","19","14","3","0","0","0","0","1","2","2","3","7",".000",".176",".000",".176","-46","0","0","0","2","0","0"
"23","OF","Alexander Canario","23","6","17","17","1","5","1","1","1","6","0","0","0","8",".294",".294",".647",".941","143","11","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"24","P","Michael Fulmer","30","2","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"25","P","Jeremiah Estrada#","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Jameson Taillon","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Justin Steele*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Tyler Duffey","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Keegan Thompson","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Drew Smyly*","34","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Javier Assad","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Kyle Hendricks","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Hayden Wesneski","25","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Jordan Wicks*","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Brad Boxberger","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Brandon Hughes#","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Adbert Alzolay","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Daniel Palencia","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Marcus Stroman","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Julian Merryweather","31","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","José Cuas","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Anthony Kay*","28","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Caleb Kilian","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Nick Burdi","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Mark Leiter Jr.","32","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Luke Little*","22","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Shane Greene","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Michael Rucker","29","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","28.5","162","6220","5504","819","1399","269","30","196","786","140","34","570","1391",".254",".330",".421",".751","101","2316","95","77","15","52","11"
"","","Rank in 15 NL teams","","","","6","3","6","9","5","8","","4","13","4","9","5","3","4","4","","4","","6","","2",""
"","","Non-Pitcher Totals","28.5","162","6219","5503","819","1399","269","30","196","786","140","34","570","1390",".254",".330",".421",".751","101","2316","95","77","15","52","11"
"","","Pitcher Totals","8.6","162","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
