"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Tucker Barnhart*","30","116","388","348","41","86","21","0","7","48","0","0","29","100",".247",".317",".368",".685","77","128","8","8","0","3","1"
"2","1B","Joey Votto*","37","129","533","448","73","119","23","1","36","99","1","0","77","127",".266",".375",".563",".938","139","252","7","4","0","4","6"
"3","2B","Jonathan India","24","150","631","532","98","143","34","2","21","69","12","3","71","141",".269",".376",".459",".835","116","244","13","23","1","4","1"
"4","SS","Kyle Farmer","30","147","529","483","60","127","22","2","16","63","2","3","22","97",".263",".316",".416",".732","88","201","16","18","1","5","1"
"5","3B","Eugenio Suárez","29","145","574","505","71","100","23","0","31","79","0","1","56","171",".198",".286",".428",".713","82","216","14","8","0","5","0"
"6","LF","Jesse Winker*","27","110","485","423","77","129","32","1","24","71","1","0","53","75",".305",".394",".556",".949","143","235","14","9","0","0","1"
"7","CF","Tyler Naquin*","30","127","454","411","52","111","24","2","19","70","5","3","35","106",".270",".333",".477",".809","107","196","9","5","0","3","1"
"8","RF","Nick Castellanos","29","138","585","531","95","164","38","1","34","100","3","1","41","121",".309",".362",".576",".939","138","306","16","7","0","6","5"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","UT","Tyler Stephenson","24","132","402","350","56","100","21","0","10","45","0","0","41","75",".286",".366",".431",".797","106","151","11","6","0","5","1"
"10","3B","Mike Moustakas*","32","62","206","183","21","38","12","0","6","22","0","0","18","46",".208",".282",".372",".653","68","68","6","2","0","3","0"
"11","OF","Aristides Aquino","27","84","204","174","25","33","6","1","10","23","2","2","27","75",".190",".299",".408",".707","81","71","0","1","0","2","2"
"12","CF","Shogo Akiyama*","33","88","183","162","16","33","8","0","0","12","2","3","14","40",".204",".282",".253",".535","41","41","1","4","1","1","1"
"13","LF","Max Schrock*","26","53","134","125","19","36","7","2","3","14","1","1","8","24",".288",".328",".448",".776","99","56","0","0","0","1","1"
"14","CF","Nick Senzel","26","36","124","111","18","28","4","0","1","8","2","5","12","16",".252",".323",".315",".638","67","35","3","0","0","1","0"
"15","UT","Alex Blandino","28","43","82","70","9","14","4","0","0","5","1","0","8","28",".200",".317",".257",".574","52","18","0","4","0","0","0"
"16","UT","Mike Freeman*","33","37","65","59","6","11","0","0","0","3","1","1","5","20",".186",".262",".186",".448","20","11","1","1","0","0","1"
"17","OF","Delino DeShields","28","25","58","47","4","12","5","0","1","6","2","1","9","11",".255",".375",".426",".801","108","20","0","0","2","0","0"
"18","UT","José Barrero","23","21","56","50","4","10","4","1","0","3","1","0","3","17",".200",".286",".320",".606","57","16","2","3","0","0","0"
"19","OF","TJ Friedl*","25","14","36","31","9","9","1","0","1","2","0","0","4","2",".290",".361",".419",".780","102","13","0","0","0","1","0"
"20","UT","Scott Heineman","28","19","34","30","5","3","0","0","2","3","0","0","3","15",".100",".206",".300",".506","29","9","1","1","0","0","0"
"21","CI","Asdrúbal Cabrera#","35","20","31","26","0","2","0","0","0","2","0","0","3","7",".077",".194",".077",".270","-25","2","2","1","0","1","0"
"22","OF","Mark Payton*","29","24","24","22","2","4","0","0","0","0","0","0","2","7",".182",".250",".182",".432","15","4","0","0","0","0","0"
"23","UT","Alejo López#","25","14","23","23","3","6","0","0","0","0","0","0","0","5",".261",".261",".261",".522","36","6","1","0","0","0","0"
