"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Austin Hedges","29","105","338","294","26","48","4","0","7","30","2","0","25","78",".163",".241",".248",".489","42","73","12","6","10","3","0"
"2","1B","Josh Naylor*","25","122","498","449","47","115","28","0","20","79","6","1","38","80",".256",".319",".452",".771","121","203","13","6","0","5","4"
"3","2B","Andrés Giménez*","23","146","557","491","66","146","26","3","17","69","20","3","34","112",".297",".371",".466",".837","141","229","9","25","4","3","4"
"4","SS","Amed Rosario","26","153","670","637","86","180","26","9","11","71","18","4","25","111",".283",".312",".403",".715","106","257","19","4","0","4","0"
"5","3B","José Ramírez#","29","157","685","601","90","168","44","5","29","126","20","7","69","82",".280",".355",".514",".869","148","309","5","6","0","9","20"
"6","LF","Steven Kwan*","24","147","638","563","89","168","25","7","6","52","19","5","62","60",".298",".373",".400",".772","124","225","9","7","2","4","2"
"7","CF","Myles Straw","27","152","596","535","72","118","22","3","0","32","21","1","54","87",".221",".291",".273",".564","65","146","4","1","2","4","0"
"8","RF","Oscar González","24","91","382","362","39","107","27","0","11","43","1","2","15","75",".296",".327",".461",".789","125","167","6","3","0","2","2"
"9","DH","Franmil Reyes","26","70","280","263","24","56","9","0","9","28","2","0","14","104",".213",".254",".350",".603","73","92","8","1","0","2","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","IF","Owen Miller","25","130","472","424","53","103","26","1","6","51","2","0","32","93",".243",".301",".351",".652","89","149","8","7","0","9","1"
"11","C","Luke Maile","31","76","206","181","19","40","10","0","3","17","0","0","19","54",".221",".301",".326",".627","82","59","6","3","0","3","0"
"12","IF","Ernie Clement","26","63","161","145","18","29","3","0","0","6","0","1","11","24",".200",".264",".221",".485","43","32","3","2","2","1","0"
"13","RF","Óscar Mercado","27","54","127","120","17","25","6","1","4","16","2","2","5","28",".208",".244",".375",".619","76","45","8","1","0","1","0"
"14","LF","Richie Palacios*","25","54","123","112","7","26","6","0","0","10","2","0","9","20",".232",".293",".286",".578","69","32","2","1","0","1","1"
"15","RF","Nolan Jones*","24","28","94","86","10","21","5","0","2","13","0","0","8","31",".244",".309",".372",".681","96","32","2","0","0","0","1"
"16","IF","Tyler Freeman","23","24","86","77","9","19","3","0","0","3","1","0","4","11",".247",".314",".286",".600","76","22","2","4","0","1","0"
"17","OF","Will Benson*","24","28","61","55","8","10","1","0","0","3","0","0","3","19",".182",".250",".200",".450","33","11","1","2","1","0","0"
"18","IF","Gabriel Arias","22","16","57","47","9","9","1","1","1","5","1","0","8","16",".191",".321",".319",".641","87","15","1","1","1","0","0"
"19","OF","Will Brennan*","24","11","45","42","6","15","1","1","1","8","2","1","2","4",".357",".400",".500",".900","159","21","0","1","0","0","1"
"20","C","Sandy León#","33","8","21","15","0","2","0","0","0","0","0","0","6","4",".133",".381",".133",".514","59","2","1","0","0","0","0"
"21","1B","Bobby Bradley*","26","8","17","17","1","2","0","0","0","0","0","0","0","9",".118",".118",".118",".235","-31","2","0","0","0","0","0"
"22","OF","Alex Call","27","12","16","12","2","2","0","0","0","0","0","0","4","4",".167",".375",".167",".542","65","2","0","0","0","0","0"
"23","C","Bryan Lavastida","23","6","15","12","0","1","0","0","0","0","0","0","3","4",".083",".267",".083",".350","8","1","0","0","0","0","0"
"24","IF","Yu Chang","26","4","10","10","0","0","0","0","0","0","0","0","0","7",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"25","C","Bo Naylor*","22","5","8","8","0","0","0","0","0","0","0","0","0","5",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"26","P","Logan Allen","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Anthony Gose*","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Triston McKenzie","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Xzavion Curry","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Emmanuel Clase","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Ian Gibaut","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Shane Bieber","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","James Karinchak","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Hunter Gaddis","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Kirk McCarty*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Konnor Pilkington*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Eli Morgan","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Trevor Stephan","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Yohan Ramírez","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Aaron Civale","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Cal Quantrill*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Nick Sandlin","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Bryan Shaw#","34","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Zach Plesac","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Anthony Castro","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Sam Hentges*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Enyel De Los Santos","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Tanner Tully*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Cody Morris","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Alex Young*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","26.0","162","6163","5558","698","1410","273","31","127","662","119","27","450","1122",".254",".316",".383",".699","102","2126","119","81","22","52","36"
"","","Rank in 15 AL teams","","","","2","6","4","6","2","14","","2","7","11","1","4","6","11","7","","8","","3","","1",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
