"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Elías Díaz","32","141","526","486","48","130","25","1","14","72","1","0","34","118",".267",".316",".409",".725","86","199","12","2","0","4","0"
"2","1B","Elehuris Montero","24","85","307","284","40","69","15","2","11","39","0","0","15","111",".243",".290",".426",".716","82","121","5","5","0","3","0"
"3","2B","Harold Castro*","29","99","270","258","24","65","13","0","1","31","1","0","9","66",".252",".275",".314",".589","52","81","5","0","1","2","0"
"4","SS","Ezequiel Tovar","21","153","615","581","79","147","37","4","15","73","11","5","25","166",".253",".287",".408",".695","77","237","10","4","2","3","0"
"5","3B","Ryan McMahon*","28","152","627","555","80","133","31","3","23","70","5","5","68","198",".240",".322",".431",".753","93","239","19","1","0","3","2"
"6","LF","Jurickson Profar#","30","111","472","415","51","98","25","2","8","39","1","0","45","86",".236",".316",".364",".680","76","151","9","6","0","5","0"
"7","CF","Brenton Doyle","25","126","431","399","48","81","16","5","10","48","22","5","22","151",".203",".250",".343",".593","52","137","9","4","3","3","0"
"8","RF","Kris Bryant","31","80","335","300","36","70","10","0","10","31","0","0","29","68",".233",".313",".367",".680","76","110","6","6","0","0","0"
"9","DH","Charlie Blackmon*","36","96","413","359","57","100","24","5","8","40","4","1","39","55",".279",".363",".440",".803","107","158","6","11","0","4","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","OF","Nolan Jones*","25","106","424","367","60","109","22","4","20","62","20","4","53","126",".297",".389",".542",".931","138","199","1","3","0","1","3"
"11","OF","Randal Grichuk","31","64","263","240","40","74","19","1","8","27","2","2","18","51",".308",".365",".496",".861","120","119","6","4","0","1","2"
"12","IF","Alan Trejo","27","82","227","207","24","48","11","0","4","26","5","1","16","51",".232",".288",".343",".631","63","71","3","1","1","2","0"
"13","1B","C.J. Cron","33","56","224","208","31","54","12","0","11","32","0","0","13","50",".260",".304",".476",".780","98","99","10","1","0","2","0"
"14","2B","Brendan Rodgers","26","46","192","178","21","46","9","1","4","20","0","0","11","41",".258",".313",".388",".700","80","69","6","3","0","0","0"
"15","UT","Michael Toglia#","24","45","152","141","18","23","5","0","4","9","1","1","10","50",".163",".224",".284",".507","30","40","3","1","0","0","0"
"16","1B","Mike Moustakas*","34","47","136","115","21","31","7","0","4","17","0","0","17","34",".270",".360",".435",".795","105","50","1","1","0","3","1"
"17","C","Austin Wynns","32","45","131","117","11","25","5","0","1","8","1","0","8","32",".214",".273",".282",".555","45","33","4","2","3","1","0"
"18","CF","Yonathan Daza","29","24","80","74","8","20","6","0","0","7","1","0","3","13",".270",".304",".351",".655","69","26","5","1","1","1","0"
"19","UT","Hunter Goodman","23","23","77","70","6","14","4","3","1","17","1","0","5","24",".200",".247",".386",".632","60","27","2","0","0","2","0"
"20","OF","Sean Bouchard","27","21","43","38","11","12","2","0","4","7","0","1","4","14",".316",".372",".684","1.056","165","26","0","0","0","1","0"
"21","IF","Coco Montes","26","18","41","38","3","7","2","0","1","3","0","0","2","12",".184",".244",".316",".560","44","12","0","1","0","0","0"
"22","DH","Jorge Alfaro","30","10","32","31","2","5","4","0","1","4","0","0","0","12",".161",".188",".387",".575","43","12","2","1","0","0","0"
"23","C","Brian Serven","28","11","23","23","0","3","1","0","0","1","0","0","0","10",".130",".130",".174",".304","-22","4","0","0","0","0","0"
"24","OF","Cole Tucker#","26","5","10","8","2","4","0","0","0","2","0","0","1","2",".500",".600",".500","1.100","190","4","0","1","0","0","0"
"25","SS","Connor Kaiser","26","3","4","4","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"26","P","Chase Anderson","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Antonio Senzatela","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Tyler Kinley","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Gavin Hollowell","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Riley Pint","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Chris Flexen","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Matt Carasiti","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Pierce Johnson","32","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Noah Davis","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Austin Gomber*","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Kyle Freeland*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Victor Vodnik","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Brent Suter*","33","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Ryan Feltner","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Justin Bruihl*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Fernando Abad*","37","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Connor Seabold","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Blair Calvo","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Karl Kauffmann","25","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Tommy Doyle","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Justin Lawrence","28","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Daniel Bard","38","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Ty Blach","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Brad Hand*","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Jake Bird","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Dinelson Lamet","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Germán Márquez","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","Matt Koch*","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","Peter Lambert","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"55","P","Evan Justice*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"56","P","José Ureña","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"57","P","Nick Mears","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","28.3","162","6055","5496","721","1368","305","31","163","685","76","25","447","1543",".249",".310",".405",".715","83","2224","124","59","11","41","8"
"","","Rank in 15 NL teams","","","","9","9","9","1","3","13","","14","4","13","15","9","15","10","11","","9","","10","","8",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
