"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Iván Rodríguez","35","129","515","502","50","141","31","3","11","63","2","2","9","96",".281",".294",".420",".714","84","211","16","1","1","2","1"
"2","1B","Sean Casey*","32","143","496","453","40","134","30","1","4","54","2","2","39","42",".296",".353",".393",".746","95","178","9","2","0","2","11"
"3","2B","Plácido Polanco","31","142","641","587","105","200","36","3","9","67","7","3","37","30",".341",".388",".458",".846","121","269","9","11","2","4","3"
"4","SS","Carlos Guillén#","31","151","630","564","86","167","35","9","21","102","13","8","55","93",".296",".357",".502",".859","122","283","14","3","0","8","10"
"5","3B","Brandon Inge","30","151","577","508","64","120","25","2","14","71","9","2","47","150",".236",".312",".376",".688","79","191","8","11","7","4","5"
"6","LF","Craig Monroe","30","99","372","343","47","76","19","0","11","55","0","3","20","94",".222",".264",".373",".637","65","128","10","2","1","6","0"
"7","CF","Curtis Granderson*","26","158","676","612","122","185","38","23","23","74","26","1","52","141",".302",".361",".552",".913","135","338","3","5","5","2","3"
"8","RF","Magglio Ordóñez","33","157","679","595","117","216","54","0","28","139","4","1","76","79",".363",".434",".595","1.029","166","354","20","2","0","5","8"
"9","DH","Gary Sheffield","38","133","593","494","107","131","20","1","25","75","22","5","84","71",".265",".378",".462",".839","119","228","10","9","0","6","2"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Marcus Thames","30","86","284","269","37","65","15","0","18","54","2","1","13","72",".242",".278",".498",".776","98","134","6","1","0","1","1"
"11","C","Mike Rabelo#","27","51","185","168","14","43","10","2","1","18","0","0","6","41",".256",".300",".357",".657","71","60","4","5","5","1","0"
"12","UT","Omar Infante","25","66","178","166","24","45","6","1","2","17","4","1","9","29",".271",".307",".355",".662","73","59","4","0","2","1","0"
"13","UT","Ryan Raburn","26","49","148","138","28","42","12","2","4","27","3","0","8","33",".304",".340",".507",".847","118","70","7","0","1","1","1"
"14","LF","Timo Pérez*","32","29","96","90","12","35","9","2","0","13","1","1","6","6",".389",".427",".533",".960","150","48","5","0","0","0","0"
"15","SS","Ramón Santiago#","27","32","74","67","10","19","5","1","0","7","3","0","1","10",".284",".324",".388",".712","86","26","0","3","3","0","0"
"16","IF","Neifi Pérez#","34","33","71","64","5","11","3","0","1","6","0","0","4","8",".172",".221",".266",".486","27","17","2","0","3","0","0"
"17","CI","Mike Hessman","29","17","57","51","7","12","0","0","4","12","0","0","5","17",".235",".298",".471",".769","98","24","0","0","0","1","0"
"18","OF","Cameron Maybin","20","24","53","49","8","7","3","0","1","2","5","0","3","21",".143",".208",".265",".473","23","13","0","1","0","0","0"
"19","OF","Brent Clevlen","23","13","10","10","2","1","0","0","0","0","0","0","0","7",".100",".100",".100",".200","-47","1","1","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"20","P","Jeremy Bonderman","24","2","6","6","1","1","0","0","0","0","0","0","0","3",".167",".167",".167",".333","-12","1","0","0","0","0","0"
"21","P","Justin Verlander","24","2","5","4","0","0","0","0","0","0","0","0","0","3",".000",".000",".000",".000","-100","0","0","0","1","0","0"
