"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Martín Maldonado","36","116","407","362","33","69","12","0","15","36","0","0","30","139",".191",".258",".348",".606","66","126","10","3","12","0","0"
"2","1B","José Abreu","36","141","594","540","62","128","23","1","18","90","0","1","42","130",".237",".296",".383",".680","87","207","16","6","0","6","1"
"3","2B","José Altuve","33","90","410","360","76","112","21","2","17","51","14","2","44","71",".311",".393",".522",".915","151","188","9","5","0","1","0"
"4","SS","Jeremy Peña","25","150","634","577","81","152","32","3","10","52","13","9","43","129",".263",".324",".381",".705","95","220","11","9","1","1","1"
"5","3B","Alex Bregman","29","161","724","622","103","163","28","4","25","98","3","1","92","87",".262",".363",".441",".804","122","274","22","8","0","2","1"
"6","LF","Corey Julks","27","93","323","298","35","73","14","0","6","33","15","3","22","75",".245",".297",".352",".650","79","105","6","1","0","2","0"
"7","CF","Jake Meyers","27","112","341","309","42","70","16","1","10","33","5","2","26","88",".227",".296",".382",".678","86","118","2","5","0","1","0"
"8","RF","Kyle Tucker*","26","157","674","574","97","163","37","5","29","112","30","5","80","92",".284",".369",".517",".886","142","297","11","3","0","10","9"
"9","DH","Yordan Álvarez*","26","114","496","410","77","120","24","1","31","97","0","0","69","92",".293",".407",".583",".990","170","239","7","13","0","4","5"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Mauricio Dubón","28","132","492","467","76","130","26","3","10","46","7","2","19","70",".278",".309",".411",".720","97","192","10","3","0","3","0"
"11","OF","Chas McCormick","28","115","457","403","59","110","17","2","22","70","19","6","40","117",".273",".353",".489",".842","130","197","3","11","1","2","0"
"12","C","Yainer Diaz","24","104","377","355","51","100","22","0","23","60","0","0","11","74",".282",".308",".538",".846","128","191","12","5","0","6","0"
"13","IF","David Hensley","27","30","94","84","12","10","1","0","1","3","1","0","10","35",".119",".213",".167",".379","8","14","0","0","0","0","0"
"14","1B","Jon Singleton*","31","25","73","62","8","12","2","0","2","10","0","0","10","12",".194",".301",".323",".624","73","20","2","0","0","1","0"
"15","LF","Michael Brantley*","36","15","57","54","7","15","2","0","2","7","0","0","2","2",".278",".298",".426",".724","98","23","2","0","0","1","0"
"16","IF","Grae Kessinger","25","26","45","40","3","8","2","0","1","1","0","1","5","12",".200",".289",".325",".614","70","13","0","0","0","0","0"
"17","UT","Bligh Madris*","27","12","30","26","4","4","1","0","0","0","0","0","4","7",".154",".267",".192",".459","31","5","0","0","0","0","0"
"18","C","César Salazar*","27","13","19","18","1","2","0","0","0","0","0","0","1","6",".111",".158",".111",".269","-23","2","1","0","0","0","0"
"19","2B","Rylan Bannon","27","2","6","6","0","0","0","0","0","0","0","0","0","3",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"20","P","Justin Verlander","40","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"21","P","Kendall Graveman","32","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"22","P","Hunter Brown","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"23","P","J.P. France","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"24","P","Bennett Sousa*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Joel Kuhnel","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Ryan Pressly","34","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Héctor Neris","34","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Ronel Blanco","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Ryne Stanek","31","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Matt Gage*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Parker Mushinski*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Seth Martinez","28","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Cristian Javier","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Phil Maton","30","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Brandon Bielak*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","José Urquidy","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Rafael Montero","32","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Shawn Dubin","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Luis García Jr.","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Framber Valdez","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Bryan Abreu","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","28.8","162","6253","5567","827","1441","280","22","222","799","107","32","550","1241",".259",".331",".437",".768","111","2431","124","72","14","40","17"
"","","Rank in 15 AL teams","","","","2","3","2","8","8","5","","8","11","4","2","3","2","3","3","","3","","6","","6",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
