"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Will Smith","28","126","554","464","80","121","21","2","19","76","3","0","63","89",".261",".359",".438",".797","114","203","8","15","0","12","2"
"2","1B","Freddie Freeman*","33","161","730","637","131","211","59","2","29","102","23","1","72","121",".331",".410",".567",".976","161","361","14","16","0","5","12"
"3","2B","Miguel Vargas","23","81","304","256","36","50","15","4","7","32","3","2","38","61",".195",".305",".367",".672","81","94","1","4","1","4","1"
"4","SS","Miguel Rojas","34","124","423","385","49","91","16","1","5","31","8","3","26","48",".236",".290",".322",".612","66","124","12","5","2","5","0"
"5","3B","Max Muncy*","32","135","579","482","95","102","17","1","36","105","1","2","85","153",".212",".333",".475",".808","115","229","8","6","0","6","4"
"6","LF","David Peralta*","35","133","422","394","47","102","25","1","7","55","4","1","20","72",".259",".294",".381",".675","81","150","8","2","0","6","1"
"7","CF","James Outman*","26","151","567","483","86","120","16","3","23","70","16","3","68","181",".248",".353",".437",".790","112","211","4","12","0","4","1"
"8","RF","Mookie Betts","30","152","693","584","126","179","40","1","39","107","14","3","96","107",".307",".408",".579",".987","163","338","5","8","0","5","3"
"9","DH","J.D. Martinez","35","113","479","432","61","117","27","2","33","103","1","0","34","149",".271",".321",".572",".893","134","247","11","2","0","9","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Chris Taylor","32","117","384","338","51","80","15","1","15","56","16","3","41","125",".237",".326",".420",".746","100","142","2","4","0","1","2"
"11","RF","Jason Heyward*","33","124","377","334","56","90","23","0","15","40","2","2","34","64",".269",".340",".473",".813","117","158","7","3","0","3","1"
"12","C","Austin Barnes","33","59","200","178","15","32","5","0","2","11","2","1","17","43",".180",".256",".242",".498","36","43","7","2","1","2","0"
"13","UT","Enrique Hernández","31","54","185","168","19","44","12","0","5","30","1","0","12","29",".262",".308",".423",".731","95","71","6","1","0","4","1"
