"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Jacob Stallings","32","114","384","346","25","77","12","0","4","34","0","1","29","83",".223",".292",".292",".584","67","101","15","6","1","2","0"
"2","1B","Jesús Aguilar","32","113","456","415","37","98","18","0","15","49","1","0","27","106",".236",".286",".388",".674","89","161","8","4","0","5","1"
"3","2B","Jazz Chisholm Jr.*","24","60","241","213","39","54","10","4","14","45","12","5","21","66",".254",".325",".535",".860","138","114","0","3","0","3","0"
"4","SS","Miguel Rojas","33","140","507","471","34","111","19","2","6","36","9","3","26","61",".236",".283",".323",".605","71","152","12","6","1","3","1"
"5","3B","Brian Anderson","29","98","383","338","43","75","16","1","8","28","1","0","37","101",".222",".311",".346",".657","86","117","7","7","0","1","2"
"6","LF","Jorge Soler","30","72","306","270","32","56","13","0","13","34","0","2","31","90",".207",".295",".400",".695","95","108","9","3","0","1","1"
"7","CF","Jesús Sánchez*","24","98","343","313","38","67","14","3","13","36","1","0","26","92",".214",".280",".403",".682","90","126","7","3","0","1","0"
"8","RF","Avisaíl García","31","98","380","357","31","80","9","0","8","35","4","0","17","109",".224",".266",".317",".582","64","113","12","4","0","2","0"
"9","DH","Garrett Cooper","31","119","469","414","37","108","33","2","9","50","0","0","40","119",".261",".337",".415",".752","112","172","6","10","0","5","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","IF","Jon Berti","32","102","404","358","47","86","17","3","4","28","41","5","42","89",".240",".324",".338",".662","88","121","6","3","0","1","0"
"11","IF","Joey Wendle*","32","101","371","347","27","90","24","1","3","32","12","3","15","50",".259",".297",".360",".658","85","125","7","5","1","3","0"
"12","OF","Bryan De La Cruz","25","115","355","329","38","83","20","0","13","43","4","0","19","90",".252",".294",".432",".725","102","142","8","2","0","4","0"
"13","C","Nick Fortes","25","72","240","217","41","50","6","1","9","24","5","3","18","45",".230",".304",".392",".696","95","85","5","5","0","0","0"
"14","OF","JJ Bleday*","24","65","238","204","21","34","10","2","5","16","4","1","30","67",".167",".277",".309",".586","66","63","5","2","0","2","0"
"15","1B","Lewin Díaz*","25","58","174","160","12","27","4","0","5","11","1","0","11","54",".169",".224",".288",".512","44","46","3","1","0","2","0"
"16","2B","Charles Leblanc","26","48","169","156","18","41","10","0","4","11","4","2","12","53",".263",".320",".404",".723","103","63","0","1","0","0","0"
"17","UT","Luke Williams","25","71","124","115","20","27","4","1","1","3","11","4","9","40",".235",".290",".313",".603","71","36","1","0","0","0","1"
"18","OF","Peyton Burdick","25","32","102","92","8","19","4","0","4","11","1","0","8","35",".207",".284",".380",".665","86","35","1","2","0","0","0"
"19","OF","Jerar Encarnación","24","23","81","77","7","14","3","0","3","14","2","0","3","32",".182",".210",".338",".548","52","26","3","0","0","1","0"
"20","3B","Jordan Groshans","22","17","65","61","9","16","0","0","1","2","0","0","4","13",".262",".308",".311",".619","76","19","2","0","0","0","0"
"21","IF","Willians Astudillo","30","21","55","54","5","13","0","0","1","4","1","0","1","3",".241",".255",".296",".551","56","16","2","0","0","0","0"
"22","IF","Erik González","30","16","41","37","4","7","1","0","0","3","1","0","4","12",".189",".268",".216",".485","40","8","1","0","0","0","0"
"23","C","Payton Henry","25","15","35","28","2","4","0","0","0","4","0","0","5","8",".143",".314",".143",".457","36","4","0","2","0","0","0"
"24","OF","Billy Hamilton","31","20","15","13","9","1","0","0","0","0","7","0","1","8",".077",".143",".077",".220","-35","1","0","0","1","0","0"
"25","IF","Joe Dunand","26","3","11","10","2","3","1","0","1","1","0","0","0","3",".300",".364",".700","1.064","192","7","0","1","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"26","P","Cody Poteet","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Andrew Nardi*","23","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Elieser Hernández","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Anthony Bass","34","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Richard Bleier*","35","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Jordan Holloway","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Tanner Scott","27","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Bryan Hoeing","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Zach Pop","25","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Louis Head","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Braxton Garrett","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","A.J. Ladwig","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Jimmy Yacabonis","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Jeff Brigham","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Huascar Brazobán","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Sandy Alcántara","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Tommy Nance","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Edward Cabrera","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Nick Neidert","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Daniel Castano*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Shawn Armstrong","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Max Meyer*","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Jake Fishman*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Trevor Rogers*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Jesús Luzardo*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Pablo López*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Dylan Floro*","31","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","Anthony Bender","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","Aneurys Zabala","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"55","P","Cole Sulser","32","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"56","P","Steven Okert*","30","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","29.0","162","5949","5395","586","1241","248","20","144","554","122","29","436","1429",".230",".294",".363",".658","85","1961","120","70","4","36","6"
"","","Rank in 15 NL teams","","","","11","15","13","13","9","14","","1","8","15","9","13","14","15","14","","14","","7","","11",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
