"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","William Contreras","25","141","611","540","86","156","38","1","17","78","6","1","63","126",".289",".367",".457",".825","125","247","23","5","1","2","2"
"2","1B","Rowdy Tellez*","28","105","351","311","26","67","9","1","13","47","0","0","35","86",".215",".291",".376",".667","82","117","11","0","0","5","2"
"3","2B","Brice Turang*","23","137","448","404","46","88","9","3","6","34","26","4","38","94",".218",".285",".300",".585","62","121","9","1","3","2","1"
"4","SS","Willy Adames","27","149","638","553","73","120","29","2","24","80","5","3","71","165",".217",".310",".407",".717","95","225","12","6","0","6","1"
"5","3B","Brian Anderson","30","96","361","318","38","72","12","3","9","40","1","3","36","108",".226",".310",".368",".678","86","117","10","4","0","3","0"
"6","LF","Christian Yelich*","31","144","632","550","106","153","34","1","19","76","28","3","78","140",".278",".370",".447",".818","124","246","15","3","0","1","7"
"7","CF","Joey Wiemer","24","132","410","367","48","75","19","0","13","42","11","4","36","116",".204",".283",".362",".645","76","133","4","5","0","2","0"
"8","RF","Tyrone Taylor","29","81","243","231","36","54","17","1","10","35","9","0","8","55",".234",".267",".446",".713","91","103","10","3","0","1","0"
"9","DH","Jesse Winker*","29","61","197","166","16","33","5","0","1","23","0","0","26","51",".199",".320",".247",".567","60","41","0","4","0","1","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","IF","Andruw Monasterio","26","92","315","282","38","73","14","1","3","27","7","2","28","66",".259",".330",".348",".678","87","98","9","3","0","2","0"
"11","IF","Owen Miller","26","90","314","291","29","76","17","0","5","27","13","2","17","61",".261",".303",".371",".674","84","108","6","2","0","4","1"
"12","1B","Carlos Santana#","37","52","226","205","33","51","8","1","11","33","0","0","20","35",".249",".314",".459",".773","109","94","8","0","0","1","0"
"13","C","Víctor Caratini#","29","62","226","201","23","52","4","0","7","25","1","1","19","45",".259",".327",".383",".711","95","77","8","3","0","3","0"
"14","OF","Sal Frelick*","23","57","223","191","29","47","9","1","3","24","7","0","28","37",".246",".341",".351",".692","91","67","2","1","0","3","0"
"15","OF","Mark Canha","34","50","204","178","23","51","10","0","5","33","4","1","17","27",".287",".373",".427",".800","120","76","3","8","0","1","1"
"16","OF","Blake Perkins#","26","67","168","143","28","31","7","0","4","20","5","2","23","46",".217",".325",".350",".675","86","50","3","0","2","0","0"
"17","3B","Mike Brosseau","29","29","78","73","4","15","2","0","4","8","0","0","4","20",".205",".256",".397",".654","76","29","2","1","0","0","0"
"18","1B","Luke Voit","32","22","74","68","5","15","3","0","0","4","2","0","4","27",".221",".284",".265",".548","53","18","3","2","0","0","0"
"19","CF","Garrett Mitchell*","24","19","73","65","10","16","2","1","3","7","1","1","7","26",".246",".315",".446",".761","106","29","0","0","0","1","0"
"20","3B","Josh Donaldson","37","17","69","59","5","10","4","0","3","11","0","0","10","18",".169",".290",".390",".680","85","23","4","0","0","0","0"
"21","IF","Luis Urías","26","20","68","55","5","8","2","0","1","5","0","0","7","15",".145",".299",".236",".535","50","13","1","5","0","0","0"
"22","RF","Raimel Tapia*","29","20","61","52","10","9","0","0","2","3","2","1","6","20",".173",".267",".288",".555","53","15","1","1","1","1","0"
"23","1B","Jon Singleton*","31","11","32","29","3","3","1","0","0","2","0","0","3","11",".103",".188",".138",".325","-8","4","0","0","0","0","0"
"24","DH","Darin Ruf","36","11","30","26","2","5","1","0","0","0","0","0","4","7",".192",".300",".231",".531","49","6","0","0","0","0","0"
"25","CI","Abraham Toro#","26","9","21","18","4","8","0","0","2","9","0","0","2","5",".444",".524",".778","1.302","252","14","0","1","0","0","0"
"26","DH","Jahmai Jones","25","7","11","10","2","2","1","0","0","3","1","0","1","5",".200",".273",".300",".573","58","3","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"27","P","Colin Rea","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Peter Strzelecki","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Janson Junk","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Joel Payamps","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Andrew Chafin","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","J.C. Mejía","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Adrian Houser","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Alex Claudio*","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Bryse Wilson","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Caleb Boushley","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Gus Varland*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Bennett Sousa*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Trevor Megill*","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Wade Miley*","36","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Corbin Burnes","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Clayton Andrews*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Elvis Peguero","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Matt Bush","37","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Hoby Milner*","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Tyson Miller","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Devin Williams","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Brandon Woodruff*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Freddy Peralta","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","J.B. Bukauskas","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Thyago Vieira","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
