"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Ryan Jeffers","24","85","293","267","28","53","10","1","14","35","0","1","22","108",".199",".270",".401",".670","83","107","6","4","0","0","0"
"2","1B","Miguel Sanó","28","135","532","470","68","105","24","0","30","75","2","1","59","183",".223",".312",".466",".778","112","219","13","2","0","1","2"
"3","2B","Jorge Polanco#","27","152","644","588","97","158","35","2","33","98","11","6","45","118",".269",".323",".503",".826","125","296","4","5","0","6","0"
"4","SS","Andrelton Simmons","31","131","451","412","37","92","12","0","3","31","1","0","32","62",".223",".283",".274",".558","57","113","14","3","3","1","0"
"5","3B","Josh Donaldson","35","135","543","457","73","113","26","0","26","72","0","0","74","114",".247",".352",".475",".827","127","217","22","4","0","8","2"
"6","LF","Trevor Larnach*","24","79","301","260","29","58","12","0","7","28","1","0","31","104",".223",".322",".350",".672","88","91","3","8","0","2","0"
"7","CF","Byron Buxton","27","61","254","235","50","72","23","0","19","32","9","1","13","62",".306",".358",".647","1.005","171","152","0","6","0","0","0"
"8","RF","Max Kepler*","28","121","490","426","61","90","21","4","19","54","10","0","54","96",".211",".306",".413",".719","98","176","2","6","0","4","3"
"9","DH","Nelson Cruz","40","85","346","296","44","87","13","1","19","50","3","0","35","63",".294",".370",".537",".907","148","159","10","5","0","7","6"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Luis Arráez*","24","121","479","428","58","126","17","6","2","42","2","2","43","48",".294",".357",".376",".733","105","161","9","2","0","6","2"
"11","C","Mitch Garver","30","68","243","207","29","53","15","0","13","34","1","1","31","71",".256",".358",".517",".875","139","107","4","3","0","2","0"
"12","UT","Alex Kirilloff*","23","59","231","215","23","54","11","1","8","34","1","1","14","52",".251",".299",".423",".722","98","91","3","1","0","1","2"
"13","CI","Willians Astudillo","29","72","216","208","17","49","8","0","7","21","0","0","3","12",".236",".259",".375",".634","74","78","12","4","0","1","0"
"14","CF","Nick Gordon*","25","73","216","200","19","48","9","1","4","23","10","1","12","55",".240",".292",".355",".647","79","71","7","3","0","1","0"
"15","LF","Brent Rooker","26","58","213","189","25","38","10","0","9","16","0","0","15","70",".201",".291",".397",".688","89","75","1","9","0","0","0"
