"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Francisco Álvarez","21","123","423","382","51","80","12","0","25","63","2","0","34","110",".209",".284",".437",".721","95","167","14","6","0","1","0"
"2","1B","Pete Alonso","28","154","658","568","92","123","21","2","46","118","4","1","65","151",".217",".318",".504",".821","122","286","17","21","0","4","6"
"3","2B","Jeff McNeil*","31","156","648","585","75","158","25","4","10","55","10","0","39","65",".270",".333",".378",".711","96","221","5","18","3","3","0"
"4","SS","Francisco Lindor#","29","160","687","602","108","153","33","2","31","98","31","4","66","137",".254",".336",".470",".806","120","283","8","12","0","7","1"
"5","3B","Brett Baty*","23","108","389","353","41","75","12","0","9","34","2","0","29","109",".212",".275",".323",".598","65","114","8","2","1","1","0"
"6","LF","Mark Canha","34","89","303","257","28","63","15","1","6","29","7","0","32","52",".245",".343",".381",".725","100","98","8","9","0","5","0"
"7","CF","Brandon Nimmo*","30","152","682","592","89","162","30","6","24","68","3","3","74","146",".274",".363",".466",".829","127","276","6","11","1","4","0"
"8","RF","Starling Marte","34","86","341","315","38","78","7","1","5","28","24","4","16","69",".248",".301",".324",".625","73","102","8","8","2","0","1"
"9","DH","Daniel Vogelbach*","30","104","319","275","33","64","8","0","13","48","0","0","42","81",".233",".339",".404",".742","104","111","6","2","0","0","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","LF","Tommy Pham","35","79","264","231","29","62","15","1","10","36","11","1","29","56",".268",".348",".472",".820","124","109","2","1","0","3","1"
"11","DH","Mark Vientos","23","65","233","218","19","46","5","1","9","22","1","0","10","71",".211",".253",".367",".620","69","80","5","3","0","2","0"
"12","RF","DJ Stewart*","29","58","185","160","21","39","9","0","11","26","1","1","15","56",".244",".333",".506",".840","128","81","3","7","1","1","0"
"13","C","Omar Narváez*","31","49","146","128","12","27","5","0","2","7","0","0","14","27",".211",".283",".297",".580","61","38","1","0","1","3","0"
"14","OF","Rafael Ortega*","32","47","136","114","16","25","3","0","1","8","6","1","20","33",".219",".341",".272",".613","73","31","0","1","1","0","0"
"15","2B","Luis Guillorme*","28","54","120","107","12","24","6","1","1","9","0","0","10","28",".224",".288",".327",".615","70","35","4","0","2","1","1"
"16","3B","Eduardo Escobar#","34","40","120","110","15","26","3","2","4","16","2","0","8","24",".236",".286",".409",".695","89","45","4","0","1","1","0"
"17","2B","Ronny Mauricio#","22","26","108","101","11","25","4","0","2","9","7","0","7","31",".248",".296",".347",".643","77","35","2","0","0","0","0"
"18","UT","Danny Mendick","29","33","69","65","4","12","3","0","1","4","1","0","4","15",".185",".232",".277",".509","40","18","1","0","0","0","0"
"19","LF","Tim Locastro","30","43","67","56","13","13","3","0","2","3","6","0","3","22",".232",".338",".393",".731","102","22","0","6","2","0","0"
"20","IF","Jonathan Araúz#","24","27","66","59","3","8","0","0","3","9","0","0","5","18",".136",".203",".288",".491","34","17","1","0","2","0","0"
"21","C","Tomás Nido","29","22","61","56","5","7","0","0","0","1","0","0","2","18",".125",".153",".125",".278","-22","7","2","0","2","1","0"
"22","OF","Abraham Almonte#","34","8","16","15","1","1","1","0","0","0","0","0","1","8",".067",".125",".133",".258","-28","2","0","0","0","0","0"
"23","C","Michael Pérez*","30","3","8","8","1","4","1","0","0","0","0","0","0","1",".500",".500",".625","1.125","209","5","0","0","0","0","0"
"24","C","Gary Sánchez","30","3","7","6","0","1","0","0","0","1","0","0","0","3",".167",".143",".167",".310","-15","1","0","0","0","1","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"25","P","Justin Verlander","40","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Carlos Carrasco","36","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Sam Coonrod","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Jose Quintana","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Dominic Leone","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
