"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Jose Trevino","29","115","353","335","39","83","12","1","11","43","2","1","15","62",".248",".283",".388",".671","89","130","5","2","0","1","0"
"2","1B","Anthony Rizzo*","32","130","548","465","77","104","21","1","32","75","6","5","58","101",".224",".338",".480",".817","130","223","13","23","0","2","6"
"3","2B","Gleyber Torres","25","140","572","526","73","135","28","1","24","76","10","5","39","129",".257",".310",".451",".761","113","237","12","3","1","3","2"
"4","SS","Isiah Kiner-Falefa","27","142","531","483","66","126","20","0","4","48","22","4","35","72",".261",".314",".327",".642","84","158","13","5","3","5","2"
"5","3B","Josh Donaldson","36","132","546","478","59","106","28","0","15","62","2","2","54","148",".222",".308",".374",".682","93","179","13","8","0","6","1"
"6","LF","Aaron Hicks#","32","130","453","384","54","83","9","2","8","40","10","3","62","109",".216",".330",".313",".642","85","120","10","4","1","2","3"
"7","CF","Aaron Judge","30","157","696","570","133","177","28","0","62","131","16","3","111","175",".311",".425",".686","1.111","210","391","14","6","0","5","19"
"8","RF","Joey Gallo*","28","82","273","233","32","37","4","1","12","24","2","0","40","106",".159",".282",".339",".621","76","79","0","0","0","0","0"
"9","DH","Giancarlo Stanton","32","110","452","398","53","84","7","0","31","78","0","0","50","137",".211",".297",".462",".759","112","184","8","0","0","3","2"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","IF","DJ LeMahieu","33","125","541","467","74","122","18","0","12","46","4","3","67","71",".261",".357",".377",".734","110","176","12","4","1","2","0"
"11","C","Kyle Higashioka","32","83","248","229","27","52","7","0","10","31","0","1","12","52",".227",".264",".389",".653","83","89","5","1","2","4","0"
"12","UT","Marwin González#","33","85","207","184","20","34","7","0","6","18","3","0","14","54",".185",".255",".321",".576","63","59","8","4","3","2","0"
"13","RF","Oswaldo Cabrera#","23","44","171","154","21","38","8","1","6","19","3","2","15","44",".247",".312",".429",".740","108","66","1","0","1","1","0"
"14","DH","Matt Carpenter*","36","47","154","128","28","39","9","0","15","37","0","0","19","35",".305",".412",".727","1.138","216","93","2","5","1","1","1"
"15","LF","Andrew Benintendi*","27","33","131","114","14","29","9","1","2","12","4","1","13","25",".254",".331",".404",".734","108","46","1","1","1","2","0"
"16","LF","Miguel Andújar","27","27","100","96","9","22","2","0","1","8","4","0","3","22",".229",".250",".281",".531","51","27","0","0","0","1","0"
"17","MI","Oswald Peraza","22","18","57","49","8","15","3","0","1","2","2","0","6","9",".306",".404",".429",".832","138","21","3","2","0","0","0"
"18","CF","Harrison Bader","28","14","49","46","3","10","3","0","0","9","2","1","2","15",".217",".245",".283",".528","50","13","0","0","0","1","0"
"19","OF","Tim Locastro","29","38","46","43","13","8","1","0","2","4","8","2","2","7",".186",".239",".349",".588","65","15","0","1","0","0","0"
"20","OF","Estevan Florial*","24","17","35","31","4","3","0","0","0","1","2","0","3","13",".097",".200",".097",".297","-11","3","0","1","0","0","0"
"21","1B","Ronald Guzmán*","27","3","6","6","0","0","0","0","0","0","0","0","0","5",".000",".000",".000",".000","-100","0","1","0","0","0","0"
"22","C","Rob Brantly*","32","1","3","3","0","1","1","0","0","0","0","0","0","0",".333",".333",".667","1.000","175","2","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"23","P","Greg Weissert","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"24","P","Jordan Montgomery*","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Michael King","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Zack Britton*","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Gerrit Cole","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Jameson Taillon","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Clay Holmes","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Aroldis Chapman*","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Lucas Luetge*","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Wandy Peralta*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Anthony Banda*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Nestor Cortes","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Scott Effross","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Albert Abreu","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Ryan Weber","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Luke Bard","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Jonathan Loáisiga","27","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Frankie Montas","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Luis Severino","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Manny Banuelos","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Clarke Schmidt","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","JP Sears","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
