"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Sean Murphy","26","119","448","393","47","85","23","0","17","59","0","0","40","114",".216",".306",".405",".710","98","159","7","12","0","3","0"
"2","1B","Matt Olson*","27","156","673","565","101","153","35","0","39","111","4","1","88","113",".271",".371",".540",".911","153","305","17","9","0","11","12"
"3","2B","Jed Lowrie#","37","139","512","457","55","112","28","0","14","69","0","0","49","108",".245",".318",".398",".717","101","182","8","2","0","4","1"
"4","SS","Elvis Andrus","32","146","541","497","60","121","25","2","3","37","12","2","31","81",".243",".294",".320",".614","73","159","14","6","3","4","2"
"5","3B","Matt Chapman","28","151","622","529","75","111","15","3","27","72","3","2","80","202",".210",".314",".403",".716","100","213","6","4","0","9","0"
"6","LF","Mark Canha","32","141","625","519","93","120","22","4","17","61","12","2","77","128",".231",".358",".387",".746","111","201","9","27","0","2","0"
"7","CF","Ramón Laureano","26","88","378","341","43","84","21","2","14","39","12","5","27","98",".246",".317",".443",".760","111","151","4","9","0","1","0"
"8","RF","Seth Brown*","28","111","307","281","43","60","13","1","20","48","4","1","23","89",".214",".274",".480",".754","107","135","1","1","0","2","2"
"9","DH","Mitch Moreland*","35","81","252","229","28","52","11","1","10","30","0","0","18","58",".227",".286",".415",".701","94","95","5","2","0","3","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Tony Kemp*","29","131","397","330","54","92","16","3","8","37","8","2","52","51",".279",".382",".418",".800","126","138","2","6","4","5","0"
"11","CF","Starling Marte","32","56","251","234","37","74","16","2","5","30","25","2","11","42",".316",".359",".466",".824","130","109","4","5","0","1","0"
"12","RF","Chad Pinder","29","75","233","214","30","52","16","1","6","27","1","0","16","62",".243",".300",".411",".712","98","88","6","2","0","1","0"
"13","2B","Josh Harrison","33","48","199","185","19","47","10","0","2","22","4","3","6","25",".254",".296",".341",".637","79","63","5","6","0","2","0"
"14","RF","Stephen Piscotty","30","72","188","173","14","38","8","0","5","16","1","0","13","48",".220",".282",".353",".635","78","61","2","2","0","0","0"
"15","C","Yan Gomes","33","40","140","131","19","29","4","0","5","17","0","0","6","31",".221",".264",".366",".631","75","48","3","2","0","1","0"
"16","C","Aramis Garcia","28","32","94","88","8","18","1","0","3","7","0","0","1","28",".205",".239",".318",".557","55","28","4","3","2","0","0"
"17","OF","Skye Bolt#","27","32","59","56","5","5","1","0","1","4","2","0","1","14",".089",".105",".161",".266","-26","9","0","0","2","0","0"
"18","DH","Khris Davis","33","20","53","51","3","13","4","0","1","5","0","0","2","15",".255",".283",".392",".675","88","20","0","0","0","0","0"
"19","IF","Vimael Machín*","27","15","37","32","1","4","0","0","0","1","0","0","3","10",".125",".200",".125",".325","-5","4","2","0","2","0","0"
"20","DH","Frank Schwindel","29","8","20","20","2","3","1","0","1","3","0","0","0","5",".150",".150",".350",".500","35","7","0","0","0","0","0"
"21","OF","Ka'ai Tom*","27","9","16","16","1","1","0","0","0","1","0","0","0","6",".063",".063",".063",".125","-64","1","0","0","0","0","0"
"22","SS","Pete Kozma","33","3","12","11","0","1","0","0","0","0","0","0","1","4",".091",".167",".091",".258","-24","1","0","0","0","0","0"
"23","OF","Luis Barrera*","25","6","8","8","1","2","0","0","0","0","0","0","0","2",".250",".250",".250",".500","42","2","0","0","0","0","0"
"24","C","Austin Allen*","27","4","8","8","2","2","0","0","1","1","0","0","0","3",".250",".250",".625",".875","134","5","0","0","0","0","0"
"25","UT","Jacob Wilson","30","6","7","7","1","1","0","0","0","0","0","0","0","1",".143",".143",".143",".286","-19","1","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"26","P","Cole Irvin*","27","2","7","5","0","1","0","0","0","1","0","0","0","2",".200",".200",".200",".400","14","1","0","0","2","0","0"
"27","P","Sean Manaea","29","2","5","4","0","2","1","0","0","0","0","0","0","1",".500",".500",".750","1.250","246","3","0","0","1","0","0"
"28","P","Frankie Montas","28","2","4","4","0","0","0","0","0","0","0","0","0","3",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"29","P","James Kaprielian","27","2","4","3","1","1","0","0","0","0","0","0","0","2",".333",".333",".333",".667","90","1","0","0","1","0","0"
"30","P","Chris Bassitt","32","1","2","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"31","P","Jake Diekman","34","4","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"32","P","Jesús Luzardo*","23","2","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"33","P","J.B. Wendelken","28","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Deolis Guerra","32","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Paul Blackburn","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Daulton Jefferies*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Mike Fiers","36","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Andrew Chafin","31","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Reymin Guduan*","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Yusmeiro Petit","36","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Jordan Weems*","28","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Burch Smith","31","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","A.J. Puk*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Sergio Romo","38","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Adam Kolarek*","32","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Cam Bedrosian","29","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Sam Moll*","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Domingo Acevedo","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Michael Feliz","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Lou Trivino","29","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","30.1","162","6104","5395","743","1284","271","19","199","698","88","20","545","1349",".238",".317",".406",".723","102","2190","99","98","17","49","17"
"","","Rank in 15 AL teams","","","","10","6","11","6","9","8","","4","5","5","4","11","7","10","8","","8","","1","","4",""
"","","Non-Pitcher Totals","30.2","162","6080","5375","742","1280","270","19","199","697","88","20","545","1338",".238",".317",".407",".723","102","2185","99","98","13","49","17"
"","","Pitcher Totals","25.6","162","24","20","1","4","1","0","0","1","0","0","0","11",".200",".200",".250",".450","26","5","0","0","4","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
