"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","J.T. Realmuto","31","139","562","504","75","139","26","5","22","84","21","1","41","119",".276",".342",".478",".820","130","241","7","12","0","5","1"
"2","1B","Rhys Hoskins","29","156","672","589","81","145","33","2","30","79","2","1","72","169",".246",".332",".462",".794","123","272","12","6","0","4","0"
"3","2B","Jean Segura","32","98","387","354","45","98","9","0","10","33","13","6","25","58",".277",".336",".387",".723","105","137","16","7","0","1","1"
"4","SS","Bryson Stott*","24","127","466","427","58","100","19","2","10","49","12","4","36","89",".234",".295",".358",".653","85","153","3","1","1","1","0"
"5","3B","Alec Bohm","25","152","631","586","79","164","24","3","13","72","2","3","31","110",".280",".315",".398",".713","101","233","18","4","0","10","1"
"6","LF","Kyle Schwarber*","29","155","669","577","100","126","21","3","46","94","10","1","86","200",".218",".323",".504",".827","131","291","10","4","0","2","3"
"7","CF","Matt Vierling","25","117","357","325","41","80","12","2","6","32","7","4","23","70",".246",".297",".351",".648","84","114","7","3","0","6","0"
"8","RF","Nick Castellanos","30","136","558","524","56","138","27","0","13","62","7","1","29","130",".263",".305",".389",".694","96","204","15","3","0","2","0"
"9","DH","Bryce Harper*","29","99","426","370","63","106","28","1","18","65","11","4","46","87",".286",".364",".514",".877","146","190","13","3","0","7","9"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","SS","Didi Gregorius*","32","63","232","214","17","45","9","4","1","19","1","0","13","36",".210",".263",".304",".567","61","65","0","3","0","2","0"
"11","CF","Odúbel Herrera*","30","62","197","185","23","44","9","1","5","21","6","0","11","42",".238",".279",".378",".658","85","70","3","0","0","1","0"
"12","SS","Johan Camargo#","28","52","166","152","8","36","3","0","3","15","0","0","13","37",".237",".297",".316",".613","75","48","1","0","1","0","0"
"13","DH","Darick Hall*","26","41","142","136","19","34","8","1","9","16","0","0","5","44",".250",".282",".522",".804","122","71","3","1","0","0","0"
"14","CF","Brandon Marsh*","24","41","138","132","15","38","9","2","3","15","2","2","6","41",".288",".319",".455",".773","117","60","2","0","0","0","0"
"15","C","Garrett Stubbs*","29","46","121","106","19","28","4","1","5","16","2","0","14","30",".264",".350",".462",".812","129","49","2","0","1","0","0"
"16","UT","Nick Maton*","25","34","85","72","13","18","2","1","5","17","0","0","10","29",".250",".341",".514",".855","139","37","0","1","0","2","0"
