"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Jason Delay","27","57","167","155","17","33","6","0","1","11","0","2","9","50",".213",".265",".271",".536","53","42","4","2","1","0","0"
"2","1B","Michael Chavis","26","129","426","401","39","92","16","3","14","49","1","1","19","126",".229",".265",".389",".654","83","156","4","2","0","4","1"
"3","2B","Kevin Newman","28","78","309","288","31","79","18","2","2","24","8","2","16","48",".274",".316",".372",".687","95","107","6","2","2","1","0"
"4","SS","Oneil Cruz*","23","87","361","331","45","77","13","4","17","54","10","4","28","126",".233",".294",".450",".744","108","149","3","1","0","1","1"
"5","3B","Ke'Bryan Hayes","25","136","560","505","55","123","24","3","7","41","20","5","48","122",".244",".314",".345",".659","88","174","12","5","0","2","0"
"6","LF","Ben Gamel*","30","115","423","371","42","86","20","2","9","46","5","1","48","98",".232",".324",".369",".693","97","137","5","3","0","1","2"
"7","CF","Bryan Reynolds#","27","145","614","542","74","142","19","4","27","62","7","3","56","141",".262",".345",".461",".807","127","250","13","14","0","2","6"
"8","RF","Calvin Mitchell*","23","69","232","212","21","48","11","0","5","17","3","1","18","52",".226",".286",".349",".635","80","74","3","0","1","1","0"
"9","DH","Daniel Vogelbach*","29","75","278","237","29","54","10","1","12","34","0","0","40","67",".228",".338",".430",".769","117","102","8","0","0","1","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","OF","Jack Suwinski*","23","106","372","326","45","66","11","0","19","38","4","2","41","114",".202",".298",".411",".709","99","134","5","4","0","1","1"
"11","UT","Diego Castillo","24","96","283","262","28","54","13","0","11","29","1","1","14","75",".206",".251",".382",".633","77","100","7","3","0","4","1"
"12","IF","Rodolfo Castro#","23","71","278","253","25","59","8","4","11","27","5","3","22","74",".233",".299",".427",".725","103","108","6","2","0","1","0"
"13","1B","Yoshi Tsutsugo*","30","50","193","170","11","29","4","0","2","19","0","0","19","50",".171",".249",".229",".478","37","39","3","0","0","4","0"
"14","IF","Josh VanMeter*","27","67","192","171","15","32","5","2","3","14","4","0","19","45",".187",".266",".292",".558","59","50","3","0","0","2","0"
"15","UT","Tucupita Marcano*","22","49","177","160","18","33","6","2","2","13","2","1","10","44",".206",".256",".306",".562","59","49","1","1","5","1","0"
"16","C","Tyler Heineman#","31","52","158","142","14","30","6","0","0","8","1","0","8","13",".211",".277",".254",".531","53","36","2","5","3","0","0"
"17","OF","Greg Allen#","29","46","134","118","17","22","4","0","2","8","8","2","10","42",".186",".260",".271",".531","51","32","2","2","3","1","0"
"18","RF","Bligh Madris*","26","39","123","113","10","20","7","0","1","7","2","1","10","31",".177",".244",".265",".509","45","30","0","0","0","0","0"
"19","C","Michael Pérez*","29","39","116","107","8","16","0","0","6","11","1","0","8","26",".150",".209",".318",".526","47","34","2","0","1","0","0"
"20","OF","Jake Marisnick","31","31","82","77","9","18","6","0","2","6","2","1","4","24",".234",".272",".390",".661","85","30","2","0","1","0","1"
"21","C","Roberto Pérez","33","21","69","60","8","14","2","0","2","8","0","0","9","25",".233",".333",".367",".700","99","22","1","0","0","0","0"
"22","UT","Cole Tucker#","25","18","63","63","3","11","1","1","0","2","1","0","0","25",".175",".175",".222",".397","12","14","1","0","0","0","0"
"23","UT","Hoy Park*","26","23","60","51","7","11","2","0","2","6","1","0","4","15",".216",".276",".373",".648","82","19","0","1","2","2","0"
"24","IF","Yu Chang","26","18","49","42","5","7","1","0","1","2","0","1","4","18",".167",".286",".262",".548","58","11","1","3","0","0","0"
"25","DH","Miguel Andújar","27","9","40","36","4","9","3","1","0","9","0","1","2","5",".250",".275",".389",".664","86","14","1","0","0","2","0"
"26","UT","Ji Hwan Bae*","22","10","37","33","5","11","3","0","0","6","3","0","2","6",".333",".405",".424",".830","137","14","0","2","0","0","0"
"27","C","Andrew Knapp#","30","11","35","31","2","4","1","0","0","2","0","0","3","9",".129",".229",".161",".390","14","5","0","1","0","0","0"
"28","UT","Zack Collins*","27","10","29","25","2","1","0","0","0","1","0","0","3","10",".040",".138",".040",".178","-46","1","0","0","0","1","0"
"29","C","José Godoy*","27","8","17","17","1","1","0","0","0","1","0","0","0","7",".059",".059",".059",".118","-66","1","0","0","0","0","0"
"30","CI","Kevin Padlo","25","3","11","11","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","1","0","0","0","0"
