"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Joey Bart","25","97","291","261","34","56","6","0","11","25","2","1","26","112",".215",".296",".364",".660","87","95","5","4","0","0","0"
"2","1B","Brandon Belt*","34","78","298","254","25","54","9","1","8","23","1","0","37","81",".213",".326",".350",".676","93","89","9","6","0","1","2"
"3","2B","Thairo Estrada","26","140","541","488","71","127","22","2","14","62","21","6","33","89",".260",".322",".400",".722","105","195","10","14","1","5","0"
"4","SS","Brandon Crawford*","35","118","458","407","50","94","15","2","9","52","1","1","39","98",".231",".308",".344",".652","86","140","12","8","0","4","3"
"5","3B","Evan Longoria","36","89","298","266","31","65","13","0","14","42","0","0","27","83",".244",".315",".451",".767","116","120","6","2","0","3","2"
"6","LF","Joc Pederson*","30","134","433","380","57","104","19","3","23","70","3","2","42","100",".274",".353",".521",".874","146","198","5","7","0","4","3"
"7","CF","Mike Yastrzemski*","31","148","558","485","73","104","31","2","17","57","5","1","61","141",".214",".305",".392",".697","97","190","3","5","1","6","0"
"8","RF","Luis González*","26","98","350","311","31","79","17","2","4","36","10","2","30","75",".254",".323",".360",".683","95","112","5","4","0","5","1"
"9","DH","Tommy La Stella*","33","60","195","180","17","43","14","0","2","14","0","0","11","30",".239",".282",".350",".632","79","63","4","1","0","3","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","IF","Wilmer Flores","30","151","602","525","72","120","28","1","19","71","0","0","59","103",".229",".316",".394",".710","101","207","7","11","0","7","1"
"11","CF","Austin Slater","29","125","325","277","49","73","15","2","7","34","12","1","40","89",".264",".366",".408",".774","121","113","9","6","0","2","0"
"12","UT","Darin Ruf","35","90","314","268","46","58","9","0","11","38","2","0","40","85",".216",".328",".373",".701","100","100","8","5","0","1","0"
"13","UT","LaMonte Wade Jr.*","28","77","251","217","29","45","7","1","8","26","1","0","26","51",".207",".305",".359",".665","89","78","0","5","2","1","0"
"14","3B","David Villar","25","52","181","156","21","36","6","1","9","24","0","1","18","58",".231",".331",".455",".787","122","71","4","6","0","1","0"
"15","C","Austin Wynns","31","65","177","162","14","42","7","0","3","21","0","0","10","38",".259",".313",".358",".671","91","58","9","3","1","1","0"
"16","CI","J.D. Davis","29","49","158","137","20","36","8","0","8","14","0","0","19","56",".263",".361",".496",".857","142","68","4","2","0","0","1"
"17","C","Curt Casali","33","41","126","108","13","25","3","0","4","14","0","0","15","36",".231",".325",".370",".696","98","40","1","1","0","2","0"
"18","3B","Jason Vosler*","28","36","111","98","14","26","6","1","4","12","1","1","10","29",".265",".342",".469",".812","129","46","3","2","0","1","1"
"19","DH","Yermín Mercedes","29","31","83","73","9","17","5","0","1","8","0","0","9","17",".233",".325",".342",".668","91","25","1","1","0","0","0"
"20","MI","Donovan Walton*","28","24","78","76","8","12","8","0","1","8","0","0","1","16",".158",".179",".303",".482","34","23","1","1","0","0","0"
"21","UT","Mauricio Dubón","27","21","49","46","10","11","1","0","2","8","0","0","1","4",".239",".245",".391",".636","78","18","0","0","0","2","0"
"22","CF","Lewis Brinson","28","16","39","36","5","6","2","0","3","4","1","0","2","14",".167",".211",".472",".683","87","17","0","0","1","0","0"
"23","CF","Steven Duggar*","28","12","39","36","2","7","3","0","0","4","4","0","2","16",".194",".231",".278",".509","45","10","0","0","0","1","0"
"24","OF","Heliot Ramos","22","9","22","20","4","2","0","0","0","0","0","0","2","6",".100",".182",".100",".282","-16","2","1","0","0","0","0"
"25","2B","Ford Proctor*","25","7","22","18","3","2","0","0","1","6","0","0","2","3",".111",".182",".278",".460","29","5","0","0","0","2","0"
"26","OF","Bryce Johnson#","26","11","19","18","1","2","0","0","0","2","0","0","1","7",".111",".158",".111",".269","-21","2","0","0","0","0","0"
"27","SS","Dixon Machado","30","5","17","15","1","3","0","0","0","0","0","0","1","5",".200",".294",".200",".494","45","3","0","1","0","0","0"
"28","CI","Kevin Padlo","25","4","12","12","0","2","0","0","0","0","0","0","0","4",".167",".167",".167",".333","-4","2","1","0","0","0","0"
"29","UT","Luke Williams","25","8","12","12","1","3","1","0","0","3","0","0","0","4",".250",".250",".333",".583","65","4","0","0","0","0","0"
"30","UT","Michael Papierski#","26","5","10","9","1","0","0","0","0","0","0","0","1","4",".000",".100",".000",".100","-68","0","0","0","0","0","0"
"31","LF","Jason Krizan*","33","3","10","8","0","1","0","0","0","0","0","0","2","3",".125",".300",".125",".425","28","1","0","0","0","0","0"
"32","DH","Willie Calhoun*","27","4","9","8","0","1","0","0","0","1","0","0","1","2",".125",".222",".125",".347","3","1","1","0","0","0","0"
"33","OF","Austin Dean","28","3","9","8","1","3","0","0","0","0","0","0","1","0",".375",".444",".375",".819","138","3","0","0","0","0","0"
"34","CF","Stuart Fairchild","26","5","8","8","1","0","0","0","0","0","0","0","0","3",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"35","C","Andrew Knapp#","30","3","7","4","2","1","0","0","0","2","0","0","2","0",".250",".429",".250",".679","101","1","0","0","0","1","0"
"36","1B","Mike Ford*","29","1","4","4","0","1","0","0","0","2","0","0","0","0",".250",".250",".250",".500","44","1","0","0","0","0","0"
"37","RF","Ka'ai Tom*","28","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"38","P","Shelby Miller","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Camilo Doval","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Anthony DeSclafani","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Scott Alexander*","32","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Tyler Beede","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Jharel Cotton","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Jarlín García*","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","John Brebbia*","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Alex Cobb","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Jakob Junis","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","José Álvarez*","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Alex Wood","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Alex Young*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Sean Hjelle","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Sam Long*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","Zack Littell","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","Thomas Szapucki","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"55","P","Dominic Leone","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"56","P","Cole Waites","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"57","P","Jake McGee*","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"58","P","Carlos Rodón*","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"59","P","Gregory Santos","22","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"60","P","Kervin Castro","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"61","P","Andrew Vasquez*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"62","P","Yunior Marte","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"63","P","Mauricio Llovera","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"64","P","Tyler Rogers","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"65","P","Logan Webb","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"66","P","Luis Ortiz","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","30.1","162","6117","5392","716","1261","255","18","183","683","64","16","571","1462",".234",".315",".390",".705","100","2101","109","95","6","53","14"
"","","Rank in 15 NL teams","","","","12","7","12","9","11","6","","11","1","4","12","12","7","8","8","","8","","2","","1",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
