"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Willson Contreras","31","125","495","428","55","113","27","0","20","67","6","3","51","111",".264",".358",".467",".826","124","200","12","13","1","2","0"
"2","1B","Paul Goldschmidt","35","154","687","593","89","159","31","0","25","80","11","2","87","161",".268",".363",".447",".810","120","265","12","3","0","3","6"
"3","2B","Nolan Gorman*","23","119","464","406","59","96","17","0","27","76","7","2","53","148",".236",".328",".478",".805","117","194","5","3","0","2","1"
"4","SS","Paul DeJong","29","81","306","279","38","65","11","0","13","32","4","4","21","87",".233",".297",".412",".710","92","115","8","5","0","1","0"
"5","3B","Nolan Arenado","32","144","612","560","71","149","26","2","26","93","3","3","41","101",".266",".315",".459",".774","109","257","21","3","0","8","5"
"6","LF","Tyler O'Neill","28","72","266","238","27","55","14","0","9","21","5","0","28","67",".231",".312",".403",".715","94","96","5","0","0","0","0"
"7","CF","Lars Nootbaar*","25","117","503","426","74","111","23","1","14","46","11","1","72","99",".261",".367",".418",".784","115","178","7","1","1","3","2"
"8","RF","Jordan Walker","21","117","465","420","51","116","19","2","16","51","7","4","37","104",".276",".342",".445",".787","114","187","9","6","0","2","0"
"9","DH","Alec Burleson*","24","107","347","315","34","77","20","1","8","36","3","1","23","45",".244",".300",".390",".691","87","123","13","3","1","2","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Tommy Edman#","28","137","528","479","69","119","25","4","13","47","27","4","35","84",".248",".307",".399",".705","91","191","9","7","3","4","1"
"11","2B","Brendan Donovan*","26","95","371","327","48","93","10","1","11","34","5","1","33","53",".284",".365",".422",".787","115","138","4","9","1","1","2"
"12","OF","Dylan Carlson#","24","76","255","219","27","48","8","1","5","27","3","0","26","49",".219",".318",".333",".651","79","73","4","7","0","3","0"
"13","C","Andrew Knizner","28","70","241","224","30","54","11","0","10","31","2","0","12","62",".241",".288",".424",".712","92","95","8","3","1","1","0"
"14","SS","Masyn Winn","21","37","137","122","8","21","2","0","2","12","2","1","10","26",".172",".230",".238",".467","29","29","1","0","2","3","0"
"15","OF","Richie Palacios*","26","32","102","93","9","24","6","0","6","16","2","0","6","11",".258",".307",".516",".823","120","48","1","1","1","1","0"
"16","DH","Luken Baker","26","33","99","86","9","18","3","0","2","10","0","0","13","31",".209",".313",".314",".627","73","27","1","0","0","0","0"
"17","IF","Taylor Motter","33","29","82","76","3","13","3","0","0","2","0","0","5","31",".171",".232",".211",".442","23","16","0","1","0","0","0"
"18","OF","Juan Yepez","25","28","65","60","5","11","1","0","2","2","0","1","4","20",".183",".246",".300",".546","49","18","0","1","0","0","0"
"19","IF","José Fermín","24","21","61","51","2","12","1","0","0","4","0","1","6","8",".235",".339",".255",".594","67","13","1","2","2","0","0"
"20","C","Iván Herrera","23","13","44","37","6","11","2","0","0","4","0","0","5","11",".297",".409",".351",".760","112","13","1","2","0","0","0"
"21","OF","Óscar Mercado","28","20","32","31","3","9","3","0","0","5","2","1","1","4",".290",".313",".387",".700","90","12","0","0","0","0","0"
"22","IF","Juniel Querecuto#","30","9","21","20","2","2","1","0","0","0","0","0","1","6",".100",".143",".150",".293","-19","3","0","0","0","0","0"
"23","IF","Irving Lopez*","28","5","12","11","0","0","0","0","0","1","0","0","0","5",".000",".000",".000",".000","-100","0","0","0","0","1","0"
"24","DH","Michael Siani*","23","5","5","5","0","0","0","0","0","0","1","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"25","C","Tres Barrera","28","6","2","2","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"26","P","Adam Wainwright","41","2","2","2","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"27","P","Jordan Hicks","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Jordan Montgomery*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Jack Flaherty","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Drew Rom*","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Matthew Liberatore*","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","John King*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Jake Woodford","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","James Naile","30","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Ryan Tepera","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Génesis Cabrera*","26","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Zack Thompson*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Casey Lawrence","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Guillermo Zuñiga","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Ryan Helsley","28","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","JoJo Romero*","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Drew VerHagen","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Andre Pallante","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Chris Stratton","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Packy Naughton","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Kyle Leahy#","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Dakota Hudson","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Andrew Suárez*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Miles Mikolas","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Steven Matz","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Giovanny Gallegos","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Jacob Barnes","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","27.6","162","6204","5510","719","1376","264","12","209","697","101","29","570","1326",".250",".326",".416",".742","101","2291","122","70","13","37","17"
"","","Rank in 15 NL teams","","","","5","10","7","11","15","5","","12","10","4","6","7","7","6","6","","6","","7","","14",""
"","","Non-Pitcher Totals","27.6","162","6202","5508","719","1376","264","12","209","697","101","29","570","1325",".250",".326",".416",".742","102","2291","122","70","13","37","17"
"","","Pitcher Totals","17.5","162","2","2","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
