"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Mike Zunino","28","90","289","266","30","44","10","1","9","32","0","0","20","98",".165",".232",".312",".544","45","83","4","3","0","0","0"
"2","1B","Ji Man Choi*","28","127","487","410","54","107","20","2","19","63","2","3","64","108",".261",".363",".459",".822","120","188","7","6","0","7","2"
"3","2B","Brandon Lowe*","24","82","327","296","42","80","17","2","17","51","5","0","25","113",".270",".336",".514",".850","125","152","1","5","0","1","0"
"4","SS","Willy Adames","23","152","584","531","69","135","25","1","20","52","4","2","46","153",".254",".317",".418",".735","96","222","9","3","3","1","1"
"5","3B","Yandy Díaz","27","79","347","307","53","82","20","1","14","38","2","2","35","61",".267",".340",".476",".816","117","146","9","1","0","4","1"
"6","LF","Tommy Pham","31","145","654","567","77","155","33","2","21","68","25","4","81","123",".273",".369",".450",".818","120","255","22","5","0","1","4"
"7","CF","Kevin Kiermaier*","29","129","480","447","60","102","20","7","14","55","19","5","26","104",".228",".278",".398",".676","79","178","8","5","1","1","2"
"8","RF","Avisaíl García","28","125","530","489","61","138","25","2","20","72","10","4","31","125",".282",".332",".464",".796","112","227","15","7","0","3","2"
"9","DH","Austin Meadows*","24","138","591","530","83","154","29","7","33","89","12","7","54","131",".291",".364",".558",".922","144","296","3","7","0","0","6"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Travis d'Arnaud","30","92","365","327","50","86","16","0","16","67","0","1","30","80",".263",".323",".459",".782","108","150","3","2","0","6","0"
"11","IF","Joey Wendle*","29","75","263","238","32","55","13","2","3","19","8","3","14","47",".231",".293",".340",".633","71","81","4","8","0","3","0"
"12","IF","Daniel Robertson","25","74","237","207","23","44","9","1","2","19","2","2","24","59",".213",".312",".295",".607","66","61","10","6","0","0","0"
"13","OF","Guillermo Heredia","28","89","231","204","31","46","13","0","5","20","2","2","18","60",".225",".306",".363",".668","80","74","4","6","2","1","0"
"14","3B","Matt Duffy","28","46","169","147","12","37","8","0","1","12","0","1","19","29",".252",".343",".327",".670","83","48","4","2","0","1","0"
"15","1B","Nathaniel Lowe*","23","50","169","152","24","40","8","0","7","19","0","0","13","50",".263",".325",".454",".779","107","69","4","2","0","2","0"
"16","IF","Mike Brosseau","25","50","142","132","17","36","7","0","6","16","1","0","7","39",".273",".319",".462",".781","107","61","3","2","1","0","0"
"17","2B","Eric Sogard*","33","37","119","109","14","29","6","0","3","10","2","0","9","16",".266",".328",".404",".731","96","44","2","1","0","0","2"
"18","DH","Jesús Aguilar","29","37","107","92","13","24","3","0","4","16","0","0","12","22",".261",".336",".424",".760","104","39","1","0","0","3","0"
"19","3B","Christian Arroyo","24","16","57","50","8","11","2","0","2","7","0","0","5","18",".220",".304",".380",".684","83","19","0","1","1","0","0"
"20","C","Michael Pérez*","26","22","55","46","6","10","5","0","0","2","0","0","8","19",".217",".345",".326",".672","84","15","0","1","0","0","0"
"21","C","Erik Kratz","39","6","17","17","0","1","0","0","0","0","0","0","0","8",".059",".059",".059",".118","-68","1","0","0","0","0","0"
"22","UT","Kean Wong*","24","6","14","14","1","3","0","0","0","0","0","1","0","5",".214",".214",".214",".429","17","3","0","0","0","0","0"
"23","UT","Andrew Velazquez#","24","10","12","12","2","1","1","0","0","0","0","0","0","6",".083",".083",".167",".250","-35","2","0","0","0","0","0"
"24","C","Nick Ciuffo*","24","3","6","6","0","1","0","0","0","0","0","0","0","3",".167",".167",".167",".333","-9","1","0","0","0","0","0"
"25","C","Anthony Bemboom*","29","3","5","5","0","2","1","0","0","1","0","0","0","2",".400",".400",".600","1.000","165","3","0","0","0","0","0"
"26","OF","Johnny Davis#","29","8","4","4","5","1","0","1","0","0","0","0","0","2",".250",".250",".750","1.000","152","3","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"27","P","Brendan McKay*","23","7","11","10","2","2","0","0","1","1","0","0","1","2",".200",".273",".500",".773","101","5","1","0","0","0","0"
"28","P","Jalen Beeks*","25","4","3","3","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"29","P","Yonny Chirinos","25","1","2","2","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"30","P","Tyler Glasnow*","25","1","2","2","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
