"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Jonah Heim#","27","127","450","406","51","92","20","1","16","48","2","0","41","87",".227",".298",".399",".697","96","162","10","1","0","2","0"
"2","1B","Nathaniel Lowe*","26","157","645","593","74","179","26","3","27","76","2","2","48","147",".302",".358",".492",".851","139","292","10","4","0","0","2"
"3","2B","Marcus Semien","31","161","724","657","101","163","31","5","26","83","25","8","53","120",".248",".304",".429",".733","106","282","7","4","0","10","0"
"4","SS","Corey Seager*","28","151","663","593","91","145","24","1","33","83","3","0","58","103",".245",".317",".455",".772","117","270","14","7","0","5","7"
"5","3B","Ezequiel Duran","23","58","220","208","25","49","10","1","5","25","4","1","12","54",".236",".277",".365",".643","81","76","3","0","0","0","0"
"6","LF","Bubba Thompson","24","55","181","170","18","45","5","0","1","9","18","3","7","56",".265",".302",".312",".613","76","53","2","2","2","0","0"
"7","CF","Leody Taveras#","23","99","341","314","39","82","14","2","5","34","11","5","21","88",".261",".309",".366",".675","92","115","2","2","1","3","0"
"8","RF","Adolis García","29","156","657","605","88","151","34","5","27","101","25","6","40","183",".250",".300",".456",".756","112","276","9","6","0","6","2"
"9","DH","Mitch Garver","31","54","215","188","23","39","7","0","10","24","1","1","23","53",".207",".298",".404",".702","98","76","3","2","0","2","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","OF","Kole Calhoun*","34","125","424","388","36","76","14","1","12","49","3","2","27","136",".196",".257",".330",".587","66","128","6","6","0","3","0"
"11","UT","Josh Smith*","24","73","253","213","23","42","5","0","2","16","4","3","28","50",".197",".307",".249",".556","61","53","1","7","2","3","0"
"12","UT","Brad Miller*","32","81","241","222","20","47","3","0","7","32","4","2","18","70",".212",".270",".320",".590","67","71","3","0","0","1","0"
"13","C","Sam Huff","24","44","132","121","9","29","4","0","4","10","1","0","11","42",".240",".303",".372",".675","91","45","1","0","0","0","1"
"14","3B","Andy Ibáñez","29","40","128","119","13","26","4","0","1","9","3","0","9","21",".218",".273",".277",".551","58","33","0","0","0","0","0"
"15","UT","Charlie Culberson","33","68","124","115","19","29","6","0","2","12","2","3","5","31",".252",".283",".357",".640","81","41","5","0","4","0","0"
"16","OF","Eli White","28","47","117","105","16","21","2","0","3","10","12","1","11","41",".200",".274",".305",".578","65","32","0","0","0","1","0"
"17","3B","Josh Jung","24","26","102","98","9","20","4","1","5","14","2","0","4","39",".204",".235",".418",".654","81","41","2","0","0","0","0"
"18","LF","Nick Solak","27","35","95","82","14","17","1","0","3","4","3","2","7","19",".207",".309",".329",".638","82","27","1","5","1","0","0"
"19","C","Meibrys Viloria*","25","26","75","63","10","10","1","0","2","5","0","0","11","29",".159",".280",".270",".550","58","17","0","0","0","1","0"
"20","DH","Mark Mathias","27","24","74","65","11","18","3","0","5","16","2","0","9","26",".277",".365",".554",".919","157","36","0","0","0","0","0"
"21","DH","Willie Calhoun*","27","18","53","44","7","6","3","0","1","2","0","0","8","6",".136",".283",".273",".556","60","12","1","1","0","0","0"
"22","UT","Elier Hernandez","27","14","35","33","4","6","2","0","0","3","0","0","1","15",".182",".200",".242",".442","25","8","1","0","0","1","0"
"23","OF","Zach Reks*","28","16","34","34","3","9","1","0","0","3","0","1","0","10",".265",".265",".294",".559","59","10","0","0","0","0","0"
"24","OF","Steven Duggar*","28","8","19","17","2","3","0","0","0","0","1","1","2","12",".176",".263",".176",".440","29","3","0","0","0","0","0"
"25","OF","Steele Walker*","25","5","16","14","1","1","0","0","1","1","0","0","2","4",".071",".188",".286",".473","32","4","0","0","0","0","0"
"26","C","Kevin Plawecki","31","3","11","11","0","3","0","0","0","1","0","0","0","4",".273",".273",".273",".545","56","3","1","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"27","P","Brock Burke*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Kolby Allard*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Spencer Howard","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Greg Holland","36","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","John King*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Glenn Otto","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Brett Martin*","27","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Jesús Tinoco","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Dennis Santana","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Albert Abreu","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Jon Gray","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Dallas Keuchel*","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Matt Bush","36","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Taylor Hearn*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Tyson Miller","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Jonathan Hernández","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Matt Moore*","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Martín Pérez*","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Spencer Patton","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Dane Dunning","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Kohei Arihara","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Nicklaus Snyder","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","José Leclerc","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Yerry Rodríguez","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"51","P","Cole Ragans*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"52","P","Joe Barlow","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"53","P","A.J. Alexy","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"54","P","Josh Sborz","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"55","P","Garrett Richards","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","28.1","162","6029","5478","707","1308","224","20","198","670","128","41","456","1446",".239",".301",".395",".696","96","2166","82","47","10","38","12"
