"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Alejandro Kirk","24","123","422","372","34","93","16","0","8","43","0","0","42","45",".250",".334",".358",".692","93","133","21","6","0","2","1"
"2","1B","Vladimir Guerrero Jr.","24","156","682","602","78","159","30","0","26","94","5","3","67","100",".264",".345",".444",".788","117","267","23","9","0","4","5"
"3","2B","Whit Merrifield","34","145","592","547","66","149","27","0","11","67","26","10","36","101",".272",".318",".382",".700","94","209","15","3","0","6","2"
"4","SS","Bo Bichette","25","135","601","571","69","175","30","3","20","73","5","3","27","115",".306",".339",".475",".814","123","271","14","2","0","1","0"
"5","3B","Matt Chapman","30","140","581","509","66","122","39","2","17","54","4","2","62","165",".240",".330",".424",".755","108","216","4","8","0","2","1"
"6","LF","Daulton Varsho*","26","158","581","527","65","116","23","3","20","61","16","7","45","135",".220",".285",".389",".674","85","205","5","4","1","3","0"
"7","CF","Kevin Kiermaier*","33","129","408","370","58","98","21","6","8","36","14","1","29","86",".265",".322",".419",".741","104","155","9","4","1","4","0"
"8","RF","George Springer","33","154","683","613","87","158","25","1","21","72","20","5","60","125",".258",".327",".405",".732","102","248","20","5","0","3","1"
"9","DH","Brandon Belt*","35","103","404","339","53","86","23","0","19","43","0","0","61","141",".254",".369",".490",".858","136","166","5","2","0","2","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","UT","Cavan Biggio*","28","111","338","289","54","68","12","0","9","40","5","2","40","88",".235",".340",".370",".710","98","107","0","7","0","2","0"
"11","C","Danny Jansen","28","86","301","268","38","61","15","0","17","53","0","0","23","62",".228",".312",".474",".786","115","127","3","10","0","0","1"
"12","IF","Santiago Espinal","28","93","254","230","30","57","14","0","2","25","2","1","18","36",".248",".310",".335",".644","80","77","5","3","2","1","1"
"13","2B","Davis Schneider","24","35","141","116","23","32","12","1","8","20","1","0","21","43",".276",".404",".603","1.008","175","70","2","4","0","0","0"
"14","MI","Ernie Clement","27","29","52","50","7","19","1","1","1","10","1","0","1","4",".380",".385",".500",".885","144","25","0","0","0","1","0"
"15","SS","Paul DeJong","29","13","44","44","1","3","0","0","0","1","0","0","0","18",".068",".068",".068",".136","-62","3","1","0","0","0","0"
"16","DH","Spencer Horwitz*","25","15","44","39","5","10","2","0","1","7","0","0","4","12",".256",".341",".385",".726","102","15","1","1","0","0","0"
"17","C","Tyler Heineman#","32","19","37","29","4","8","1","1","0","3","0","0","7","7",".276",".432",".379",".812","129","11","0","1","0","0","0"
"18","OF","Nathan Lukes*","28","29","31","26","4","5","1","1","0","2","0","0","4","9",".192",".290",".308",".598","67","8","1","0","0","1","0"
"19","RF","Jordan Luplow","29","7","17","14","1","3","0","0","0","1","0","0","3","8",".214",".353",".214",".567","64","3","0","0","0","0","1"
"20","DH","Cam Eden","25","5","6","6","1","1","0","0","0","0","0","0","0","2",".167",".167",".167",".333","-7","1","0","0","0","0","0"
"21","SS","Mason McCoy","28","6","1","1","2","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"22","P","Trevor Richards","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"23","P","Trent Thornton","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"24","P","Jordan Hicks","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Anthony Bass","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Tim Mayza*","31","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Wes Parsons","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","José Berríos","29","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Erik Swanson","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Yusei Kikuchi*","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Zach Pop","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Nate Pearson","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Jay Jackson","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Génesis Cabrera*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
