"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Keibert Ruiz#","24","136","562","523","55","136","24","0","18","67","1","1","31","58",".260",".308",".409",".717","97","214","13","6","0","2","1"
"2","1B","Dominic Smith*","28","153","586","527","57","134","21","1","12","46","1","1","47","91",".254",".326",".366",".692","92","193","12","10","0","2","1"
"3","2B","Luis García Jr.*","23","122","482","447","61","119","18","4","9","50","9","4","27","60",".266",".304",".385",".688","90","172","10","0","1","7","1"
"4","SS","CJ Abrams*","22","151","614","563","83","138","28","6","18","64","47","4","32","118",".245",".300",".412",".712","95","232","7","13","3","3","2"
"5","3B","Jeimer Candelario#","29","99","419","368","57","95","30","2","16","53","6","1","36","88",".258",".342",".481",".823","125","177","10","12","0","2","1"
"6","LF","Stone Garrett","27","89","271","234","40","63","17","0","9","40","3","1","26","82",".269",".343",".457",".801","120","107","6","3","0","5","0"
"7","CF","Alex Call","28","128","439","375","43","75","14","1","8","38","9","8","53","78",".200",".307",".307",".614","72","115","1","6","3","2","0"
"8","RF","Lane Thomas","27","156","682","628","101","168","36","3","28","86","20","5","36","176",".268",".315",".468",".783","114","294","5","11","0","7","0"
"9","DH","Joey Meneses","31","154","657","611","71","168","36","1","13","89","0","0","38","130",".275",".321",".401",".722","99","245","15","5","0","3","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","3B","Ildemaro Vargas#","31","86","286","262","32","66","13","2","4","31","1","1","19","20",".252",".304",".363",".666","84","95","10","1","3","1","0"
"11","UT","Jake Alu*","26","51","175","159","14","36","2","1","2","16","5","1","10","42",".226",".282",".289",".571","59","46","2","3","1","2","0"
"12","C","Riley Adams","27","44","158","143","8","39","13","2","4","21","0","0","11","45",".273",".331",".476",".807","120","68","5","2","1","1","0"
"13","LF","Corey Dickerson*","34","50","152","144","12","36","7","1","2","17","0","1","7","28",".250",".283",".354",".637","76","51","3","0","0","1","0"
"14","CF","Víctor Robles","26","36","126","107","15","32","5","1","0","8","8","1","11","18",".299",".385",".364",".750","110","39","3","4","4","0","0"
"15","CF","Jacob Young","23","33","121","107","9","27","7","1","0","12","13","0","10","22",".252",".322",".336",".658","84","36","2","1","3","0","0"
"16","2B","Michael Chavis","27","48","96","91","16","22","3","0","2","5","1","0","5","33",".242",".281",".341",".622","72","31","3","0","0","0","0"
"17","3B","Carter Kieboom","25","27","94","87","12","18","2","0","4","11","0","0","6","27",".207",".266",".368",".634","74","32","2","1","0","0","0"
"18","CF","Derek Hill","27","13","50","47","3","8","1","0","0","1","1","0","3","11",".170",".220",".191",".411","16","9","0","0","0","0","0"
"19","OF","Travis Blankenhorn*","26","10","37","31","2","5","0","0","1","1","0","0","6","6",".161",".297",".258",".555","57","8","0","0","0","0","0"
"20","LF","Blake Rutherford*","26","16","36","35","4","6","0","0","0","2","0","0","1","10",".171",".194",".171",".366","3","6","1","0","0","0","0"
