"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Nick Ahmed","30","us US","R","R","6' 2""","201","Mar 15, 1990","7","57","56","57","57","0","0","0","0","0","57","0","0","0","0","0","1","0","1.6","$6,375,000",NA
"Jeremy Beasley","24","us US","R","R","6' 2""","235","Nov 20, 1995","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",NA
"Travis Bergen","26","us US","L","L","6' 1""","223","Oct 8, 1993","2","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",NA
"Silvino Bracho","27","ve VE","R","R","5' 10""","190","Jul 17, 1992","5","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",NA
"Archie Bradley","27","us US","R","R","6' 4""","215","Aug 10, 1992","6","10","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$4,100,000",NA
"Madison Bumgarner","30","us US","R","L","6' 4""","240","Aug 1, 1989","12","9","9","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$6,000,000",NA
"Kole Calhoun","32","us US","L","L","5' 10""","205","Oct 14, 1987","9","54","53","54","48","0","0","0","0","0","0","0","0","48","48","6","1","0","1.4","$6,000,000",NA
"Andrew Chafin","30","us US","R","L","6' 2""","235","Jun 17, 1990","7","11","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$3,045,000",NA
"Taylor Clarke","27","us US","R","R","6' 4""","210","May 13, 1993","2","12","5","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",NA
"Stefan Crichton","28","us US","R","R","6' 3""","208","Feb 29, 1992","3","26","0","0","26","26","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",NA
"Kevin Cron","27","us US","R","R","6' 4""","255","Feb 17, 1993","2","8","5","8","1","0","0","1","0","0","0","0","0","0","0","6","3","0","-0.4","",NA
