"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Adam Bernero","28","us US","R","R","6' 4""","205","Nov 28, 1976","6","36","0","33","36","36","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","$450,000",""
"Wilson Betemit","23","do DO","B","R","6' 2""","220","Nov 2, 1981","3","115","57","115","86","0","0","0","1","63","25","0","0","0","0","0","26","11","1.5","$316,000",""
"Blaine Boyer","23","us US","R","R","6' 3""","235","Jul 11, 1981","1st","43","0","41","43","43","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Frank Brooks","26","us US","L","L","6' 1""","190","Sep 6, 1978","2","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jim Brower","32","us US","R","R","6' 2""","205","Dec 29, 1972","7","37","0","37","37","37","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Matt Childers","26","us US","R","R","6' 5""","215","Dec 3, 1978","2","3","0","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Román Colón","25","do DO","R","R","6' 5""","245","Aug 13, 1979","2","23","4","21","23","23","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$318,500",""
"Kyle Davies","21","us US","R","R","6' 1""","210","Sep 9, 1983","1st","21","14","19","21","21","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Joey Devine","21","us US","R","R","6' 0""","235","Sep 19, 1983","1st","5","0","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Johnny Estrada","29","us US","B","R","5' 11""","209","Jun 27, 1976","5","105","97","105","104","0","104","0","0","0","0","0","0","0","0","0","3","0","0.1","$460,000",""
"Kyle Farnsworth","29","us US","R","R","6' 4""","230","Apr 14, 1976","7","26","0","26","26","26","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"John Foster","27","us US","L","L","6' 0""","200","May 17, 1978","3","62","0","59","62","62","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Julio Franco","46","do DO","R","R","6' 0""","160","Aug 23, 1958","21","108","49","108","62","0","0","62","0","0","0","0","0","0","0","4","52","0","-0.1","$1,000,000",""
"Jeff Francoeur","21","us US","R","R","6' 4""","225","Jan 8, 1984","1st","70","65","70","67","0","0","0","0","0","0","0","0","67","67","0","2","2","3.0","",""
"Rafael Furcal","27","do DO","B","R","5' 8""","195","Oct 24, 1977","6","154","152","154","152","0","0","0","0","0","152","0","0","0","0","0","1","1","6.5","$5,600,000",""
"Marcus Giles","27","us US","R","R","5' 8""","180","May 18, 1978","5","152","147","152","150","0","0","0","149","1","0","0","0","0","0","0","3","0","4.0","$2,350,000",""
"Seth Greisinger","29","us US","R","R","6' 3""","200","Jul 29, 1975","4","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Kevin Gryboski","31","us US","R","R","6' 5""","220","Nov 15, 1973","4","31","0","29","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$877,500",""
"Mike Hampton","32","us US","R","L","5' 10""","185","Sep 9, 1972","13","12","12","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","1.5","$15,125,000",""
"Todd Hollandsworth","32","us US","L","L","6' 2""","193","Apr 20, 1973","11","24","5","24","10","0","0","1","0","0","0","6","0","3","9","0","18","0","-0.1","",""
"Tim Hudson","29","us US","R","R","6' 1""","175","Jul 14, 1975","7","29","29","27","29","29","0","0","0","0","0","0","0","0","0","0","0","0","3.2","$6,500,000",""
"Chuck James","23","us US","L","L","6' 0""","190","Nov 9, 1981","1st","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Kelly Johnson","23","us US","L","R","6' 1""","200","Feb 22, 1982","1st","87","74","87","79","0","0","0","0","0","0","79","0","0","79","1","5","4","1.4","",""
"Andruw Jones","28","cw CW","R","R","6' 1""","225","Apr 23, 1977","10","160","158","160","159","0","0","0","0","0","0","0","159","0","159","0","1","0","6.7","$13,000,000","All-Star"
"Chipper Jones HOF","33","us US","B","R","6' 4""","210","Apr 24, 1972","12","109","100","109","101","0","0","0","0","101","0","0","0","0","0","0","9","0","4.1","$16,061,802",""
"Brian Jordan","38","us US","R","R","6' 1""","205","Mar 29, 1967","14","76","59","76","62","0","0","0","0","0","0","45","0","17","62","0","17","0","-0.1","$600,000",""
"Danny Kolb","30","us US","R","R","6' 4""","185","Mar 29, 1975","7","65","0","63","65","65","0","0","0","0","0","0","0","0","0","0","0","0","-1.3","$3,400,000",""
"Ryan Langerhans","25","us US","L","L","6' 3""","220","Feb 20, 1980","3","128","84","128","114","0","0","0","0","0","0","54","19","48","114","0","16","10","2.5","$316,000",""
"Adam LaRoche","25","us US","L","L","6' 2""","205","Nov 6, 1979","2","141","117","141","125","0","0","125","0","0","0","0","0","0","0","0","19","1","-0.8","$337,500",""
"Anthony Lerew","22","us US","L","R","6' 4""","225","Oct 28, 1982","1st","7","0","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Andy Marte","21","do DO","R","R","6' 1""","205","Oct 21, 1983","1st","24","13","24","17","0","0","0","0","17","0","0","0","0","0","0","7","1","-1.4","",""
