"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Winston Abreu","29","do DO","R","R","6' 2""","170","Apr 5, 1977","1st","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Danny Ardoin","31","us US","R","R","6' 0""","205","Jul 8, 1974","4","5","4","5","5","0","5","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Érik Bédard","27","ca CA","L","L","6' 1""","195","Mar 5, 1979","4","33","33","1","33","33","0","0","0","0","0","0","0","0","0","0","0","0","3.8","$1,400,000",""
"Kris Benson","31","us US","R","R","6' 4""","190","Nov 7, 1974","7","30","30","3","30","30","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$8,333,333",""
"Kurt Birkins","25","us US","L","L","6' 2""","188","Aug 11, 1980","1st","35","0","4","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Chris Britton","23","us US","R","R","6' 3""","275","Dec 16, 1982","1st","52","0","5","52","52","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Jim Brower","33","us US","R","R","6' 2""","205","Dec 29, 1972","8","12","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$700,000",""
"Brian Burres","25","us US","L","L","6' 1""","175","Apr 8, 1981","1st","11","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Tim Byrdak","32","us US","L","L","5' 11""","190","Oct 31, 1973","5","16","0","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$335,000",""
"Daniel Cabrera","25","do DO","R","R","6' 7""","225","May 28, 1981","3","26","26","1","26","26","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$385,000",""
"Raúl Chávez","33","ve VE","R","R","5' 11""","245","Mar 17, 1973","9","16","8","16","15","0","15","0","0","0","0","0","0","0","0","0","1","0","0.0","$400,000",""
"Bruce Chen","29","pa PA","L","L","6' 2""","215","Jun 19, 1977","9","40","12","2","40","40","0","0","0","0","0","0","0","0","0","0","0","0","-1.2","$3,800,000",""
"Howie Clark","32","us US","L","R","5' 10""","195","Feb 13, 1974","4","7","1","7","1","0","0","0","0","1","0","0","0","0","0","1","5","0","-0.1","",""
"Jeff Conine","40","us US","R","R","6' 1""","205","Jun 27, 1966","16","114","103","114","110","0","0","73","0","1","0","56","0","1","57","3","3","0","-0.2","$1,700,000",""
