"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Matt Andriese","31","us US","R","R","6' 2""","215","Aug 28, 1989","7","26","0","3","26","26","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$1,850,000",""
"Jonathan Araúz","22","pa PA","B","R","6' 0""","195","Aug 3, 1998","2","28","19","28","25","1","0","0","12","2","13","0","0","0","0","0","4","2","0.1","",""
"Christian Arroyo","26","us US","R","R","6' 1""","220","May 30, 1995","5","57","44","57","53","1","0","1","51","0","2","0","0","0","0","2","8","2","1.5","",""
"Matt Barnes","31","us US","R","R","6' 4""","208","Jun 17, 1990","8","60","0","6","60","60","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$4,500,000","All-Star"
"Eduard Bazardo","25","ve VE","R","R","6' 0""","190","Sep 1, 1995","1st","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Xander Bogaerts","28","aw AW","R","R","6' 2""","218","Oct 1, 1992","9","144","143","144","138","0","0","0","0","0","138","0","0","0","0","6","1","0","5.0","$20,000,000","All-Star"
"Ryan Brasier","33","us US","R","R","6' 0""","223","Aug 26, 1987","5","13","0","2","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$1,250,000",""
"Brandon Brennan","29","us US","R","R","6' 4""","207","Jul 26, 1991","3","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Colten Brewer","28","us US","R","R","6' 4""","222","Oct 29, 1992","4","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Austin Brice","29","hk HK","R","R","6' 4""","238","Jun 19, 1992","6","13","0","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$870,000",""
"Michael Chavis","25","us US","R","R","5' 10""","190","Aug 11, 1995","3","31","19","31","29","0","0","8","22","0","0","0","0","0","0","0","4","3","-0.4","",""
"Franchy Cordero","26","do DO","L","R","6' 3""","225","Sep 2, 1994","5","48","37","48","45","0","0","11","0","0","0","33","0","2","35","1","6","2","-0.6","",""
"Kutter Crawford","25","us US","R","R","6' 1""","195","Apr 1, 1996","1st","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Bobby Dalbec","26","us US","R","R","6' 4""","225","Jun 29, 1995","2","133","115","133","130","0","0","123","0","14","2","0","0","0","0","1","8","2","0.3","",""
"Austin Davis","28","us US","L","L","6' 4""","235","Feb 3, 1993","4","19","0","1","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Rafael Devers","24","do DO","L","R","6' 0""","235","Oct 24, 1996","5","156","155","156","151","0","0","0","2","151","0","0","0","0","0","4","1","0","3.7","$4,575,000","All-Star"
"Jarren Duran","24","us US","L","R","6' 2""","205","Sep 5, 1996","1st","33","26","33","29","0","0","0","0","0","0","1","28","0","29","0","4","1","-0.7","",""
"Nathan Eovaldi","31","us US","R","R","6' 2""","217","Feb 13, 1990","10","32","32","1","32","32","0","0","0","0","0","0","0","0","0","0","0","0","4.3","$17,000,000","All-Star"
"Raynel Espinal","29","do DO","R","R","6' 3""","215","Oct 6, 1991","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Michael Feliz","28","do DO","R","R","6' 4""","250","Jun 28, 1993","7","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Stephen Gonsalves","26","us US","L","L","6' 5""","218","Jul 8, 1994","2","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Marwin González","32","ve VE","B","R","6' 1""","205","Mar 14, 1989","10","77","67","77","75","1","0","15","37","6","12","12","0","2","14","0","7","0","-0.3","$3,000,000",""
"Darwinzon Hernández","24","ve VE","L","L","6' 2""","255","Dec 17, 1996","3","48","0","5","48","48","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Enrique Hernández","29","pr PR","R","R","5' 11""","195","Aug 24, 1991","8","134","130","134","134","0","0","0","47","0","8","0","93","0","93","0","3","0","5.0","$6,000,000",""
"Tanner Houck","25","us US","R","R","6' 5""","226","Jun 29, 1996","2","18","13","1","18","18","0","0","0","0","0","0","0","0","0","0","0","0","1.5","",""
"Jose Iglesias","31","cu CU","R","R","5' 11""","195","Jan 5, 1990","10","23","17","23","22","0","0","0","18","0","5","0","0","0","0","1","2","2","0.4","",""
"Jack López","28","pr PR","R","R","5' 10""","160","Dec 16, 1992","1st","7","5","7","6","0","0","0","6","0","0","0","0","0","0","0","0","1","0.1","",""
"J.D. Martinez","33","us US","R","R","6' 3""","230","Aug 21, 1987","11","148","148","148","36","0","0","0","0","0","0","30","0","8","36","113","0","0","3.1","$19,350,000","All-Star"
"Taylor Motter","31","us US","R","R","6' 1""","195","Sep 18, 1989","4","3","1","3","2","0","0","0","2","0","0","0","0","0","0","0","0","1","0.1","",""
"Yairo Muñoz","26","do DO","R","R","5' 11""","200","Jan 23, 1995","4","5","2","5","4","0","0","0","3","0","0","1","0","0","1","0","0","1","-0.2","",""
"Kaleb Ort","29","us US","R","R","6' 4""","248","Feb 5, 1992","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Adam Ottavino","35","us US","B","R","6' 5""","246","Nov 22, 1985","11","69","0","6","69","69","0","0","0","0","0","0","0","0","0","0","0","0","0.8","",""
"Brad Peacock","33","us US","R","R","6' 1""","207","Feb 2, 1988","10","2","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Martín Pérez","30","ve VE","L","L","6' 0""","200","Apr 4, 1991","10","36","22","2","36","36","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$4,500,000",""
"Nick Pivetta","28","ca CA","R","R","6' 5""","210","Feb 14, 1993","5","31","30","2","31","31","0","0","0","0","0","0","0","0","0","0","0","0","2.5","",""
"Kevin Plawecki","30","us US","R","R","6' 2""","208","Feb 26, 1991","7","64","45","64","55","1","53","2","0","0","0","0","0","0","0","5","6","0","0.3","$1,600,000",""
"Hunter Renfroe","29","us US","R","R","6' 1""","230","Jan 28, 1992","6","144","140","144","142","0","0","0","0","0","0","0","8","138","142","1","2","0","2.4","$3,100,000",""
