"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Adbert Alzolay","28","ve VE","R","R","6' 1""","208","Mar 1, 1995","5","58","0","0","58","58","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$744,750",""
"Miguel Amaya","24","pa PA","R","R","6' 0""","230","Mar 9, 1999","1st","53","41","53","41","0","41","0","0","0","0","0","0","0","0","9","9","0","0.2","",""
"Javier Assad","25","mx MX","R","R","6' 1""","200","Jul 30, 1997","2","32","10","0","32","32","0","0","0","0","0","0","0","0","0","0","0","0","2.4","$721,500",""
"Tucker Barnhart","32","us US","L","R","5' 11""","192","Jan 7, 1991","10","47","37","43","46","4","42","0","0","0","0","0","0","0","0","0","1","0","-0.5","$3,250,000",""
"Cody Bellinger","27","us US","L","L","6' 4""","203","Jul 13, 1995","7","130","128","130","127","0","0","59","0","0","0","0","84","0","84","3","2","0","4.4","$12,500,000",""
"Brad Boxberger","35","us US","R","R","5' 10""","211","May 27, 1988","12","22","0","0","22","22","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$2,000,000",""
"Nick Burdi","30","us US","R","R","6' 3""","225","Jan 19, 1993","4","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Alexander Canario","23","do DO","R","R","5' 11""","165","May 7, 2000","1st","6","4","6","3","0","0","0","0","0","0","1","1","1","3","4","2","0","-0.1","",""
"Jeimer Candelario","29","us US","B","R","6' 2""","222","Nov 24, 1993","8","41","40","41","35","0","0","21","0","19","0","0","0","0","0","6","1","0","0.1","",""
"Pete Crow-Armstrong","21","us US","L","L","5' 11""","184","Mar 25, 2002","1st","13","3","13","13","0","0","0","0","0","0","0","13","0","13","0","0","7","-0.1","",""
"José Cuas","29","do DO","R","R","6' 3""","195","Jun 28, 1994","2","27","1","0","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"Tyler Duffey","32","us US","R","R","6' 3""","220","Dec 27, 1990","9","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$100,000",""
"Jeremiah Estrada","24","us US","B","R","6' 1""","185","Nov 1, 1998","2","12","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Michael Fulmer","30","us US","R","R","6' 3""","224","Mar 15, 1993","7","58","1","2","58","58","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$4,000,000",""
"Yan Gomes","35","br BR","R","R","6' 2""","212","Jul 19, 1987","12","116","102","116","103","0","103","0","0","0","0","0","0","0","0","12","10","0","1.7","$6,000,000",""
"Shane Greene","34","us US","R","R","6' 4""","200","Nov 17, 1988","10","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Ian Happ","28","us US","B","R","6' 0""","205","Aug 12, 1994","7","158","156","158","154","0","0","0","0","0","0","154","0","0","154","4","1","0","3.0","$10,850,000",""
"Kyle Hendricks","33","us US","R","R","6' 3""","190","Dec 7, 1989","10","24","24","0","24","24","0","0","0","0","0","0","0","0","0","0","0","0","1.4","$14,000,000",""
"Nico Hoerner","26","us US","R","R","6' 1""","200","May 13, 1997","5","150","149","150","149","0","0","0","135","0","20","0","0","0","0","1","1","0","5.1","$2,525,000",""
"Eric Hosmer","33","us US","L","L","6' 4""","226","Oct 24, 1989","13","31","27","31","15","0","0","15","0","0","0","0","0","0","0","14","4","0","-0.5","$720,000",""
"Brandon Hughes","27","us US","B","L","6' 2""","215","Dec 1, 1995","2","17","0","0","17","17","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$728,000",""
"Anthony Kay","28","us US","L","L","6' 0""","225","Mar 21, 1995","5","13","0","4","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Caleb Kilian","26","us US","R","R","6' 4""","180","Jun 2, 1997","2","3","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Mark Leiter Jr.","32","us US","R","R","6' 0""","210","Mar 13, 1991","4","69","0","1","69","69","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$850,000",""
"Luke Little","22","us US","L","L","6' 8""","220","Aug 30, 2000","1st","7","0","1","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Nick Madrigal","26","us US","R","R","5' 8""","175","Mar 5, 1997","4","92","68","92","81","0","0","0","14","72","0","0","0","0","0","5","16","6","1.2","$1,225,000",""
"Trey Mancini","31","us US","R","R","6' 3""","230","Mar 18, 1992","7","79","63","79","55","0","0","51","0","0","0","0","0","5","5","22","15","0","-1.4","$7,000,000",""
"Miles Mastrobuoni","27","us US","L","R","5' 10""","185","Oct 31, 1995","2","61","35","60","46","1","0","0","7","29","4","1","0","6","7","6","10","8","0.4","$720,500",""
"Julian Merryweather","31","us US","R","R","6' 4""","215","Oct 14, 1991","4","69","0","1","69","69","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$737,000",""
"Matt Mervis","25","us US","L","R","6' 2""","225","Apr 16, 1998","1st","27","26","27","27","0","0","27","0","0","0","0","0","0","0","0","1","0","-0.4","",""
"Christopher Morel","24","do DO","R","R","5' 11""","145","Jun 24, 1999","2","107","101","107","49","0","0","0","19","5","2","8","12","8","25","61","4","0","1.2","",""
"Daniel Palencia","23","ve VE","R","R","5' 11""","160","Feb 5, 2000","1st","27","0","0","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Edwin Ríos","29","pr PR","L","R","6' 3""","220","Apr 21, 1994","5","18","9","18","5","0","0","0","0","5","0","0","0","0","0","10","6","0","-0.3","$1,000,000",""
"Michael Rucker","29","us US","R","R","6' 1""","195","Apr 27, 1994","3","35","0","2","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$737,000",""
"Drew Smyly","34","us US","L","L","6' 2""","188","Jun 13, 1989","10","41","23","1","41","41","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$8,000,000",""
"Justin Steele","27","us US","L","L","6' 2""","205","Jul 11, 1995","3","30","30","0","30","30","0","0","0","0","0","0","0","0","0","0","0","0","3.7","$740,000","All-Star"
"Marcus Stroman","32","us US","R","R","5' 7""","180","May 1, 1991","9","27","25","0","27","27","0","0","0","0","0","0","0","0","0","0","0","0","1.6","$25,000,000","All-Star"
"Seiya Suzuki","28","jp JP","R","R","5' 11""","182","Aug 18, 1994","2","138","135","138","132","0","0","0","0","0","0","0","0","132","132","5","1","1","2.8","$18,000,000",""
"Dansby Swanson","29","us US","R","R","6' 1""","190","Feb 11, 1994","8","147","147","147","147","0","0","0","0","0","147","0","0","0","0","0","0","0","4.8","$14,000,000","All-Star"
"Jameson Taillon","31","us US","R","R","6' 5""","230","Nov 18, 1991","7","30","29","0","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$14,000,000",""
"Mike Tauchman","32","us US","L","L","6' 1""","220","Dec 3, 1990","6","108","85","108","92","0","0","0","0","0","0","4","81","10","92","12","19","0","2.4","",""
"Keegan Thompson","28","us US","R","R","6' 1""","210","Mar 13, 1995","3","19","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$740,000",""
"Luis Torrens","27","ve VE","R","R","6' 0""","217","May 2, 1996","6","13","5","13","5","0","4","0","0","0","0","1","0","0","1","7","5","0","-0.1","$1,200,000",""
"Nelson Velázquez","24","pr PR","R","R","6' 0""","190","Dec 26, 1998","2","13","8","13","8","0","0","0","0","0","0","1","3","4","8","5","2","2","0.0","",""
"Hayden Wesneski","25","us US","R","R","6' 3""","210","Dec 5, 1997","2","34","11","2","34","34","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$721,500",""
"Jordan Wicks","23","us US","L","L","6' 3""","220","Sep 1, 1999","1st","7","7","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Patrick Wisdom","31","us US","R","R","6' 2""","220","Aug 27, 1991","6","97","77","97","82","0","0","14","1","61","0","5","0","4","9","11","15","2","0.3","$763,000",""
"Jared Young","27","ca CA","L","R","6' 0""","200","Jul 9, 1995","2","16","12","16","14","0","0","14","0","0","0","0","0","0","0","2","1","1","-0.1","",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
