"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Jon Adkins","26","us US","L","R","6' 0""","200","Aug 30, 1977","2","50","0","3","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$301,000",""
"Roberto Alomar HOF","36","pr PR","B","R","6' 0""","184","Feb 5, 1968","17","18","17","18","13","0","0","0","13","0","0","0","0","0","0","5","0","1","-0.8","",""
"Sandy Alomar","38","pr PR","R","R","6' 5""","200","Jun 18, 1966","17","50","47","50","49","0","49","0","0","0","0","0","0","0","0","1","1","0","0.0","$700,000",""
"Jeff Bajenaru","26","us US","R","R","6' 1""","190","Mar 21, 1978","1st","9","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Joe Borchard","25","us US","B","R","6' 4""","230","Nov 25, 1978","3","63","54","63","56","0","0","0","0","0","0","0","2","54","56","4","6","1","-0.5","",""
"Mark Buehrle","25","us US","L","L","6' 2""","240","Mar 23, 1979","5","35","35","2","35","35","0","0","0","0","0","0","0","0","0","0","0","0","4.1","$3,500,000",""
"Jamie Burke","32","us US","R","R","6' 0""","195","Sep 24, 1971","3","57","35","57","51","0","45","2","0","2","0","0","0","2","2","3","6","1","1.2","",""
"José Contreras","32","cu CU","R","R","6' 4""","255","Dec 6, 1971","2","13","13","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Neal Cotts","24","us US","L","L","6' 2""","200","Mar 25, 1980","2","56","1","3","56","56","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$301,000",""
"Joe Crede","26","us US","R","R","6' 3""","195","Apr 26, 1978","5","144","142","144","144","0","0","0","0","144","0","0","0","0","0","0","0","0","0.2","$340,000",""
"Vic Darensbourg","33","us US","L","L","5' 8""","165","Nov 13, 1970","7","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Ben Davis","27","us US","B","R","6' 4""","195","Mar 10, 1977","7","54","44","54","53","0","53","0","0","0","0","0","0","0","0","0","1","1","0.0","",""
"Félix Díaz","23","do DO","R","R","6' 1""","180","Jul 27, 1980","1st","18","7","1","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Kelly Dransfeldt","29","us US","R","R","6' 2""","195","Apr 16, 1975","4","15","5","15","10","0","0","0","0","3","8","0","0","0","0","1","5","2","-0.1","",""
"Carl Everett","33","us US","B","R","6' 0""","181","Jun 3, 1971","12","43","42","43","1","0","0","0","0","0","0","1","0","0","1","41","1","0","0.1","",""
"Freddy García","27","ve VE","R","R","6' 4""","250","Oct 6, 1976","6","16","16","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","1.6","",""
"Jon Garland","24","us US","R","R","6' 6""","210","Sep 27, 1979","5","34","33","2","34","34","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$2,300,000",""
"Ross Gload","28","us US","L","L","6' 1""","190","Apr 5, 1976","3","110","53","110","78","0","0","42","0","0","0","17","1","22","39","13","30","13","-0.1","$302,000",""
"Jason Grilli","27","us US","R","R","6' 5""","235","Nov 11, 1976","3","8","8","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"Willie Harris","26","us US","L","R","5' 9""","195","Jun 22, 1978","4","129","101","129","117","0","0","0","92","0","0","1","29","0","30","2","19","3","1.5","$318,500",""
"Michael Jackson","39","us US","R","R","6' 1""","185","Dec 22, 1964","17","45","0","3","45","45","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$500,000",""
"Billy Koch","29","us US","R","R","6' 3""","218","Dec 14, 1974","6","24","0","0","24","24","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$6,375,000",""
"Paul Konerko","28","us US","R","R","6' 2""","220","Mar 5, 1976","8","155","153","155","139","0","0","139","0","0","0","0","0","0","0","16","1","0","2.3","$8,000,000",""
"Carlos Lee","28","pa PA","R","R","6' 2""","270","Jun 20, 1976","6","153","153","153","148","0","0","0","0","0","0","148","0","0","148","5","0","0","5.0","$6,500,000",""
"Esteban Loaiza","32","mx MX","R","R","6' 2""","230","Dec 31, 1971","10","21","21","2","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$4,000,000","All-Star"
"Dámaso Marte","29","do DO","L","L","6' 2""","215","Feb 14, 1975","5","74","0","4","74","74","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$500,000",""
"Arnie Muñoz","22","do DO","L","L","5' 9""","185","Jun 21, 1982","1st","11","1","1","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Miguel Olivo","25","do DO","R","R","6' 0""","230","Jul 15, 1978","3","46","40","46","46","0","46","0","0","0","0","0","0","0","0","0","2","2","1.4","$320,000",""
"Magglio Ordóñez","30","ve VE","R","R","6' 0""","215","Jan 28, 1974","8","52","50","52","43","0","0","0","0","0","0","0","0","43","43","7","2","0","0.9","$14,000,000",""
"Timo Pérez","29","do DO","L","L","5' 9""","180","Apr 8, 1975","5","103","70","103","80","0","0","0","0","0","0","12","25","49","80","6","27","4","-0.1","$850,000",""
"Cliff Politte","30","us US","R","R","5' 11""","185","Feb 27, 1974","7","54","0","4","54","54","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$800,000",""
"Jon Rauch","25","us US","R","R","6' 11""","290","Sep 27, 1978","2","2","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Aaron Rowand","26","us US","R","R","6' 0""","210","Aug 29, 1977","4","140","122","140","137","0","0","0","0","0","0","0","126","12","137","0","10","3","5.7","$340,000",""
"Scott Schoeneweis","30","us US","L","L","6' 0""","186","Oct 2, 1973","6","20","19","1","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$1,725,000",""
"Josh Stewart","25","us US","L","L","6' 3""","200","Dec 5, 1978","2","3","2","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Shingo Takatsu","35","jp JP","R","R","6' 0""","180","Nov 25, 1968","1st","59","0","3","59","59","0","0","0","0","0","0","0","0","0","0","0","0","2.2","$750,000",""
"Frank Thomas HOF","36","us US","R","R","6' 5""","240","May 27, 1968","15","74","69","74","4","0","0","4","0","0","0","0","0","0","0","65","5","0","2.8","$6,000,000",""
"Juan Uribe","25","do DO","R","R","6' 0""","245","Mar 22, 1979","4","134","121","134","130","0","0","0","77","27","38","0","0","0","0","2","8","3","4.0","$350,000",""
"Wilson Valdez","26","do DO","R","R","5' 11""","170","May 20, 1978","1st","19","12","19","17","0","0","0","5","0","12","0","0","0","0","0","3","1","0.3","",""
"José Valentín","34","pr PR","B","R","5' 10""","175","Oct 12, 1969","13","125","119","125","122","0","0","0","0","0","122","0","0","0","0","2","5","0","1.8","$5,000,000",""
"Dan Wright","26","us US","R","R","6' 5""","225","Dec 14, 1977","4","4","4","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","$340,000",""
"Kelly Wunsch","31","us US","L","L","6' 5""","192","Jul 12, 1972","5","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$800,000",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
