"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Andy Abad","33","us US","L","L","6' 1""","184","Aug 25, 1972","3","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","","$327,000",""
"Bronson Arroyo","29","us US","R","R","6' 3""","185","Feb 24, 1977","7","35","35","34","35","35","0","0","0","0","0","0","0","0","0","0","0","0","7.0","$3,000,000","All-Star"
"Rich Aurilia","34","us US","R","R","6' 0""","170","Sep 2, 1971","12","122","106","122","115","0","0","47","10","52","26","0","0","0","0","1","12","0","1.4","$1,300,000",""
"Matt Belisle","26","us US","R","R","6' 3""","230","Jun 6, 1980","3","30","2","30","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$343,500",""
"Bill Bray","23","us US","L","L","6' 3""","215","Jun 5, 1983","1st","29","0","29","29","29","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Mike Burns","27","us US","R","R","6' 1""","210","Jul 14, 1978","2","11","0","11","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$332,500",""
"Juan Castro","34","mx MX","R","R","5' 11""","190","Jun 20, 1972","12","54","19","54","45","0","0","0","1","20","27","0","0","0","0","0","11","0","0.9","",""
"Brandon Claussen","27","us US","R","L","6' 2""","200","May 1, 1979","4","14","14","13","14","14","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$370,000",""
"Royce Clayton","36","us US","R","R","6' 0""","175","Jan 2, 1970","16","50","38","50","43","0","0","0","0","0","43","0","0","0","0","0","9","0","-0.3","",""
"Todd Coffey","25","us US","R","R","6' 4""","240","Sep 9, 1980","2","81","0","79","81","81","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$339,000",""
"Rheal Cormier","39","ca CA","L","L","5' 10""","185","Apr 23, 1967","15","21","0","21","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Chris Denorfia","25","us US","R","R","6' 0""","195","Jul 15, 1980","2","49","25","49","37","0","0","0","0","0","0","11","12","15","37","0","12","2","0.5","$327,000",""
"Adam Dunn","26","us US","L","R","6' 6""","285","Nov 9, 1979","6","160","159","160","158","0","0","2","0","0","0","156","0","0","156","1","1","0","0.4","$7,500,000",""
"Edwin Encarnación","23","do DO","R","R","6' 1""","230","Jan 7, 1983","2","117","110","117","112","0","0","2","0","111","0","0","0","0","0","0","6","0","0.9","$332,500",""
"Ryan Franklin","33","us US","R","R","6' 3""","190","Mar 5, 1973","7","20","0","20","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Ryan Freel","30","us US","R","R","5' 10""","185","Mar 8, 1976","5","132","108","132","121","0","0","0","13","13","0","13","54","42","105","0","13","5","2.7","$1,300,000",""
"Justin Germano","23","us US","R","R","6' 2""","210","Aug 6, 1982","2","2","1","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Mike Gosling","25","us US","L","L","6' 2""","210","Sep 23, 1980","3","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Ken Griffey Jr. HOF","36","us US","L","L","6' 3""","195","Nov 21, 1969","18","109","103","109","100","0","0","0","0","0","0","0","100","0","100","3","6","0","-0.1","$10,464,686",""
"Eddie Guardado","35","us US","R","L","6' 0""","195","Oct 2, 1970","14","15","0","15","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Chris Hammond","40","us US","L","L","6' 1""","190","Jan 21, 1966","14","29","0","26","29","29","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$800,000",""
"Aaron Harang","28","us US","R","R","6' 7""","260","May 9, 1978","5","36","35","34","36","36","0","0","0","0","0","0","0","0","0","0","0","0","5.0","$2,350,000",""
"Brendan Harris","25","us US","R","R","6' 1""","200","Aug 26, 1980","3","8","1","8","3","0","0","0","3","0","0","0","0","0","0","0","5","0","-0.1","",""
"Scott Hatteberg","36","us US","L","R","6' 1""","192","Dec 14, 1969","12","141","122","141","131","0","0","131","0","0","0","0","0","0","0","0","11","0","1.8","$750,000",""
"Todd Hollandsworth","33","us US","L","L","6' 2""","193","Apr 20, 1973","12","34","13","34","20","0","0","0","0","0","0","1","0","19","20","0","18","0","-0.2","",""
"Norris Hopper","27","us US","R","R","5' 11""","205","Mar 24, 1979","1st","21","9","21","15","0","0","0","0","0","0","1","2","13","15","0","8","2","0.6","",""
"Jason Johnson","32","us US","R","R","6' 6""","225","Oct 27, 1973","10","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Austin Kearns","26","us US","R","R","6' 3""","240","May 20, 1980","5","87","84","87","85","0","0","0","0","0","0","0","0","85","85","0","3","0","1.4","$1,850,000",""
"Sun-Woo Kim","28","kr KR","R","R","6' 2""","180","Sep 4, 1977","6","2","1","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jason LaRue","32","us US","R","R","5' 11""","200","Mar 19, 1974","8","72","57","72","63","0","63","0","0","0","0","0","0","0","0","0","9","1","-0.3","$3,900,000",""
"Kyle Lohse","27","us US","R","R","6' 2""","215","Oct 4, 1978","6","12","11","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Felipe López","26","pr PR","B","R","6' 0""","205","May 12, 1980","6","85","82","85","84","0","0","0","0","0","84","0","0","0","0","0","2","0","0.4","$2,700,000",""
"Gary Majewski","26","us US","R","R","6' 2""","200","Feb 26, 1980","3","19","0","19","19","19","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Joe Mays","30","us US","B","R","6' 1""","160","Dec 10, 1975","7","7","4","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
