"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Jeremy Accardo","30","us US","R","R","6' 0""","195","Dec 18, 1981","8","26","0","4","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Cody Allen","23","us US","R","R","6' 1""","210","Nov 20, 1988","1st","27","0","0","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Jairo Asencio","29","do DO","R","R","6' 2""","180","May 30, 1983","3","18","0","0","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$480,000",""
"Scott Barnes","24","us US","L","L","6' 4""","200","Sep 5, 1987","1st","16","0","1","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Michael Brantley","25","us US","L","L","6' 2""","209","May 15, 1987","4","149","143","149","144","0","0","0","0","0","0","0","144","0","144","3","4","1","3.3","$495,300",""
"Asdrúbal Cabrera","26","ve VE","B","R","6' 0""","235","Nov 13, 1985","6","143","140","143","136","0","0","0","0","0","136","0","0","0","0","6","1","0","3.3","$4,550,000","All-Star"
"Russ Canzler","26","us US","R","R","6' 2""","220","Apr 11, 1986","2","26","24","26","19","0","0","8","0","0","0","11","0","0","11","6","2","0","0.1","",""
"Luke Carlin","31","us US","B","R","5' 10""","190","Dec 20, 1980","4","4","3","4","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Ezequiel Carrera","25","ve VE","L","L","5' 11""","185","Jun 11, 1987","2","48","37","48","47","0","0","0","0","0","0","36","15","1","47","0","1","1","0.5","",""
"Lonnie Chisenhall","23","us US","L","R","6' 2""","190","Oct 4, 1988","2","43","36","43","30","0","0","0","0","30","0","0","0","0","0","10","6","0","0.2","",""
"Shin-Soo Choo","29","kr KR","L","L","5' 11""","205","Jul 13, 1982","8","155","151","155","154","0","0","0","0","0","0","0","0","154","154","0","2","0","3.6","$4,900,000",""
"Aaron Cunningham","26","us US","R","R","5' 11""","215","Apr 24, 1986","5","72","21","72","70","0","0","0","0","0","0","52","11","13","70","2","1","3","-0.7","$482,300",""
"Johnny Damon","38","us US","L","L","6' 2""","205","Nov 5, 1973","18","64","57","64","56","0","0","0","0","0","0","56","0","0","56","5","6","0","0.3","$1,250,000",""
"Juan Díaz","23","do DO","B","R","6' 4""","220","Dec 12, 1988","1st","5","4","5","5","0","0","0","0","0","5","0","0","0","0","0","0","0","-0.3","",""
