"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Eliézer Alfonzo","32","ve VE","R","R","5' 11""","220","Feb 7, 1979","6","25","18","25","19","0","19","0","0","0","0","0","0","0","0","0","6","0","0.1","",""
"Alfredo Amézaga","33","mx MX","B","R","5' 11""","165","Jan 16, 1978","9","20","6","20","11","0","0","0","5","2","2","0","0","2","2","0","9","0","-0.3","",""
"Matt Belisle","31","us US","R","R","6' 3""","230","Jun 6, 1980","8","74","0","71","74","74","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$2,350,000",""
"Rafael Betancourt","36","ve VE","R","R","6' 2""","215","Apr 29, 1975","9","68","0","65","68","68","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$3,775,000",""
"Bruce Billings","25","us US","R","R","6' 0""","205","Nov 18, 1985","1st","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Charlie Blackmon","24","us US","L","L","6' 3""","221","Jul 1, 1986","1st","27","25","27","27","0","0","0","0","0","0","25","2","0","27","0","2","0","-0.7","",""
"Rex Brothers","23","us US","L","L","6' 0""","205","Dec 18, 1987","1st","48","0","45","48","48","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Jhoulys Chacín","23","ve VE","R","R","6' 3""","215","Jan 7, 1988","3","33","31","32","31","31","0","0","0","0","0","0","0","0","0","0","1","1","4.1","$419,000",""
"Aaron Cook","32","us US","R","R","6' 3""","215","Feb 8, 1979","10","23","17","22","18","18","0","0","0","0","0","0","0","0","0","0","1","4","-0.7","$9,875,000",""
"Matt Daley","29","us US","R","R","6' 2""","180","Jun 23, 1982","3","7","0","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Jorge De La Rosa","30","mx MX","L","L","6' 1""","215","Apr 5, 1981","8","10","10","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","1.2","$10,000,000",""
"Mark Ellis","34","us US","R","R","5' 10""","190","Jun 6, 1977","9","70","63","70","64","0","0","0","64","0","0","0","0","0","0","0","6","0","1.6","",""
"Edgmer Escalona","24","ve VE","R","R","6' 4""","235","Oct 6, 1986","2","14","0","14","14","14","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Thomas Field","24","us US","R","R","5' 10""","185","Feb 22, 1987","1st","16","12","16","16","0","0","0","0","0","15","0","0","1","1","0","1","0","0.2","",""
"Dexter Fowler","25","us US","B","R","6' 5""","205","Mar 22, 1986","4","125","119","125","122","0","0","0","0","0","0","0","122","0","122","0","5","0","2.3","$424,000",""
"Cole Garner","26","us US","R","R","6' 2""","215","Dec 15, 1984","1st","4","2","4","3","0","0","0","0","0","0","2","0","1","3","0","2","0","-0.1","",""
"Jason Giambi","40","us US","L","R","6' 3""","240","Jan 8, 1971","17","64","28","64","23","0","0","23","0","0","0","0","0","0","0","6","35","0","1.1","$1,000,000",""
"Héctor Gómez","23","do DO","R","R","6' 3""","195","Mar 5, 1988","1st","2","1","2","2","0","0","0","0","0","2","0","0","0","0","0","1","0","0.0","",""
"Carlos González","25","ve VE","L","L","6' 1""","220","Oct 17, 1985","4","127","122","127","125","0","0","0","0","0","0","61","30","34","125","0","2","0","4.3","$1,428,571",""
"Édgar González","28","mx MX","R","R","6' 2""","210","Feb 23, 1983","8","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Jason Hammel","28","us US","R","R","6' 6""","225","Sep 2, 1982","6","33","27","32","32","32","0","0","0","0","0","0","0","0","0","0","1","0","1.0","$3,000,000",""
"Todd Helton HOF","37","us US","L","L","6' 2""","220","Aug 20, 1973","15","124","113","124","119","0","0","119","0","0","0","0","0","0","0","0","5","0","2.2","$20,275,000",""
"Jonathan Herrera","26","ve VE","B","R","5' 9""","180","Nov 3, 1984","3","104","62","104","87","0","0","0","62","9","21","0","0","0","0","0","23","1","0.4","$419,000",""
"Chris Iannetta","28","us US","R","R","6' 0""","230","Apr 8, 1983","6","112","105","112","107","0","105","2","0","1","0","0","0","0","0","0","6","0","3.1","$2,550,000",""
"Ubaldo Jiménez","27","do DO","R","R","6' 5""","221","Jan 22, 1984","6","21","21","20","21","21","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$2,800,000",""
"Alan Johnson","27","us US","R","R","6' 1""","180","Aug 24, 1983","1st","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Kevin Kouzmanoff","29","us US","R","R","6' 1""","210","Jul 25, 1981","6","27","24","27","25","0","0","0","0","25","0","0","0","0","0","0","3","0","-0.1","",""
"Matt Lindstrom","31","us US","R","R","6' 3""","215","Feb 11, 1980","5","63","0","61","63","63","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$2,800,000",""
"José López","27","ve VE","R","R","6' 0""","205","Nov 24, 1983","8","38","32","38","36","0","0","0","11","29","0","0","0","0","0","0","4","0","-0.4","$3,600,000",""
"Jim Miller","29","us US","R","R","6' 1""","200","Apr 28, 1982","2","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Kevin Millwood","36","us US","R","R","6' 4""","230","Dec 24, 1974","15","9","9","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","1.1","",""
"Franklin Morales","25","ve VE","L","L","6' 1""","210","Jan 24, 1986","5","14","0","14","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$424,000",""
"José Morales","28","pr PR","B","R","5' 11""","200","Feb 20, 1983","4","22","17","22","19","0","17","0","2","0","0","0","0","0","0","0","4","0","-0.2","$420,000",""
"Clayton Mortensen","26","us US","R","R","6' 4""","185","Apr 10, 1985","3","16","6","15","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Chris Nelson","25","us US","R","R","5' 11""","205","Sep 3, 1985","2","63","39","63","52","0","0","0","29","24","2","0","0","0","0","0","11","2","-0.8","",""
"Juan Nicasio","24","do DO","R","R","6' 4""","250","Aug 31, 1986","1st","13","13","11","13","13","0","0","0","0","0","0","0","0","0","0","0","0","1.1","",""
"Jordan Pacheco","25","us US","R","R","6' 1""","200","Jan 30, 1986","1st","21","20","21","20","0","2","13","2","7","0","0","0","0","0","0","1","0","-0.5","",""
"Matt Pagnozzi","28","us US","R","R","6' 2""","215","Nov 10, 1982","3","7","7","7","7","0","7","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Felipe Paulino","27","do DO","R","R","6' 3""","270","Oct 5, 1983","4","18","0","18","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$790,000",""
"Drew Pomeranz","22","us US","R","L","6' 5""","246","Nov 22, 1988","1st","4","4","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Greg Reynolds","25","us US","R","R","6' 7""","225","Jul 3, 1985","2","13","3","13","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Matt Reynolds","26","us US","L","L","6' 5""","240","Oct 2, 1984","2","73","0","69","73","73","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$415,000",""
"Josh Roenicke","28","us US","R","R","6' 3""","205","Aug 4, 1982","4","19","0","19","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Esmil Rogers","25","do DO","R","R","6' 3""","200","Aug 14, 1985","3","22","13","22","18","18","0","0","0","0","0","0","0","0","0","0","0","4","-1.5","$417,000",""
"J.C. Romero","35","pr PR","B","L","5' 11""","205","Jun 4, 1976","13","12","0","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Wilin Rosario","22","do DO","R","R","5' 11""","225","Feb 23, 1989","1st","16","14","16","14","0","14","0","0","0","0","0","0","0","0","0","2","0","-0.3","",""
"Seth Smith","28","us US","L","L","6' 3""","210","Sep 30, 1982","5","147","119","147","129","0","0","0","0","0","0","25","0","107","129","0","25","0","0.6","$429,000",""
