"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Sergio Alcántara","23","do DO","B","R","6' 4""","151","Jul 10, 1996","1st","10","7","10","10","0","0","0","6","6","0","0","0","0","0","0","0","1","-0.3","",NA
"Tyler Alexander","25","us US","R","L","6' 2""","203","Jul 14, 1994","2","14","2","0","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",NA
"Jorge Bonifacio","27","do DO","R","R","6' 0""","220","Jun 4, 1993","4","30","22","30","29","0","0","0","0","0","0","19","0","10","29","0","4","1","-0.4","",NA
"Matthew Boyd","29","us US","L","L","6' 3""","223","Feb 2, 1991","6","12","12","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$5,300,000",NA
"Beau Burrows","23","us US","R","R","6' 2""","210","Sep 18, 1996","1st","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",NA
"Miguel Cabrera","37","ve VE","R","R","6' 4""","267","Apr 18, 1983","18","57","56","57","0","0","0","0","0","0","0","0","0","0","0","56","1","0","0.1","$30,000,000",NA
"Daz Cameron","23","us US","R","R","6' 2""","185","Jan 15, 1997","1st","17","16","17","16","0","0","0","0","0","0","0","0","16","16","0","1","0","-0.6","",NA
"Jeimer Candelario","26","us US","B","R","6' 2""","222","Nov 24, 1993","5","52","51","52","51","0","0","43","0","10","0","0","0","0","0","0","1","0","2.0","",NA
"Anthony Castro","25","ve VE","R","R","6' 2""","191","Apr 13, 1995","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",NA
"Harold Castro","26","ve VE","L","R","5' 10""","195","Nov 30, 1993","3","22","12","22","18","0","0","2","2","4","2","6","2","4","12","2","5","2","0.3","",NA
"Willi Castro","23","pr PR","B","R","6' 1""","206","Apr 24, 1997","2","36","35","36","35","0","0","0","1","8","27","0","0","0","0","1","0","1","0.4","",NA
"José Cisnero","31","do DO","R","R","6' 3""","258","Apr 11, 1989","4","29","0","0","29","29","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",NA
"C.J. Cron","30","us US","R","R","6' 4""","235","Jan 5, 1990","7","13","13","13","13","0","0","13","0","0","0","0","0","0","0","0","0","0","0.3","$6,100,000",NA
"Travis Demeritte","25","us US","R","R","6' 0""","180","Sep 30, 1994","2","18","8","18","15","1","0","0","0","0","0","2","0","12","14","3","4","5","-0.1","",NA
"Brandon Dixon","28","us US","R","R","6' 2""","215","Jan 29, 1992","3","5","3","5","5","0","0","4","1","0","0","2","0","0","2","0","1","1","-0.1","",NA
"Buck Farmer","29","us US","L","R","6' 4""","243","Feb 20, 1991","7","23","0","0","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$1,150,000",NA
"Carson Fulmer","26","us US","R","R","6' 0""","210","Dec 13, 1993","5","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",NA
"Michael Fulmer","27","us US","R","R","6' 3""","224","Mar 15, 1993","4","10","10","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$2,800,000",NA
"Kyle Funkhouser","26","us US","R","R","6' 3""","229","Mar 16, 1994","1st","13","0","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",NA
"Bryan Garcia","25","us US","R","R","6' 1""","205","Apr 19, 1995","2","26","0","0","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0.8","",NA
"Rony García","22","do DO","R","R","6' 3""","200","Dec 19, 1997","1st","15","2","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",NA
"Niko Goodrum","28","us US","B","R","6' 3""","220","Feb 28, 1992","4","43","41","43","41","0","0","0","11","0","31","0","0","0","0","0","2","0","0.1","",NA
"Grayson Greiner","27","us US","R","R","6' 6""","238","Oct 11, 1992","3","18","16","18","18","0","18","0","0","0","0","0","0","0","0","0","0","0","-0.2","",NA
"Eric Haase","27","us US","R","R","5' 10""","198","Dec 18, 1992","3","7","5","7","7","0","7","0","0","0","0","0","0","0","0","0","0","0","-0.1","",NA
"Derek Hill","24","us US","R","R","6' 2""","206","Dec 30, 1995","1st","15","1","15","10","0","0","0","0","0","0","0","10","0","10","4","3","6","-0.2","",NA
"Joe Jiménez","25","pr PR","R","R","6' 3""","277","Jan 17, 1995","4","25","0","0","25","25","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",NA
"JaCoby Jones","28","us US","R","R","6' 2""","211","May 10, 1992","5","30","28","30","28","0","0","0","0","0","0","0","28","0","28","0","2","0","0.5","$1,575,000",NA
