"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Bryan Abreu","24","do DO","R","R","6' 1""","225","Apr 22, 1997","3","31","0","1","31","31","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","",""
"José Altuve","31","ve VE","R","R","5' 6""","166","May 6, 1990","11","146","144","146","144","0","0","0","144","0","0","0","0","0","0","1","2","0","4.5","$29,000,000","All-Star"
"Yordan Álvarez","24","cu CU","L","R","6' 5""","225","Jun 27, 1997","3","144","136","144","41","0","0","0","0","0","0","41","0","0","41","98","6","0","3.1","",""
"Pedro Báez","33","do DO","R","R","6' 0""","232","Mar 11, 1988","8","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$4,750,000",""
"Brandon Bielak","25","us US","L","R","6' 2""","208","Apr 2, 1996","2","28","2","1","28","28","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Michael Brantley","34","us US","L","L","6' 2""","209","May 15, 1987","13","121","118","121","89","0","0","0","0","0","0","84","0","8","89","31","3","0","2.5","$16,000,000","All-Star"
"Alex Bregman","27","us US","R","R","6' 0""","192","Mar 30, 1994","6","91","90","91","90","0","0","0","0","90","0","0","0","0","0","0","1","0","2.1","$13,000,000",""
"Jason Castro","34","us US","L","R","6' 3""","215","Jun 18, 1987","11","66","38","66","52","0","52","0","0","0","0","0","0","0","0","2","23","0","1.0","$3,500,000",""
"Carlos Correa","26","pr PR","R","R","6' 4""","220","Sep 22, 1994","7","148","147","148","148","0","0","0","0","0","148","0","0","0","0","0","0","0","7.2","$11,700,000","All-Star"
"Ronnie Dawson","26","us US","L","R","6' 2""","217","May 19, 1995","1st","3","1","3","0","0","0","0","0","0","0","0","0","0","0","2","2","0","-0.1","",""
"Alex De Goti","26","us US","R","R","6' 0""","192","Aug 19, 1994","1st","2","2","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0.1","",""
"Aledmys Díaz","30","cu CU","R","R","6' 1""","195","Aug 1, 1990","6","84","70","84","73","0","0","12","13","30","9","15","0","1","16","5","10","0","1.6","$3,000,000",""
"Kent Emanuel","29","us US","L","L","6' 4""","225","Jun 4, 1992","1st","10","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Luis García Jr.","24","ve VE","R","R","5' 11""","244","Dec 13, 1996","2","30","28","3","30","30","0","0","0","0","0","0","0","0","0","0","0","0","2.6","",""
