"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Rick Ankiel","30","us US","L","L","6' 1""","210","Jul 19, 1979","8","27","23","27","25","0","0","0","0","0","0","0","25","0","25","0","2","0","0.3","$2,750,000",""
"Mike Aviles","29","us US","R","R","5' 10""","205","Mar 13, 1981","3","110","102","110","103","0","0","0","87","5","13","0","0","0","0","2","4","3","1.5","$429,000",""
"Brian Bannister","29","us US","R","R","6' 2""","202","Feb 28, 1981","5","24","23","3","24","24","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$2,300,000",""
"Yuniesky Betancourt","28","cu CU","R","R","5' 10""","205","Jan 31, 1982","6","151","151","151","151","0","0","0","0","0","151","0","0","0","0","0","0","0","-0.9","$3,300,000",""
"Wilson Betemit","28","do DO","B","R","6' 2""","220","Nov 2, 1981","8","84","71","84","61","0","0","5","2","53","0","2","0","0","2","15","10","1","1.1","",""
"Grégor Blanco","26","ve VE","L","L","5' 10""","187","Dec 24, 1983","3","49","44","49","44","0","0","0","0","0","0","1","40","3","44","1","3","2","0.7","",""
"Willie Bloomquist","32","us US","R","R","5' 11""","200","Nov 27, 1977","9","72","41","72","51","0","0","3","4","11","1","6","8","22","35","11","8","17","-0.9","$1,700,000",""
"Bryan Bullington","29","us US","R","R","6' 4""","210","Sep 30, 1980","5","13","5","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Billy Butler","24","us US","R","R","6' 0""","260","Apr 18, 1986","4","158","157","158","127","0","0","127","0","0","0","0","0","0","0","31","1","0","3.2","$470,000",""
"Alberto Callaspo","27","ve VE","B","R","5' 8""","210","Apr 19, 1983","5","88","88","88","87","0","0","0","11","76","0","0","0","0","0","1","0","0","1.1","$460,000",""
"Jesse Chavez","26","us US","R","R","6' 1""","180","Aug 21, 1983","3","23","0","0","23","23","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Bruce Chen","33","pa PA","L","L","6' 2""","215","Jun 19, 1977","12","33","23","1","33","33","0","0","0","0","0","0","0","0","0","0","0","0","3.0","",""
"Román Colón","30","do DO","R","R","6' 5""","245","Aug 13, 1979","5","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$665,000",""
"Juan Cruz","31","do DO","R","R","6' 2""","170","Oct 15, 1978","10","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$3,250,000",""
"Kyle Davies","26","us US","R","R","6' 1""","210","Sep 9, 1983","6","32","32","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$1,800,000",""
"David DeJesus","30","us US","L","L","5' 11""","190","Dec 20, 1979","8","91","89","91","88","0","0","0","0","0","0","2","19","70","88","2","1","1","1.9","$4,700,000",""
"Jarrod Dyson","25","us US","L","R","5' 9""","165","Aug 15, 1984","1st","18","14","18","15","0","0","0","0","0","0","0","15","0","15","1","1","2","0.8","",""
"Kyle Farnsworth","34","us US","R","R","6' 4""","230","Apr 14, 1976","12","37","0","2","37","37","0","0","0","0","0","0","0","0","0","0","0","0","1.5","$4,500,000",""
"Josh Fields","27","us US","R","R","6' 2""","225","Dec 14, 1982","5","13","12","13","12","0","0","0","0","12","0","0","0","0","0","0","1","0","0.3","$422,000",""
"Chris Getz","26","us US","L","R","6' 0""","185","Aug 30, 1983","3","72","60","72","66","0","0","0","64","2","0","0","0","0","0","0","5","3","0.3","$414,500",""
"Alex Gordon","26","us US","L","R","6' 1""","220","Feb 10, 1984","4","74","68","74","69","0","0","1","0","10","0","55","0","3","58","2","3","3","-0.5","$1,150,000",""
"Zack Greinke","26","us US","R","R","6' 2""","200","Oct 21, 1983","7","33","33","2","33","33","0","0","0","0","0","0","0","0","0","0","0","0","3.4","$7,250,000",""
"José Guillén","34","do DO","R","R","5' 11""","165","May 17, 1976","14","106","105","106","22","0","0","0","0","0","0","0","0","22","22","84","1","0","0.2","$12,000,000",""
