"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Jordyn Adams","23","us US","R","R","6' 2""","181","Oct 18, 1999","1st","17","10","17","14","0","0","0","0","0","0","3","5","6","14","0","2","2","-0.7","",""
"Jo Adell","24","us US","R","R","6' 3""","215","Apr 8, 1999","4","17","16","17","16","0","0","0","0","0","0","3","7","9","16","1","1","0","0.3","",""
"Tyler Anderson","33","us US","L","L","6' 2""","220","Dec 30, 1989","8","27","25","0","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$13,000,000",""
"Sam Bachman","23","us US","R","R","6' 1""","235","Sep 30, 1999","1st","11","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Jaime Barría","26","pa PA","R","R","6' 1""","210","Jul 18, 1996","6","34","6","0","34","34","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","$1,050,000",""
"Trey Cabbage","26","us US","L","R","6' 2""","204","May 3, 1997","1st","22","15","22","19","0","0","9","0","0","0","3","2","6","10","0","4","1","-0.3","",""
"Kelvin Caceres","23","do DO","R","R","6' 1""","205","Jan 26, 2000","1st","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Griffin Canning","27","us US","R","R","6' 2""","180","May 11, 1996","4","24","22","0","24","24","0","0","0","0","0","0","0","0","0","0","0","0","2.0","$850,000",""
"C.J. Cron","33","us US","R","R","6' 4""","235","Jan 5, 1990","10","15","13","15","14","0","0","14","0","0","0","0","0","0","0","1","1","0","-0.5","",""
"Davis Daniel","26","us US","R","R","6' 1""","190","Jun 11, 1997","1st","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Tucker Davidson","27","us US","L","L","6' 2""","215","Mar 25, 1996","4","18","0","0","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","$740,000",""
"Reid Detmers","23","us US","L","L","6' 2""","210","Jul 8, 1999","3","28","28","0","28","28","0","0","0","0","0","0","0","0","0","0","0","0","2.2","$740,000",""
"Chris Devenski","32","us US","R","R","6' 3""","211","Nov 13, 1990","8","29","0","0","29","29","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$720,000",""
"Jhonathan Díaz","26","ve VE","L","L","6' 0""","170","Sep 13, 1996","3","4","1","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Brandon Drury","30","us US","R","R","6' 2""","230","Aug 21, 1992","9","125","122","125","116","0","0","47","92","0","0","0","0","0","0","9","1","0","1.9","$8,500,000",""
"Eduardo Escobar","34","ve VE","B","R","5' 10""","193","Jan 5, 1989","13","60","41","59","51","3","0","5","11","36","0","0","0","0","0","2","14","0","-1.2","$9,500,000",""
"Carlos Estévez","30","do DO","R","R","6' 6""","277","Dec 28, 1992","7","63","0","0","63","63","0","0","0","0","0","0","0","0","0","0","0","0","0.6","$6,750,000","All-Star"
"David Fletcher","29","us US","R","R","5' 9""","185","May 31, 1994","6","33","26","33","32","0","0","0","14","3","18","0","0","0","0","0","1","2","0.1","$6,000,000",""
"Carson Fulmer","29","us US","R","R","6' 0""","210","Dec 13, 1993","7","3","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Lucas Giolito","28","us US","R","R","6' 6""","245","Jul 14, 1994","8","6","6","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Randal Grichuk","31","us US","R","R","6' 2""","216","Aug 13, 1991","10","54","51","54","52","0","0","0","0","0","0","52","2","0","52","1","3","0","0.3","",""
"Jimmy Herget","29","us US","R","R","6' 3""","170","Sep 9, 1993","5","29","1","0","29","29","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Kolton Ingram","26","us US","L","L","5' 9""","170","Oct 21, 1996","1st","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Ben Joyce","22","us US","R","R","6' 5""","225","Sep 17, 2000","1st","12","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
