"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Wilson Álvarez","34","ve VE","L","L","6' 1""","175","Mar 24, 1970","13","40","15","39","40","40","0","0","0","0","0","0","0","0","0","0","0","0","0.9","$1,500,000",""
"Adrián Beltré HOF","25","do DO","R","R","5' 11""","220","Apr 7, 1979","7","156","154","156","155","0","0","0","0","155","1","0","0","0","0","0","1","0","9.6","$5,000,000",""
"Milton Bradley","26","us US","B","R","6' 0""","215","Apr 15, 1978","5","141","137","141","138","0","0","0","0","0","0","17","93","31","138","0","4","0","3.1","$1,730,000",""
"Yhency Brazobán","24","do DO","R","R","6' 1""","250","Jun 11, 1980","1st","31","0","31","31","31","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Giovanni Carrara","36","ve VE","R","R","6' 2""","225","Mar 4, 1968","8","42","0","41","42","42","0","0","0","0","0","0","0","0","0","0","0","0","1.4","",""
"Chin-Feng Chen","26","tw TW","R","R","6' 1""","189","Oct 28, 1977","3","8","1","8","3","0","0","0","0","0","0","3","0","0","3","0","4","1","0.0","",""
"Hee-Seop Choi","25","kr KR","L","L","6' 5""","235","Mar 16, 1979","3","31","19","31","23","0","0","23","0","0","0","0","0","0","0","0","8","0","-0.3","",""
"Alex Cora","28","pr PR","L","R","6' 0""","200","Oct 18, 1975","7","138","122","138","138","0","0","0","138","0","0","0","0","0","0","0","5","1","1.5","$1,300,000",""
"Elmer Dessens","33","mx MX","R","R","5' 11""","200","Jan 13, 1971","8","12","1","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Darren Dreifort","32","us US","R","R","6' 2""","205","May 3, 1972","9","60","0","55","60","60","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$12,400,000",""
"Juan Encarnación","28","do DO","R","R","6' 2""","160","Mar 8, 1976","8","86","85","86","85","0","0","0","0","0","0","9","0","77","85","0","1","0","-0.1","$3,565,000",""
"Brian Falkenborg","26","us US","R","R","6' 7""","235","Jan 18, 1978","2","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$302,500",""
"Steve Finley","39","us US","L","L","6' 2""","175","Mar 12, 1965","16","58","55","58","55","0","0","0","0","0","0","0","55","0","55","0","3","0","1.4","",""
"Jose Flores","31","us US","R","R","5' 11""","180","Jun 28, 1973","2","9","1","9","1","0","0","0","1","1","0","0","0","0","0","0","2","6","0.0","",""
"Éric Gagné","28","ca CA","R","R","6' 2""","195","Jan 7, 1976","6","70","0","67","70","70","0","0","0","0","0","0","0","0","0","0","0","0","2.2","$5,000,000","All-Star"
"Jason Grabowski","28","us US","L","R","6' 3""","200","May 24, 1976","3","113","25","113","33","0","0","3","0","0","0","30","0","3","31","3","81","0","-0.8","$301,000",""
"Shawn Green","31","us US","L","L","6' 4""","190","Nov 10, 1972","12","157","156","157","153","0","0","111","0","0","0","0","0","52","52","3","1","0","2.0","$16,666,667",""
"José Hernández","34","pr PR","R","R","6' 1""","180","Jul 14, 1969","13","95","52","95","84","0","0","8","50","12","13","9","0","0","9","0","21","3","1.9","",""
"Kazuhisa Ishii","30","jp JP","L","L","6' 0""","215","Sep 9, 1973","3","31","31","29","31","31","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$2,975,000",""
"César Izturis","24","ve VE","B","R","5' 9""","180","Feb 10, 1980","4","159","156","159","159","0","0","0","0","0","159","0","0","0","0","0","0","0","3.8","$358,500",""
"Edwin Jackson","20","de DE","R","R","6' 2""","215","Sep 9, 1983","2","8","5","7","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Masao Kida","35","jp JP","R","R","6' 3""","210","Sep 12, 1968","4","3","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"José Lima","31","do DO","R","R","6' 2""","170","Sep 30, 1972","11","38","24","37","36","36","0","0","0","0","0","0","0","0","0","0","0","2","1.4","",""
"Paul Lo Duca","32","us US","R","R","5' 10""","193","Apr 12, 1972","7","91","88","91","90","0","81","3","0","0","0","9","0","0","9","0","2","0","2.0","$4,066,667","All-Star"
"Tom Martin","34","us US","L","L","6' 1""","200","May 21, 1970","8","47","0","44","47","47","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$1,400,000",""
"Brent Mayne","36","us US","L","R","6' 1""","195","Apr 19, 1968","15","47","33","47","47","0","47","0","0","0","0","0","0","0","0","0","1","0","-0.4","",""
"Guillermo Mota","30","do DO","R","R","6' 6""","240","Jul 25, 1973","6","52","0","49","52","52","0","0","0","0","0","0","0","0","0","0","0","0","1.9","$1,475,000",""
"Rodney Myers","35","us US","R","R","6' 1""","200","Jun 26, 1969","9","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Hideo Nomo","35","jp JP","R","R","6' 2""","210","Aug 31, 1968","10","18","18","16","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-2.4","$9,000,000",""
