"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Jesús Aguilar","31","ve VE","R","R","6' 3""","277","Jun 30, 1990","8","131","116","131","114","0","0","113","0","2","0","0","0","0","0","4","15","0","1.4","$4,300,000",""
"Sandy Alcántara","25","do DO","R","R","6' 5""","200","Sep 7, 1995","5","33","33","30","33","33","0","0","0","0","0","0","0","0","0","0","0","0","4.0","",""
"Jorge Alfaro","28","co CO","R","R","6' 2""","249","Jun 11, 1993","6","92","76","92","82","0","61","3","0","0","0","21","0","0","21","0","13","1","-0.4","$2,050,000",""
"Eddy Alvarez","31","us US","B","R","5' 8""","178","Jan 30, 1990","2","24","20","24","20","0","0","0","4","17","0","0","0","0","0","0","3","1","0.1","",""
"Brian Anderson","28","us US","R","R","6' 2""","215","May 19, 1993","5","67","63","67","65","0","0","0","0","65","1","0","0","0","0","0","3","0","1.3","$3,800,000",""
"Anthony Bass","33","us US","R","R","6' 2""","205","Nov 1, 1987","10","70","1","67","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$1,000,000",""
"Andrew Bellatti","29","us US","R","R","6' 1""","190","Aug 5, 1991","2","3","0","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Anthony Bender","26","us US","R","R","6' 4""","205","Feb 3, 1995","1st","61","1","56","60","60","0","0","0","0","0","0","0","0","0","0","1","0","1.3","",""
"Jon Berti","31","us US","R","R","5' 10""","190","Jan 22, 1990","4","85","63","85","74","0","0","0","27","46","2","7","4","1","12","0","16","0","0.5","",""
"Richard Bleier","34","us US","L","L","6' 3""","238","Apr 16, 1987","6","68","0","64","68","68","0","0","0","0","0","0","0","0","0","0","0","0","1.2","$1,425,000",""
"Lewis Brinson","27","us US","R","R","6' 5""","212","May 8, 1994","5","89","69","89","79","0","0","0","0","0","0","51","33","4","79","0","12","3","0.0","",""
"Edward Cabrera","23","do DO","R","R","6' 5""","217","Apr 13, 1998","1st","7","7","6","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Paul Campbell","25","us US","L","R","6' 0""","210","Jul 26, 1995","1st","16","1","16","16","16","0","0","0","0","0","0","0","0","0","0","0","0","-1.0","",""
"Daniel Castano","26","us US","L","L","6' 3""","231","Sep 17, 1994","2","5","4","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jazz Chisholm Jr.","23","bs BS","L","R","5' 11""","184","Feb 1, 1998","2","124","119","124","121","0","0","0","91","0","37","0","0","0","0","0","3","0","2.5","",""
"Adam Cimber","30","us US","R","R","6' 3""","195","Aug 15, 1990","4","33","0","31","33","33","0","0","0","0","0","0","0","0","0","0","0","0","0.6","$925,000",""
"Garrett Cooper","30","us US","R","R","6' 5""","235","Dec 25, 1990","5","71","55","71","58","0","0","19","0","0","0","0","0","41","41","2","16","0","1.0","$1,800,000",""
"John Curtiss","28","us US","R","R","6' 5""","220","Apr 5, 1993","5","38","3","35","35","36","0","0","0","0","0","0","0","0","0","0","1","1","0.9","",""
"Bryan De La Cruz","24","do DO","R","R","6' 2""","175","Dec 16, 1996","1st","58","53","58","56","0","0","0","0","0","0","16","24","23","56","0","1","1","0.9","",""
"Ross Detwiler","35","us US","R","L","6' 5""","210","Mar 6, 1986","13","46","5","45","46","46","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$850,000",""
"José Devers","21","do DO","L","R","6' 0""","174","Dec 7, 1999","1st","21","10","21","16","0","0","0","13","0","5","0","0","0","0","0","7","2","-0.2","",""
"Isan Díaz","25","pr PR","L","R","5' 10""","201","May 27, 1996","3","89","63","89","69","0","0","0","35","37","0","0","0","0","0","0","23","0","-1.5","",""
"Lewin Díaz","24","do DO","L","L","6' 2""","232","Nov 19, 1996","2","40","29","40","32","0","0","32","0","0","0","0","0","0","0","0","9","1","0.8","",""
"Corey Dickerson","32","us US","L","R","6' 1""","212","May 22, 1989","9","63","52","63","52","0","0","0","0","0","0","52","0","0","52","0","11","0","-0.1","$8,750,000",""
"Adam Duvall","32","us US","R","R","6' 1""","233","Sep 4, 1988","8","91","81","91","83","0","0","0","0","0","0","16","8","66","83","0","9","0","1.9","",""
"Dylan Floro","30","us US","L","R","6' 2""","212","Dec 27, 1990","6","68","0","65","68","68","0","0","0","0","0","0","0","0","0","0","0","0","1.5","",""
"Nick Fortes","24","us US","R","R","5' 11""","198","Nov 11, 1996","1st","14","7","14","7","0","7","0","0","0","0","0","0","0","0","3","6","1","0.2","",""
"Yimi García","30","do DO","R","R","6' 1""","230","Aug 18, 1990","7","39","0","38","39","39","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$1,900,000",""
"Braxton Garrett","23","us US","R","L","6' 2""","202","Aug 5, 1997","2","8","7","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Sean Guenther","25","us US","L","L","5' 11""","194","Dec 29, 1995","1st","14","0","13","14","14","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Preston Guilmet","33","us US","R","R","6' 2""","200","Jul 27, 1987","5","2","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jorge Guzmán","25","do DO","R","R","6' 1""","246","Jan 28, 1996","2","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Monte Harrison","25","us US","R","R","6' 1""","218","Aug 10, 1995","2","9","2","9","7","0","0","0","0","0","0","0","4","3","7","0","3","1","0.1","",""
"Payton Henry","24","us US","R","R","6' 0""","229","Jun 24, 1997","1st","5","5","5","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Elieser Hernández","26","ve VE","R","R","6' 1""","214","May 3, 1995","4","11","10","11","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"David Hess","27","us US","R","R","6' 1""","215","Jul 10, 1993","4","14","1","13","14","14","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","",""
"Jordan Holloway","25","us US","R","R","6' 6""","230","Jun 13, 1996","2","13","4","12","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Alex Jackson","25","us US","R","R","5' 11""","238","Dec 25, 1995","3","42","29","42","34","0","34","0","0","0","0","0","0","1","1","0","9","1","-0.3","",""
"Sandy León","32","ve VE","B","R","5' 10""","235","Mar 13, 1989","10","84","49","83","64","6","60","0","0","1","0","0","0","0","0","1","21","0","-0.9","$1,250,000",""
"Pablo López","25","ve VE","L","R","6' 4""","225","Mar 7, 1996","4","21","20","20","20","20","0","0","0","0","0","0","0","0","0","0","1","0","2.7","",""
"Jesús Luzardo","23","pe PE","L","L","6' 0""","218","Sep 30, 1997","3","12","12","11","12","12","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Luís Madero","24","ve VE","R","R","6' 1""","195","Apr 15, 1997","1st","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Deven Marrero","30","us US","R","R","6' 0""","190","Aug 25, 1990","6","10","4","10","8","0","0","1","1","3","4","0","0","0","0","0","4","1","0.0","",""
"Luis Marté","27","do DO","R","R","6' 1""","188","Dec 15, 1993","1st","4","2","4","3","0","0","0","1","1","1","0","0","0","0","0","1","0","-0.1","",""
"Starling Marte","32","do DO","R","R","6' 1""","195","Oct 9, 1988","10","64","63","64","63","0","0","0","0","0","0","0","63","0","63","0","1","0","2.8","",""
"Brian Miller","25","us US","L","R","6' 1""","196","Aug 20, 1995","1st","5","3","5","4","0","0","0","0","0","0","2","2","1","4","0","1","1","-0.1","",""
"Bryan Mitchell","30","us US","L","R","6' 2""","215","Apr 19, 1991","6","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Shawn Morimando","28","us US","L","L","6' 0""","206","Nov 20, 1992","2","4","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Nick Neidert","24","us US","R","R","6' 1""","202","Nov 20, 1996","2","8","7","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Steven Okert","29","us US","L","L","6' 2""","202","Jul 9, 1991","4","34","0","32","34","34","0","0","0","0","0","0","0","0","0","0","0","0","0.8","",""
"Joe Panik","30","us US","L","R","6' 1""","205","Oct 30, 1990","8","53","27","53","31","0","0","6","17","11","0","0","0","0","0","0","23","0","-1.0","",""
