"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Jeff Bianchi","27","us US","R","R","5' 11""","185","Oct 5, 1986","3","29","15","29","21","0","0","0","4","9","10","0","0","0","0","0","9","1","-0.4","$502,000",""
"Ryan Braun","30","us US","R","R","6' 2""","205","Nov 17, 1983","8","135","134","135","134","0","0","0","0","0","0","0","1","134","134","1","1","0","1.2","$10,000,000",""
"Jonathan Broxton","30","us US","R","R","6' 4""","285","Jun 16, 1984","10","11","0","11","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$7,000,000",""
"Matt Clark","27","us US","L","R","6' 5""","230","Dec 10, 1986","1st","16","7","16","9","0","0","9","0","0","0","0","0","0","0","0","7","0","-0.1","",""
"Khris Davis","26","us US","R","R","5' 11""","205","Dec 21, 1987","2","144","131","144","134","0","0","0","0","0","0","134","0","0","134","0","11","0","1.7","$503,000",""
"Zach Duke","31","us US","L","L","6' 2""","210","Apr 19, 1983","10","74","0","67","74","74","0","0","0","0","0","0","0","0","0","0","0","0","1.1","$850,000",""
"Marco Estrada","30","mx MX","R","R","6' 0""","180","Jul 5, 1983","7","39","18","35","39","39","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$3,325,000",""
"Irving Falu","31","pr PR","B","R","5' 9""","185","Jun 6, 1983","3","11","1","11","5","0","0","0","0","3","2","0","0","0","0","0","6","0","-0.3","",""
"Mike Fiers","29","us US","R","R","6' 2""","211","Jun 15, 1985","4","14","10","14","14","14","0","0","0","0","0","0","0","0","0","0","0","0","2.2","",""
"Alfredo Fígaro","29","do DO","R","R","6' 0""","190","Jul 7, 1984","4","6","0","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Yovani Gallardo","28","mx MX","R","R","6' 2""","205","Feb 27, 1986","8","33","32","31","32","32","0","0","0","0","0","0","0","0","0","0","1","0","2.0","$11,250,000",""
"Matt Garza","30","us US","R","R","6' 4""","220","Nov 26, 1983","9","27","27","26","27","27","0","0","0","0","0","0","0","0","0","0","0","0","1.0","$12,500,000",""
