"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Ehire Adrianza","28","ve VE","B","R","6' 1""","198","Aug 21, 1989","6","114","95","114","106","0","0","10","5","28","64","5","0","0","5","1","8","7","0.0","$1,000,000",""
"Willians Astudillo","26","ve VE","R","R","5' 9""","225","Oct 14, 1991","1st","30","23","29","26","1","16","0","2","6","0","1","1","0","1","3","1","0","0.7","",""
"Tyler Austin","26","us US","R","R","6' 2""","220","Sep 6, 1991","3","35","33","35","15","0","0","15","0","0","0","0","0","0","0","20","0","1","0.3","",""
"Matt Belisle","38","us US","R","R","6' 3""","230","Jun 6, 1980","15","25","0","2","25","25","0","0","0","0","0","0","0","0","0","0","0","0","-0.9","",""
"José Berríos","24","pr PR","R","R","6' 0""","205","May 27, 1994","3","32","32","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","3.5","$570,000","All-Star"
"Alan Busenitz","27","us US","R","R","6' 1""","180","Aug 22, 1990","2","23","0","0","23","23","0","0","0","0","0","0","0","0","0","0","0","0","-1.2","",""
"Byron Buxton","24","us US","R","R","6' 2""","190","Dec 18, 1993","4","28","26","28","27","0","0","0","0","0","0","0","27","0","27","1","0","2","-0.3","$580,000",""
"Jason Castro","31","us US","L","R","6' 3""","215","Jun 18, 1987","8","19","19","19","19","0","19","0","0","0","0","0","0","0","0","0","0","0","-0.1","$8,000,000",""
"Jake Cave","25","us US","L","L","6' 0""","200","Dec 4, 1992","1st","91","78","91","85","0","0","0","0","0","0","4","70","11","85","2","8","2","1.7","$545,000",""
"John Curtiss","25","us US","R","R","6' 5""","220","Apr 5, 1993","2","8","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Chase De Jong","24","us US","L","R","6' 4""","230","Dec 29, 1993","2","4","4","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Brian Dozier","31","us US","R","R","5' 11""","200","May 15, 1987","7","104","101","104","103","0","0","0","103","0","0","0","0","0","0","0","3","0","0.9","$9,000,000",""
"Oliver Drake","31","us US","R","R","6' 4""","220","Jan 13, 1987","4","19","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Tyler Duffey","27","us US","R","R","6' 3""","220","Dec 27, 1990","4","19","1","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","",""
"Zach Duke","35","us US","L","L","6' 2""","210","Apr 19, 1983","14","45","0","4","45","45","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$2,150,000",""
"Eduardo Escobar","29","ve VE","B","R","5' 10""","193","Jan 5, 1989","8","97","94","97","97","0","0","0","1","77","21","0","0","0","0","0","3","0","2.6","$4,850,000",""
"Johnny Field","26","us US","R","R","5' 10""","195","Feb 20, 1992","1st","21","15","21","20","0","0","0","0","0","0","11","2","7","20","1","2","1","0.1","",""
"Logan Forsythe","31","us US","R","R","6' 1""","195","Jan 14, 1987","8","50","48","50","49","0","0","0","48","0","0","1","0","0","1","1","1","0","0.3","",""
"Mitch Garver","27","us US","R","R","6' 1""","220","Jan 15, 1991","2","103","82","102","92","1","86","5","0","0","0","0","0","0","0","6","12","0","1.0","$547,500",""
"Kyle Gibson","30","us US","R","R","6' 6""","200","Oct 23, 1987","6","32","32","1","32","32","0","0","0","0","0","0","0","0","0","0","0","0","3.6","$4,200,000",""
"Chris Gimenez","35","us US","R","R","6' 2""","230","Dec 27, 1982","10","13","9","13","12","1","8","3","0","1","0","0","0","0","0","1","2","0","0.0","",""
"Stephen Gonsalves","23","us US","L","L","6' 5""","218","Jul 8, 1994","1st","7","4","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","",""
"Juan Graterol","29","ve VE","R","R","6' 1""","225","Feb 14, 1989","3","3","2","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Robbie Grossman","28","us US","B","L","6' 0""","209","Sep 16, 1989","6","129","105","129","84","0","0","0","0","0","0","34","0","52","84","36","20","0","1.5","$2,000,000",""
"David Hale","30","us US","R","R","6' 2""","210","Sep 27, 1987","5","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Trevor Hildenberger","27","us US","R","R","6' 2""","205","Dec 15, 1990","2","73","0","6","73","73","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$555,000",""
"Phil Hughes","32","us US","R","R","6' 5""","240","Jun 24, 1986","12","7","2","1","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Max Kepler","25","de DE","L","L","6' 4""","225","Feb 10, 1993","4","156","144","156","150","0","0","1","0","0","0","0","55","117","150","3","10","0","3.5","$587,500",""
"Tyler Kinley","27","us US","R","R","6' 4""","220","Jan 31, 1991","1st","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$545,000",""
"Ryan LaMarre","29","us US","R","L","6' 1""","215","Nov 21, 1988","4","43","29","43","38","1","0","0","0","0","0","3","34","1","38","1","5","1","-0.2","",""
"Zack Littell","22","us US","R","R","6' 4""","220","Oct 5, 1995","1st","8","2","1","8","8","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Lance Lynn","31","us US","R","R","6' 5""","280","May 12, 1987","7","20","20","2","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$12,000,000",""
"Matt Magill","28","us US","R","R","6' 3""","210","Nov 10, 1989","3","40","0","3","40","40","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Joe Mauer HOF","35","us US","L","R","6' 5""","225","Apr 19, 1983","15","127","117","127","90","0","0","90","0","0","0","0","0","1","1","33","10","0","1.4","$23,000,000",""
"Trevor May","28","us US","R","R","6' 4""","248","Sep 23, 1989","4","24","1","0","24","24","0","0","0","0","0","0","0","0","0","0","0","0","0.5","$650,000",""
"Adalberto Mejía","25","do DO","R","L","6' 3""","265","Jun 20, 1993","3","5","4","1","5","5","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Logan Morrison","30","us US","L","L","6' 3""","245","Aug 25, 1987","9","95","82","95","51","0","0","50","0","0","0","2","0","0","2","35","10","1","-0.2","$5,500,000",""
"Taylor Motter","28","us US","R","R","6' 1""","195","Sep 18, 1989","3","9","5","9","9","0","0","0","2","2","1","0","0","5","5","0","1","1","-0.3","",""
"Gabriel Moya","23","ve VE","L","L","6' 0""","225","Jan 9, 1995","2","35","6","1","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Jake Odorizzi","28","us US","R","R","6' 2""","190","Mar 27, 1990","7","33","32","4","32","32","0","0","0","0","0","0","0","0","0","0","1","0","1.2","$6,300,000",""
"Gregorio Petit","33","ve VE","R","R","5' 10""","200","Dec 10, 1984","6","26","17","26","24","0","0","1","10","6","9","0","0","0","0","1","1","5","-0.1","",""
"Jorge Polanco","24","do DO","B","R","5' 11""","208","Jul 5, 1993","5","77","76","77","76","0","0","0","0","0","76","0","0","0","0","0","1","0","0.9","$575,000",""
"Ryan Pressly","29","us US","R","R","6' 2""","206","Dec 15, 1988","6","51","0","4","51","51","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$1,600,000",""
"Addison Reed","29","us US","L","R","6' 4""","230","Dec 27, 1988","8","55","0","5","55","55","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$8,250,000",""
"Fernando Rodney","41","do DO","R","R","5' 11""","240","Mar 18, 1977","16","46","0","4","46","46","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Taylor Rogers","27","us US","L","L","6' 3""","190","Dec 17, 1990","3","72","0","5","72","72","0","0","0","0","0","0","0","0","0","0","0","0","2.0","$565,000",""
"Fernando Romero","23","do DO","R","R","6' 0""","215","Dec 24, 1994","1st","11","11","1","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Eddie Rosario","26","pr PR","L","R","6' 1""","180","Sep 28, 1991","4","138","133","138","127","0","0","0","0","1","0","125","4","5","127","12","2","0","4.3","$602,500",""
"Miguel Sanó","25","do DO","R","R","6' 4""","272","May 11, 1993","4","71","70","71","64","0","0","11","0","56","0","0","0","0","0","7","1","0","-0.4","$602,500",""
"Ervin Santana","35","do DO","R","R","6' 2""","175","Dec 12, 1982","14","5","5","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$13,500,000",""
"Aaron Slegers","25","us US","R","R","6' 10""","260","Sep 4, 1992","2","4","2","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Kohl Stewart","23","us US","R","R","6' 3""","200","Oct 7, 1994","1st","8","4","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
