"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Pete Alonso","24","us US","R","R","6' 3""","245","Dec 7, 1994","1st","161","153","161","156","0","0","156","0","0","0","0","0","0","0","1","7","0","5.5","$555,000","All-Star"
"Aaron Altherr","28","de DE","R","R","6' 5""","215","Jan 14, 1991","6","26","5","26","20","0","0","0","0","0","0","13","8","2","20","0","9","4","-0.3","",""
"Luis Avilán","29","ve VE","L","L","6' 2""","235","Jul 19, 1989","8","45","0","43","45","45","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$1,600,000",""
"Tyler Bashlor","26","us US","R","R","6' 0""","195","Apr 16, 1993","2","24","0","24","24","24","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Brad Brach","33","us US","R","R","6' 6""","215","Apr 12, 1986","9","16","0","14","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Keon Broxton","29","us US","R","R","6' 3""","200","May 7, 1990","5","34","10","34","28","0","0","0","0","0","0","18","9","7","28","0","6","5","-0.5","$571,765",""
"Robinson Canó","36","do DO","L","R","6' 0""","228","Oct 22, 1982","15","107","100","107","99","0","0","0","99","0","0","0","0","0","0","2","7","0","0.6","$24,000,000",""
"Michael Conforto","26","us US","L","R","6' 1""","215","Mar 1, 1993","5","151","143","151","149","0","0","0","0","0","0","0","39","132","149","0","5","0","3.6","$4,025,000",""
"Travis d'Arnaud","30","us US","R","R","6' 2""","210","Feb 10, 1989","7","10","5","10","9","0","9","0","0","0","0","0","0","0","0","0","2","0","-0.4","",""
"J.D. Davis","26","us US","R","R","6' 3""","218","Apr 27, 1993","3","140","99","140","109","0","0","0","0","31","0","79","0","0","79","1","35","0","1.2","$561,420",""
"Rajai Davis","38","us US","R","R","5' 10""","195","Oct 19, 1980","14","29","1","29","14","0","0","0","0","0","0","11","0","3","14","0","17","5","-0.1","",""
"Jacob deGrom","31","us US","L","R","6' 4""","180","Jun 19, 1988","6","33","32","31","32","32","0","0","0","0","0","0","0","0","0","0","1","0","7.8","$9,000,000","All-Star"
"Edwin Díaz","25","pr PR","R","R","6' 3""","165","Mar 22, 1994","4","66","0","61","66","66","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$607,425",""
"Jeurys Familia","29","do DO","R","R","6' 3""","240","Oct 10, 1989","8","66","0","61","66","66","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","$6,666,666",""
"Chris Flexen","24","us US","R","R","6' 3""","220","Jul 1, 1994","3","9","1","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Wilmer Font","29","ve VE","R","R","6' 4""","255","May 24, 1990","5","15","3","14","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Todd Frazier","33","us US","R","R","6' 3""","215","Feb 12, 1986","9","133","117","133","121","0","0","3","0","120","0","0","0","0","0","3","12","0","2.1","$9,000,000",""
"Drew Gagnon","29","us US","R","R","6' 4""","215","Jun 26, 1990","2","18","0","17","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-1.1","",""
"Carlos Gómez","33","do DO","R","R","6' 3""","220","Dec 4, 1985","13","34","23","34","30","0","0","0","0","0","0","13","22","7","30","0","5","2","-0.3","$100,000",""
"Robert Gsellman","25","us US","R","R","6' 4""","237","Jul 18, 1993","4","52","0","50","52","52","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$582,500",""
"Luis Guillorme","24","ve VE","L","R","5' 10""","190","Sep 27, 1994","2","45","8","45","20","0","0","0","8","5","8","0","0","0","0","1","25","4","0.4","$555,960",""
"Sam Haggerty","25","us US","B","R","5' 11""","175","May 26, 1994","1st","11","0","11","2","0","0","0","1","0","0","0","0","1","1","0","3","8","-0.1","",""
"Donnie Hart","28","us US","L","L","5' 11""","180","Sep 6, 1990","4","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Adeiny Hechavarría","30","cu CU","R","R","6' 0""","195","Apr 15, 1989","8","60","29","60","47","0","0","0","26","8","15","0","0","0","0","0","13","3","-0.3","$100,000",""
"Juan Lagares","30","do DO","R","R","6' 2""","219","Mar 17, 1989","7","133","67","133","125","0","0","0","0","0","0","0","125","0","125","0","14","9","-0.7","$9,000,000",""
"Walker Lockett","25","us US","R","R","6' 5""","225","May 3, 1994","2","9","4","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"Jed Lowrie","35","us US","B","R","6' 0""","180","Apr 17, 1984","12","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","9","0","","$10,000,000",""
"Seth Lugo","29","us US","R","R","6' 4""","225","Nov 17, 1989","4","61","0","57","61","61","0","0","0","0","0","0","0","0","0","0","0","0","2.2","$591,875",""
"Steven Matz","28","us US","R","L","6' 2""","205","May 29, 1991","5","36","30","35","32","32","0","0","0","0","0","0","0","0","0","0","3","1","2.2","$2,625,000",""
"Chris Mazza","29","us US","R","R","6' 4""","190","Oct 17, 1989","1st","9","0","8","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Jeff McNeil","27","us US","L","R","6' 1""","195","Apr 8, 1992","2","133","123","133","130","0","0","0","37","31","0","71","0","42","93","0","7","0","5.1","$567,714","All-Star"
"Tomás Nido","25","pr PR","R","R","6' 0""","211","Apr 12, 1994","3","50","38","50","48","0","48","0","0","0","0","0","0","0","0","0","4","0","-0.8","$556,300",""
"Brandon Nimmo","26","us US","L","R","6' 3""","206","Mar 27, 1993","4","69","56","69","66","0","0","0","0","0","0","38","43","6","66","0","8","0","0.9","$598,285",""
"Stephen Nogosek","24","us US","R","R","6' 2""","205","Jan 11, 1995","1st","7","0","7","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Ryan O'Rourke","31","us US","R","L","6' 3""","230","Apr 30, 1988","3","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
