"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Fernando Abad","28","do DO","L","L","6' 2""","235","Dec 17, 1985","5","69","0","7","69","69","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$525,900",""
"Bryan Anderson","27","us US","L","R","6' 1""","200","Dec 16, 1986","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","",""
"Daric Barton","28","us US","L","R","6' 0""","215","Aug 16, 1985","8","30","15","30","30","0","0","30","0","0","0","0","0","0","0","0","0","2","-0.4","$1,250,000",""
"Kyle Blanks","27","us US","R","R","6' 6""","265","Sep 11, 1986","6","21","13","21","18","0","0","17","0","0","0","0","0","1","1","3","4","0","0.6","",""
"Billy Burns","24","us US","B","R","5' 9""","170","Aug 30, 1989","1st","13","1","13","1","0","0","0","0","0","0","0","1","0","1","2","2","10","-0.1","",""
"Alberto Callaspo","31","ve VE","B","R","5' 8""","210","Apr 19, 1983","9","127","108","127","81","0","0","23","46","19","0","0","0","0","0","39","17","0","-1.0","$4,875,000",""
"Yoenis Céspedes","28","cu CU","R","R","5' 11""","225","Oct 18, 1985","3","101","98","101","84","0","0","0","0","0","0","82","9","0","84","16","3","0","2.9","","All-Star"
"Jesse Chavez","30","us US","R","R","6' 1""","180","Aug 21, 1983","7","32","21","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","1.2","$775,000",""
"Ryan Cook","27","us US","R","R","6' 1""","227","Jun 30, 1987","4","54","0","4","54","54","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$505,000",""
"Coco Crisp","34","us US","B","R","5' 10""","185","Nov 1, 1979","13","126","113","126","111","0","0","0","0","0","0","0","111","0","111","12","11","0","1.2","$7,500,000",""
"Josh Donaldson","28","us US","R","R","6' 1""","210","Dec 8, 1985","4","158","155","158","150","0","0","0","0","150","0","0","0","0","0","9","3","0","6.9","$500,000","All-Star"
"Sean Doolittle","27","us US","L","L","6' 2""","218","Sep 26, 1986","3","62","0","5","61","61","0","0","0","0","0","0","0","0","0","0","1","0","1.2","$630,000","All-Star"
"Adam Dunn","34","us US","L","R","6' 6""","285","Nov 9, 1979","14","25","17","25","0","0","0","0","0","0","0","0","0","0","0","20","8","0","0.0","",""
"Jeff Francis","33","ca CA","L","L","6' 5""","220","Jan 8, 1981","10","9","0","2","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Nate Freiman","27","us US","R","R","6' 8""","245","Dec 31, 1986","2","36","24","36","33","0","0","33","0","0","0","0","0","0","0","2","7","1","0.4","",""
"Sam Fuld","32","us US","L","L","5' 9""","180","Nov 20, 1981","7","60","46","60","54","0","0","0","0","0","0","26","22","13","54","0","8","2","1.0","$800,000",""
"Craig Gentry","30","us US","R","R","6' 2""","190","Nov 29, 1983","6","94","58","94","87","0","0","0","0","0","0","17","50","29","87","1","16","7","1.9","$1,145,000",""
"Jonny Gomes","33","us US","R","R","6' 1""","230","Nov 22, 1980","12","34","18","34","19","0","0","0","0","0","0","19","0","0","19","9","16","0","-0.5","",""
"Sonny Gray","24","us US","R","R","5' 10""","190","Nov 7, 1989","2","33","33","2","33","33","0","0","0","0","0","0","0","0","0","0","0","0","3.3","$502,500",""
"Luke Gregerson","30","us US","L","R","6' 3""","205","May 14, 1984","6","72","0","3","72","72","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$5,065,000",""
"Jason Hammel","31","us US","R","R","6' 6""","225","Sep 2, 1982","9","13","12","3","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$6,000,000",""
"John Jaso","30","us US","L","R","6' 2""","202","Sep 19, 1983","6","99","79","99","54","0","54","0","0","0","0","0","0","0","0","35","19","0","1.9","$2,300,000",""
"Jim Johnson","31","us US","R","R","6' 6""","250","Jun 27, 1983","9","38","0","3","38","38","0","0","0","0","0","0","0","0","0","0","0","0","-1.3","$10,000,000",""
"Scott Kazmir","30","us US","L","L","6' 0""","185","Jan 24, 1984","10","32","32","2","32","32","0","0","0","0","0","0","0","0","0","0","0","0","1.9","$7,000,000","All-Star"
"Jon Lester","30","us US","L","L","6' 4""","249","Jan 7, 1984","9","11","11","1","11","11","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$13,000,000",""
"Josh Lindblom","27","us US","R","R","6' 4""","240","Jun 15, 1987","4","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Jed Lowrie","30","us US","B","R","6' 0""","180","Apr 17, 1984","7","136","132","136","130","0","0","0","0","0","130","0","0","0","0","4","4","0","1.0","$5,250,000",""
"Brad Mills","29","us US","R","L","6' 0""","190","Mar 5, 1985","5","3","3","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Tommy Milone","27","us US","L","L","6' 0""","215","Feb 16, 1987","4","17","16","2","16","16","0","0","0","0","0","0","0","0","0","0","1","0","0.9","$510,000",""
"Brandon Moss","30","us US","L","R","6' 1""","210","Sep 16, 1983","8","147","132","147","132","0","0","67","0","0","0","56","0","34","84","12","12","0","2.1","$4,100,000","All-Star"
"Derek Norris","25","us US","R","R","6' 0""","235","Feb 14, 1989","3","127","103","127","114","0","114","0","0","0","0","0","0","0","0","10","18","0","3.2","$505,000","All-Star"
"Eric O'Flaherty","29","us US","L","L","6' 2""","210","Feb 5, 1985","9","21","0","4","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$1,500,000",""
"Dan Otero","29","us US","R","R","6' 3""","205","Feb 19, 1985","3","72","0","8","72","72","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$502,500",""
"Andy Parrino","28","us US","B","R","6' 0""","185","Oct 31, 1985","4","21","15","21","20","0","0","0","4","1","14","2","0","0","2","0","0","1","0.2","",""
"Drew Pomeranz","25","us US","R","L","6' 5""","246","Nov 22, 1988","4","20","10","0","20","20","0","0","0","0","0","0","0","0","0","0","0","0","1.5","",""
"Nick Punto","36","us US","B","R","5' 9""","195","Nov 8, 1977","14","73","48","73","68","0","0","0","52","2","17","0","0","1","1","1","15","4","0.7","$2,750,000",""
"Josh Reddick","27","us US","L","R","6' 2""","197","Feb 19, 1987","6","109","100","109","108","0","0","0","0","0","0","0","1","107","108","0","5","2","3.2","$2,700,000",""
"Fernando Rodriguez Jr.","30","us US","R","R","6' 3""","235","Jun 18, 1984","4","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$600,000",""
"Jeff Samardzija","29","us US","R","R","6' 4""","233","Jan 23, 1985","7","16","16","0","16","16","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$5,345,000",""
"Joe Savery","28","us US","L","L","6' 3""","235","Nov 4, 1985","4","3","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.1","",""
"Evan Scribner","28","us US","R","R","6' 3""","190","Jul 19, 1985","4","13","0","1","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$505,000",""
"Eric Sogard","28","us US","L","R","5' 10""","180","May 22, 1986","5","117","92","117","115","0","0","0","102","0","14","0","0","0","0","1","3","9","0.7","$510,000",""
"Geovany Soto","31","pr PR","R","R","6' 1""","225","Jan 20, 1983","10","14","14","14","14","0","14","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Dan Straily","25","us US","R","R","6' 2""","220","Dec 1, 1988","3","7","7","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Stephen Vogt","29","us US","L","R","6' 0""","216","Nov 1, 1984","3","84","67","84","74","0","15","47","0","0","0","1","0","17","18","6","13","0","1.2","$502,500",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
