"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Paul Bako","37","us US","L","R","6' 2""","205","Jun 20, 1972","12","44","33","44","42","0","42","0","0","0","0","0","0","0","0","0","3","0","0.0","",""
"Antonio Bastardo","23","do DO","R","L","5' 11""","202","Sep 21, 1985","1st","6","5","5","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","$400,000",""
"Joe Blanton","28","us US","R","R","6' 3""","225","Dec 11, 1980","6","31","31","30","31","31","0","0","0","0","0","0","0","0","0","0","0","0","2.5","$5,475,000",""
"Eric Bruntlett","31","us US","R","R","6' 0""","200","Mar 29, 1978","7","72","18","72","39","0","0","2","13","7","9","4","1","5","10","0","31","12","-1.2","$800,000",""
"Miguel Cairo","35","ve VE","R","R","6' 1""","225","May 4, 1974","14","27","5","27","9","0","0","0","5","1","3","0","0","0","0","0","19","1","0.3","$500,000",""
"Drew Carpenter","24","us US","R","R","6' 3""","240","May 18, 1985","2","3","1","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$400,000",""
"Clay Condrey","33","us US","R","R","6' 3""","195","Nov 19, 1975","6","45","0","44","45","45","0","0","0","0","0","0","0","0","0","0","0","0","0.6","$650,000",""
"Chris Coste","36","us US","R","R","6' 1""","200","Feb 4, 1973","4","45","26","45","30","0","29","1","0","0","0","0","0","0","0","3","14","0","0.2","$460,000",""
"Greg Dobbs","30","us US","L","R","6' 1""","205","Jul 2, 1978","6","97","28","97","35","0","0","6","0","16","0","13","0","2","15","2","66","0","-0.2","$1,150,000",""
"Chad Durbin","31","us US","R","R","6' 2""","225","Dec 3, 1977","10","59","0","56","59","59","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$1,635,000",""
"Sergio Escalona","24","ve VE","L","L","6' 0""","215","Aug 3, 1984","1st","14","0","13","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.1","$400,000",""
"Scott Eyre","37","us US","L","L","6' 1""","160","May 30, 1972","13","42","0","41","42","42","0","0","0","0","0","0","0","0","0","0","0","0","1.2","$2,000,000",""
"Pedro Feliz","34","do DO","R","R","6' 1""","210","Apr 27, 1975","10","158","150","158","155","0","0","0","0","155","2","0","0","0","0","0","6","0","1.2","$5,000,000",""
