"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Pedro Álvarez","28","do DO","L","R","6' 3""","250","Feb 6, 1987","6","150","124","150","124","0","0","124","0","0","0","0","0","0","0","5","24","0","0.1","$5,750,000",""
"Antonio Bastardo","29","do DO","R","L","5' 11""","202","Sep 21, 1985","7","66","0","61","66","66","0","0","0","0","0","0","0","0","0","0","0","0","0.9","$3,100,000",""
"Joe Blanton","34","us US","R","R","6' 3""","225","Dec 11, 1980","11","21","0","21","21","21","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Keon Broxton","25","us US","R","R","6' 3""","200","May 7, 1990","1st","7","0","7","2","0","0","0","0","0","0","1","1","1","2","0","0","6","-0.1","",""
"A.J. Burnett","38","us US","R","R","6' 4""","230","Jan 3, 1977","17","26","26","24","26","26","0","0","0","0","0","0","0","0","0","0","0","0","2.5","$8,500,000","All-Star"
"Arquimedes Caminero","28","do DO","R","R","6' 4""","245","Jun 16, 1987","3","73","0","67","73","73","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$515,500",""
"Francisco Cervelli","29","ve VE","R","R","6' 0""","220","Mar 6, 1986","8","130","125","130","128","0","128","0","0","0","0","0","0","0","0","1","5","0","3.4","$987,500",""
"Gerrit Cole","24","us US","R","R","6' 4""","220","Sep 8, 1990","3","33","32","30","32","32","0","0","0","0","0","0","0","0","0","0","1","0","4.5","$531,000","All-Star"
"Jaff Decker","25","us US","L","L","5' 9""","190","Feb 23, 1990","3","23","4","23","10","1","0","0","0","0","0","4","2","3","9","0","12","2","-0.1","$510,000",""
"Elías Díaz","24","ve VE","R","R","6' 1""","223","Nov 17, 1990","1st","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","","",""
"Pedro Florimón","28","do DO","B","R","6' 2""","185","Dec 10, 1986","5","24","4","24","20","0","0","0","3","0","17","0","0","0","0","0","1","9","-0.2","$521,000",""
"Deolis Guerra","26","ve VE","R","R","6' 5""","245","Apr 17, 1989","1st","10","0","8","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"J.A. Happ","32","us US","L","L","6' 5""","205","Oct 19, 1982","9","11","11","11","11","11","0","0","0","0","0","0","0","0","0","0","0","0","2.4","",""
"Josh Harrison","27","us US","R","R","5' 8""","190","Jul 8, 1987","5","114","96","114","111","0","0","0","37","72","0","10","0","12","22","0","10","1","1.7","$3,050,000",""
"Corey Hart","33","us US","R","R","6' 6""","240","Mar 24, 1982","11","35","11","35","10","0","0","8","0","0","0","0","0","3","3","1","24","0","-0.5","$2,500,000",""
"Gorkys Hernández","27","ve VE","R","R","6' 1""","196","Sep 7, 1987","2","8","1","8","6","0","0","0","0","0","0","4","0","2","6","0","1","3","-0.1","",""
"Jared Hughes","29","us US","R","R","6' 7""","240","Jul 4, 1985","5","76","0","71","76","76","0","0","0","0","0","0","0","0","0","0","0","0","1.2","$1,075,000",""
"Travis Ishikawa","31","us US","L","L","6' 3""","220","Sep 24, 1983","8","38","9","38","17","0","0","12","0","0","0","5","0","0","5","0","24","0","-0.4","",""
"Jung Ho Kang","28","kr KR","R","R","6' 0""","210","Apr 5, 1987","1st","126","103","126","115","0","0","0","0","77","60","0","0","0","0","0","16","2","3.9","$2,500,000",""
"Bobby LaFromboise","29","us US","L","L","6' 4""","225","Jun 25, 1986","3","11","0","11","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Andrew Lambo","26","us US","L","L","6' 3""","220","Aug 11, 1988","3","20","3","20","8","0","0","0","0","0","0","3","0","5","8","0","14","0","-0.6","$515,500",""
"Francisco Liriano","31","do DO","L","L","6' 3""","220","Oct 26, 1983","10","31","31","29","31","31","0","0","0","0","0","0","0","0","0","0","0","0","2.8","$11,666,666",""
"Radhames Liz","31","do DO","R","R","6' 2""","200","Oct 6, 1983","4","14","0","14","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$1,000,000",""
"Jeff Locke","27","us US","L","L","6' 0""","200","Nov 20, 1987","5","30","30","29","30","30","0","0","0","0","0","0","0","0","0","0","0","0","-0.8","$531,000",""
"Steve Lombardozzi","26","us US","B","R","5' 11""","195","Sep 20, 1988","5","12","0","12","0","0","0","0","0","0","0","0","0","0","0","0","11","1","","",""
"Starling Marte","26","do DO","R","R","6' 1""","195","Oct 9, 1988","4","153","143","153","151","0","0","0","0","0","0","141","18","0","151","0","2","6","5.0","$1,333,333",""
"Andrew McCutchen","28","us US","R","R","5' 10""","190","Oct 10, 1986","7","157","154","157","152","0","0","0","0","0","0","0","152","0","152","3","2","0","5.0","$10,000,000","All-Star"
"Mark Melancon","30","us US","R","R","6' 1""","215","Mar 28, 1985","7","78","0","72","78","78","0","0","0","0","0","0","0","0","0","0","0","0","1.8","$5,400,000","All-Star"
"Jordy Mercer","28","us US","R","R","6' 3""","210","Aug 27, 1986","4","116","108","116","115","0","0","0","0","0","115","0","0","0","0","0","3","0","0.4","$538,000",""
"Brent Morel","28","us US","R","R","6' 2""","230","Apr 21, 1987","6","3","2","3","2","0","0","0","0","2","0","0","0","0","0","0","1","0","0.0","",""
"Mike Morse","33","us US","R","R","6' 5""","245","Mar 22, 1982","11","45","15","45","22","0","0","22","0","0","0","0","0","0","0","0","28","0","0.0","",""
"Charlie Morton","31","us US","R","R","6' 5""","215","Nov 12, 1983","8","23","23","21","23","23","0","0","0","0","0","0","0","0","0","0","0","0","-1.2","$8,000,000",""
"Gregory Polanco","23","do DO","L","L","6' 5""","240","Sep 14, 1991","2","153","137","153","149","0","0","0","0","0","0","8","2","144","149","0","10","0","2.5","$525,000",""
"Aramis Ramírez","37","do DO","R","R","6' 1""","205","Jun 25, 1978","18","56","50","56","52","0","0","5","0","48","0","0","0","0","0","0","6","0","-0.3","$14,000,000",""
"Sean Rodríguez","30","us US","R","R","6' 0""","199","Apr 26, 1985","8","139","34","139","131","0","0","102","7","8","3","16","0","14","29","0","15","17","0.0","$1,900,000",""
