"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Manny Alexander","34","do DO","R","R","5' 10""","150","Mar 20, 1971","10","10","4","10","10","0","0","1","5","1","4","0","0","0","0","0","1","3","-0.2","",""
"Pedro Astacio","36","do DO","R","R","6' 2""","174","Nov 28, 1968","14","12","10","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","1.3","",""
"Geoff Blum","32","us US","B","R","6' 3""","220","Apr 26, 1973","7","78","53","78","64","0","0","2","19","34","14","0","0","0","0","0","16","0","0.6","$575,000",""
"Craig Breslow","24","us US","L","L","6' 0""","190","Aug 8, 1980","1st","14","0","14","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Sean Burroughs","24","us US","L","R","6' 1""","195","Sep 12, 1980","4","93","70","93","78","1","0","0","0","78","1","0","0","0","0","0","16","0","0.9","$1,675,000",""
"Scott Cassidy","29","us US","R","R","6' 2""","175","Oct 3, 1975","2","10","0","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Adam Eaton","27","us US","R","R","6' 2""","190","Nov 23, 1977","6","26","22","25","24","24","0","0","0","0","0","0","0","0","0","0","2","0","0.6","$3,375,000",""
"Brian Falkenborg","27","us US","R","R","6' 7""","235","Jan 18, 1978","3","10","0","10","10","10","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Robert Fick","31","us US","L","R","6' 1""","189","Mar 15, 1974","8","93","51","93","66","0","28","29","0","1","0","4","0","9","13","2","34","0","0.0","",""
"Jesse Garcia","31","us US","R","R","5' 10""","155","Sep 24, 1973","7","16","7","16","15","0","0","0","2","0","13","0","0","0","0","0","3","0","-0.1","",""
"Brian Giles","34","us US","L","L","5' 11""","195","Jan 20, 1971","11","158","155","158","155","0","0","0","0","0","0","1","17","143","155","0","3","0","4.9","$8,333,333",""
