"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Dustin Ackley","24","us US","L","R","6' 1""","205","Feb 26, 1988","2","153","151","153","147","0","0","11","142","0","0","0","0","0","0","4","2","0","2.6","$1,500,000",""
"Blake Beavan","23","us US","R","R","6' 7""","255","Jan 17, 1989","2","26","26","1","26","26","0","0","0","0","0","0","0","0","0","0","0","0","1.4","$486,500",""
"Carter Capps","21","us US","R","R","6' 5""","230","Aug 7, 1990","1st","18","0","0","18","18","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Mike Carp","26","us US","L","R","6' 0""","210","Jun 30, 1986","4","59","48","59","47","0","0","23","0","0","0","24","0","0","24","4","11","0","0.2","$488,800",""
"Steve Delabar","28","us US","R","R","6' 5""","215","Jul 17, 1983","2","34","0","1","34","34","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$480,700",""
"Chone Figgins","34","us US","B","R","5' 8""","180","Jan 22, 1978","11","66","44","66","55","0","0","0","0","10","0","38","9","1","47","3","4","10","-1.2","$9,000,000",""
"Charlie Furbush","26","us US","L","L","6' 5""","215","Apr 11, 1986","2","48","0","4","48","48","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Franklin Gutiérrez","29","ve VE","R","R","6' 2""","200","Feb 21, 1983","8","40","38","40","38","0","0","0","0","0","0","0","38","0","38","1","2","0","0.2","$5,500,000",""
"Félix Hernández","26","ve VE","R","R","6' 3""","220","Apr 8, 1986","8","33","33","1","33","33","0","0","0","0","0","0","0","0","0","0","0","0","5.3","$18,500,000","All-Star"
"Hisashi Iwakuma","31","jp JP","R","R","6' 3""","210","Apr 12, 1981","1st","30","16","2","30","30","0","0","0","0","0","0","0","0","0","0","0","0","2.3","$1,500,000",""
"John Jaso","28","us US","L","R","6' 2""","202","Sep 19, 1983","4","108","83","108","43","0","43","0","0","0","0","0","0","0","0","48","25","0","3.4","$495,200",""
"Luis Jiménez","30","ve VE","L","L","6' 3""","280","May 7, 1982","1st","7","4","7","0","0","0","0","0","0","0","0","0","0","0","4","3","0","-0.3","",""
"Munenori Kawasaki","31","jp JP","L","R","5' 11""","175","Jun 3, 1981","1st","61","29","61","49","0","0","0","10","1","38","0","0","0","0","4","4","19","-0.4","$625,000",""
"Shawn Kelley","28","us US","R","R","6' 2""","237","Apr 26, 1984","4","47","0","5","47","47","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$600,000",""
"Josh Kinney","33","us US","R","R","6' 0""","220","Mar 31, 1979","5","35","0","0","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Brandon League","29","us US","R","R","6' 2""","200","Mar 16, 1983","9","46","0","4","46","46","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$5,000,000",""
"Alex Liddi","23","it IT","R","R","6' 4""","225","Aug 14, 1988","2","38","30","38","34","0","0","5","0","23","0","7","0","0","7","0","4","0","-0.2","$481,300",""
"Lucas Luetge","25","us US","L","L","6' 4""","205","Mar 24, 1987","1st","63","0","3","63","63","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Kevin Millwood","37","us US","R","R","6' 4""","230","Dec 24, 1974","16","28","28","2","28","28","0","0","0","0","0","0","0","0","0","0","0","0","0.9","$1,000,000",""
"Jesús Montero","22","ve VE","R","R","6' 3""","235","Nov 28, 1989","2","135","132","135","56","0","56","0","0","0","0","0","0","0","0","78","3","0","-0.1","$486,900",""
"Héctor Noesí","25","do DO","R","R","6' 4""","220","Jan 26, 1987","2","22","18","2","22","22","0","0","0","0","0","0","0","0","0","0","0","0","-0.7","$488,000",""
"Miguel Olivo","33","do DO","R","R","6' 0""","230","Jul 15, 1978","11","87","80","87","73","0","73","0","0","0","0","0","0","0","0","12","3","1","0.4","$3,500,000",""
"Carlos Peguero","25","do DO","L","L","6' 5""","260","Feb 22, 1987","2","17","15","17","12","0","0","0","0","0","0","2","0","11","12","4","1","1","-0.4","",""
"Óliver Pérez","30","mx MX","L","L","6' 3""","225","Aug 15, 1981","10","33","0","3","33","33","0","0","0","0","0","0","0","0","0","0","0","0","1.0","",""
"Stephen Pryor","22","us US","R","R","6' 4""","235","Jul 23, 1989","1st","27","0","0","26","27","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Erasmo Ramírez","22","ni NI","R","R","6' 0""","220","May 2, 1990","1st","16","8","1","16","16","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$480,000",""
"Trayvon Robinson","24","us US","B","R","5' 10""","200","Sep 1, 1987","2","46","39","46","46","0","0","0","0","0","0","46","0","0","46","0","2","0","0.5","",""
"Brendan Ryan","30","us US","R","R","6' 1""","190","Mar 26, 1982","6","141","134","141","138","0","0","0","0","0","138","0","0","0","0","0","2","1","3.4","$1,750,000",""
"Michael Saunders","25","ca CA","L","R","6' 4""","225","Nov 19, 1986","4","139","133","139","136","0","0","0","0","0","0","22","113","5","136","0","5","1","2.5","$489,100",""
"Kyle Seager","24","us US","L","R","6' 0""","216","Nov 3, 1987","2","155","153","155","152","0","0","0","18","138","0","0","0","0","0","2","2","0","2.8","$484,300",""
"George Sherrill","35","us US","L","L","6' 0""","225","Apr 19, 1977","9","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$1,100,000",""
"Justin Smoak","25","us US","B","L","6' 4""","220","Dec 5, 1986","3","132","130","132","131","0","0","131","0","0","0","0","0","0","0","1","0","0","-0.3","$495,100",""
"Ichiro Suzuki","38","jp JP","L","R","5' 11""","175","Oct 22, 1973","12","95","95","95","93","0","0","0","0","0","0","0","0","93","93","2","0","0","1.5","$17,000,000",""
"Eric Thames","25","us US","L","R","5' 11""","235","Nov 10, 1986","2","40","32","40","36","0","0","0","0","0","0","1","0","35","36","1","5","1","0.0","",""
"Carlos Triunfel","22","do DO","R","R","5' 11""","195","Feb 27, 1990","1st","10","5","10","9","0","0","0","2","0","7","0","0","0","0","0","2","0","0.1","",""
"Jason Vargas","29","us US","L","L","6' 0""","215","Feb 2, 1983","7","33","33","2","33","33","0","0","0","0","0","0","0","0","0","0","0","0","3.6","$4,850,000",""
"Casper Wells","27","us US","R","R","6' 2""","220","Nov 23, 1984","3","93","74","93","87","0","0","0","0","0","0","52","11","25","87","1","7","2","0.9","$488,200",""
"Tom Wilhelmsen","28","us US","R","R","6' 6""","220","Dec 16, 1983","2","73","0","4","73","73","0","0","0","0","0","0","0","0","0","0","0","0","2.1","$482,900",""
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
