"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Scott Alexander","33","us US","L","L","6' 2""","195","Jul 10, 1989","9","55","8","1","55","55","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","$1,200,000",""
"Patrick Bailey","24","us US","B","R","6' 0""","210","May 29, 1999","1st","97","85","97","94","0","94","0","0","0","0","0","0","0","0","1","5","0","0.8","",""
"Joey Bart","26","us US","R","R","6' 2""","238","Dec 15, 1996","4","30","26","30","30","0","30","0","0","0","0","0","0","0","0","0","1","0","-0.4","$735,000",""
"Matt Beaty","30","us US","L","R","6' 0""","215","Apr 28, 1993","5","4","1","4","1","1","0","0","0","0","0","0","0","0","0","3","3","0","-0.2","$1,250,000",""
"Tristan Beck","27","us US","R","R","6' 4""","165","Jun 24, 1996","1st","33","3","0","33","33","0","0","0","0","0","0","0","0","0","0","0","0","1.1","",""
"John Brebbia","33","us US","L","R","6' 1""","205","May 30, 1990","6","40","10","0","40","40","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$1,150,000",""
"Johan Camargo","29","pa PA","B","R","5' 11""","195","Dec 13, 1993","7","8","5","8","8","0","0","0","0","3","5","0","0","0","0","0","0","0","-0.2","",""
"Alex Cobb","35","us US","R","R","6' 3""","205","Oct 7, 1987","12","28","28","0","28","28","0","0","0","0","0","0","0","0","0","0","0","0","2.5","$9,000,000","All-Star"
"Michael Conforto","30","us US","L","R","6' 1""","215","Mar 1, 1993","8","125","115","125","110","0","0","0","0","0","0","18","0","96","110","13","10","0","0.7","$18,000,000",""
"Brandon Crawford","36","us US","L","R","6' 1""","223","Jan 21, 1987","13","94","85","93","93","1","0","0","0","0","92","0","0","0","0","0","6","0","-1.3","$16,000,000",""
"J.D. Davis","30","us US","R","R","6' 3""","218","Apr 27, 1993","7","144","126","144","126","0","0","15","0","116","0","0","0","0","0","14","14","2","0.9","$4,210,000",""
"Paul DeJong","29","us US","R","R","6' 0""","205","Aug 2, 1993","7","18","13","18","16","0","0","0","1","0","16","0","0","0","0","1","3","1","-0.4","$9,166,666",""
"Anthony DeSclafani","33","us US","R","R","6' 2""","195","Apr 18, 1990","9","19","18","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$12,000,000",""
