"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Matt Adams","26","us US","L","R","6' 3""","263","Aug 31, 1988","4","60","42","60","46","0","0","46","0","0","0","0","0","0","0","0","16","0","0.0","$534,000",""
"Dean Anna","28","us US","L","R","5' 11""","180","Nov 24, 1986","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","",""
"Matt Belisle","35","us US","R","R","6' 3""","230","Jun 6, 1980","12","34","0","32","34","34","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$3,500,000",""
"Peter Bourjos","28","us US","R","R","6' 1""","190","Mar 31, 1987","6","117","41","117","93","0","0","0","0","0","0","0","93","0","93","0","33","17","-0.8","$1,650,000",""
"Jonathan Broxton","31","us US","R","R","6' 4""","285","Jun 16, 1984","11","26","0","26","26","26","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$9,000,000",""
"Matt Carpenter","29","us US","L","R","6' 4""","224","Nov 26, 1985","5","154","151","154","152","0","0","3","11","146","0","0","0","0","0","0","3","0","5.0","$3,750,000",""
"Randy Choate","39","us US","L","L","6' 1""","205","Sep 5, 1975","15","71","0","66","71","71","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$3,000,000",""
"Steve Cishek","29","us US","R","R","6' 6""","220","Jun 18, 1986","6","27","0","27","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Tim Cooney","24","us US","L","L","6' 3""","195","Dec 19, 1990","1st","6","6","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.7","",""
"Tony Cruz","28","us US","R","R","5' 11""","215","Aug 18, 1986","5","69","30","69","53","0","51","0","0","3","0","0","0","0","0","0","28","2","-0.7","$775,000",""
"Ed Easley","29","us US","R","R","6' 0""","215","Dec 21, 1985","1st","4","1","4","3","0","3","0","0","0","0","0","0","0","0","0","2","0","-0.1","",""
"Greg Garcia","25","us US","L","R","6' 0""","200","Aug 8, 1989","2","49","14","49","25","0","0","0","10","4","12","0","0","0","0","0","29","2","0.4","",""
"Jaime García","28","mx MX","L","L","6' 2""","215","Jul 8, 1986","7","20","20","19","20","20","0","0","0","0","0","0","0","0","0","0","0","0","3.9","$9,250,000",""
