"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Willy Adames","25","do DO","R","R","6' 1""","219","Sep 2, 1995","4","41","37","41","40","0","0","0","0","0","40","0","0","0","0","0","1","0","0.6","",""
"Nick Anderson","30","us US","R","R","6' 4""","205","Jul 5, 1990","3","6","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Chris Archer","32","us US","R","R","6' 2""","195","Sep 26, 1988","9","6","5","1","6","6","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$6,500,000",""
"Shawn Armstrong","30","us US","R","R","6' 2""","225","Sep 11, 1990","7","11","0","1","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Randy Arozarena","26","cu CU","R","R","5' 11""","185","Feb 28, 1995","3","141","135","141","119","0","0","0","0","0","0","81","1","53","119","19","6","0","3.9","",""
"Shane Baz","22","us US","R","R","6' 2""","190","Jun 17, 1999","1st","3","3","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Mike Brosseau","27","us US","R","R","5' 11""","203","Mar 15, 1994","3","57","40","57","56","0","0","10","27","23","0","1","0","1","2","0","10","2","1.0","",""
"Vidal Bruján","23","do DO","B","R","5' 10""","180","Feb 9, 1998","1st","10","6","10","8","0","0","0","4","0","0","1","1","2","4","1","2","0","-0.6","",""
"Diego Castillo","27","do DO","R","R","6' 3""","268","Jan 18, 1994","4","37","0","3","37","37","0","0","0","0","0","0","0","0","0","0","0","0","0.8","",""
"JT Chargois","30","us US","B","R","6' 3""","200","Dec 3, 1990","4","25","0","2","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Ji Man Choi","30","kr KR","L","R","6' 1""","260","May 19, 1991","6","83","71","83","73","0","0","73","0","0","0","0","0","0","0","4","10","0","0.9","$2,450,000",""
"Adam Conley","31","us US","L","L","6' 3""","209","May 24, 1990","6","17","0","1","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Nelson Cruz","40","do DO","R","R","6' 2""","230","Jul 1, 1980","17","55","53","55","1","0","0","1","0","0","0","0","0","0","0","53","2","0","0.4","",""
