"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Manny Alexander","33","do DO","R","R","5' 10""","150","Mar 20, 1971","9","21","5","21","21","0","0","0","11","3","7","0","0","0","0","0","0","4","-0.1","",""
"Chad Allen","29","us US","R","R","6' 1""","195","Feb 6, 1975","6","20","15","20","13","0","0","0","0","0","0","12","0","1","13","5","5","0","-0.4","",""
"Carlos Almánzar","30","do DO","R","R","6' 2""","166","Nov 6, 1973","7","67","0","6","67","67","0","0","0","0","0","0","0","0","0","0","0","0","1.6","$420,000",""
"Danny Ardoin","29","us US","R","R","6' 0""","205","Jul 8, 1974","2","6","2","6","6","0","6","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Mike Bacsik","26","us US","L","L","6' 2""","225","Nov 11, 1977","4","3","3","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Rod Barajas","28","us US","R","R","6' 2""","250","Sep 5, 1975","6","108","102","108","107","0","105","2","0","0","0","0","0","0","0","0","1","2","0.4","$500,000",""
"Joaquín Benoit","26","do DO","R","R","6' 4""","250","Jul 26, 1977","4","28","15","2","28","28","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$335,000",""
"Nick Bierbrodt","26","us US","L","L","6' 5""","215","May 16, 1978","3","4","4","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Hank Blalock","23","us US","L","R","6' 1""","192","Nov 21, 1980","3","159","154","159","159","0","0","0","0","159","0","0","0","0","0","0","4","0","4.6","$550,000","All-Star"
"Doug Brocail","37","us US","L","R","6' 5""","220","May 16, 1967","10","43","0","4","43","43","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"Mickey Callaway","29","us US","R","R","6' 2""","190","May 13, 1975","5","4","3","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$320,000",""
"Jason Conti","29","us US","L","R","5' 11""","180","Jan 27, 1975","5","22","14","22","21","0","0","0","0","0","0","1","20","0","21","0","1","1","-0.4","",""
"Francisco Cordero","29","do DO","R","R","6' 3""","245","May 11, 1975","6","67","0","4","67","67","0","0","0","0","0","0","0","0","0","0","0","0","3.6","$2,000,000","All-Star"
"David Dellucci","30","us US","L","L","5' 10""","180","Oct 31, 1973","8","107","93","107","94","0","0","0","0","0","0","84","7","6","94","9","11","0","0.0","$750,000",""
"R.A. Dickey","29","us US","R","R","6' 3""","215","Oct 29, 1974","3","25","15","1","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0.0","$337,500",""
"Juan Domínguez","24","do DO","R","R","6' 2""","180","May 18, 1980","2","4","4","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.6","",""
"Ryan Drese","28","us US","R","R","6' 3""","245","Apr 5, 1976","4","34","33","2","34","34","0","0","0","0","0","0","0","0","0","0","0","0","5.1","",""
"Scott Erickson","36","us US","R","R","6' 4""","220","Feb 2, 1968","13","4","4","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Andy Fox","33","us US","L","R","6' 4""","205","Jan 12, 1971","9","12","2","12","7","0","0","0","3","2","0","1","0","1","2","1","3","5","-0.4","",""
"Frank Francisco","24","do DO","R","R","6' 2""","250","Sep 11, 1979","1st","45","0","5","45","45","0","0","0","0","0","0","0","0","0","0","0","0","1.5","",""
"Brad Fullmer","29","us US","L","R","6' 1""","185","Jan 17, 1975","8","76","65","76","4","0","0","4","0","0","0","0","0","0","0","66","10","0","-0.3","$1,000,000",""
"Rosman García","25","ve VE","R","R","6' 2""","215","Jan 3, 1979","2","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Adrián González","22","us US","L","L","6' 2""","215","May 8, 1982","1st","16","10","16","11","0","0","11","0","0","0","0","0","0","0","1","5","0","-0.1","",""
"Ken Huckaby","33","us US","R","R","6' 1""","205","Jan 27, 1971","4","16","12","16","16","0","16","0","0","0","0","0","0","0","0","0","1","0","-0.4","",""
"Travis Hughes","26","us US","R","R","6' 5""","235","May 25, 1978","1st","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Brian Jordan","37","us US","R","R","6' 1""","205","Mar 29, 1967","13","61","57","61","44","0","0","0","0","0","0","1","0","44","44","17","3","0","-0.7","$1,250,000",""
"Gerald Laird","24","us US","R","R","6' 1""","230","Nov 13, 1979","2","49","46","49","49","0","49","0","0","0","0","0","0","0","0","0","0","0","0.4","$300,000",""
"Colby Lewis","24","us US","R","R","6' 4""","240","Aug 2, 1979","3","3","3","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0.4","$337,500",""
