"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Anthony Alford","22","us US","R","R","6' 1""","215","Jul 20, 1994","1st","4","2","4","4","0","0","0","0","0","0","3","0","2","4","0","2","0","0.2","",""
"Brett Anderson","29","us US","L","L","6' 4""","230","Feb 1, 1988","9","7","7","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.3","",""
"Nori Aoki","35","jp JP","L","R","5' 9""","180","Jan 5, 1982","6","12","7","12","10","0","0","0","0","0","0","3","1","8","10","0","2","0","0.2","",""
"Danny Barnes","27","us US","L","R","6' 1""","215","Oct 21, 1989","2","60","0","4","60","60","0","0","0","0","0","0","0","0","0","0","0","0","1.2","",""
"Darwin Barney","31","us US","R","R","5' 10""","180","Nov 8, 1985","8","129","96","129","122","0","0","0","73","44","10","4","0","0","4","3","18","5","-0.3","$2,887,500",""
"José Bautista","36","do DO","R","R","6' 0""","205","Oct 19, 1980","14","157","155","157","145","0","0","1","0","8","0","0","0","143","143","11","2","0","-1.0","$18,000,000",""
"Jeff Beliveau","30","us US","L","L","6' 1""","190","Jan 17, 1987","5","19","0","0","19","19","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Joe Biagini","27","us US","R","R","6' 4""","230","May 29, 1990","2","44","18","4","44","44","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$543,000",""
"Mike Bolsinger","29","us US","R","R","6' 1""","215","Jan 29, 1988","4","11","5","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","-0.5","",""
"Leonel Campos","29","ve VE","R","R","6' 2""","215","Jul 17, 1987","4","13","0","0","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0.2","",""
"Ezequiel Carrera","30","ve VE","L","L","5' 11""","185","Jun 11, 1987","7","131","71","131","121","0","0","0","0","0","0","91","10","27","121","2","17","17","-0.1","$1,162,500",""
"Darrell Ceciliani","27","us US","L","L","6' 1""","220","Jun 22, 1990","3","3","1","3","2","0","0","0","0","0","0","1","1","0","2","1","1","1","0.2","",""
"Chris Coghlan","32","us US","L","R","6' 0""","195","Jun 18, 1985","9","36","22","36","29","0","0","0","3","18","0","8","0","0","8","1","10","1","-0.5","$535,000",""
"Taylor Cole","27","us US","R","R","6' 1""","200","Aug 20, 1989","1st","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Matt Dermody","26","us US","R","L","6' 5""","211","Jul 4, 1990","2","23","0","1","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"Josh Donaldson","31","us US","R","R","6' 1""","210","Dec 8, 1985","7","113","112","113","105","0","0","0","0","105","4","0","0","0","0","7","1","0","4.6","$17,000,000",""
"Marco Estrada","33","mx MX","R","R","6' 0""","180","Jul 5, 1983","10","33","33","2","33","33","0","0","0","0","0","0","0","0","0","0","0","0","1.7","$14,500,000",""
"Ryan Goins","29","us US","L","R","5' 10""","180","Feb 13, 1988","5","143","118","143","140","0","0","0","56","8","87","0","0","0","0","2","11","4","1.0","$548,200",""
"Jason Grilli","40","us US","R","R","6' 5""","235","Nov 11, 1976","15","26","0","3","26","26","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"J.A. Happ","34","us US","L","L","6' 5""","205","Oct 19, 1982","11","25","25","1","25","25","0","0","0","0","0","0","0","0","0","0","0","0","3.1","$13,000,000",""
"Lucas Harrell","32","us US","B","R","6' 2""","205","Jun 3, 1985","7","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","",""
"Teoscar Hernández","24","do DO","R","R","6' 2""","215","Oct 15, 1992","2","26","22","26","25","0","0","0","0","0","0","18","5","2","25","0","2","0","0.7","",""
"T.J. House","27","us US","R","L","6' 1""","205","Sep 29, 1989","4","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","",""
"J.P. Howell","34","us US","L","L","6' 0""","180","Apr 25, 1983","12","16","0","2","16","16","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$3,000,000",""
"Tom Koehler","31","us US","R","R","6' 2""","235","Jun 29, 1986","6","15","1","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Mat Latos","29","us US","R","R","6' 6""","245","Dec 9, 1987","9","3","3","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.2","",""
"Casey Lawrence","29","us US","R","R","6' 0""","180","Oct 28, 1987","1st","4","2","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","",""
"Dominic Leone","25","us US","R","R","5' 10""","215","Oct 26, 1991","4","65","0","5","65","65","0","0","0","0","0","0","0","0","0","0","0","0","2.0","$548,200",""
"Francisco Liriano","33","do DO","L","L","6' 3""","220","Oct 26, 1983","12","18","18","0","18","18","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$13,666,667",""
"Rafael Lopez","29","us US","L","R","5' 9""","200","Oct 2, 1987","3","24","17","24","24","0","24","0","0","1","0","0","0","0","0","0","1","0","0.3","",""
"Aaron Loup","29","us US","L","L","5' 11""","210","Dec 19, 1987","6","70","0","5","70","70","0","0","0","0","0","0","0","0","0","0","0","0","0.8","$1,125,000",""
"Luke Maile","26","us US","R","R","6' 3""","225","Feb 6, 1991","3","46","36","46","46","0","46","0","0","0","0","0","0","0","0","0","1","0","-0.1","",""
"Russell Martin","34","ca CA","R","R","5' 10""","215","Feb 15, 1983","12","91","87","91","89","0","83","0","0","10","0","0","0","0","0","0","3","0","1.7","$20,000,000",""
"Tim Mayza","25","us US","L","L","6' 3""","215","Jan 15, 1992","1st","19","0","1","19","19","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","",""
"Miguel Montero","33","ve VE","L","R","5' 11""","221","Jul 9, 1983","12","32","23","32","27","0","27","0","0","0","0","0","0","0","0","3","5","0","-0.6","",""
"Kendrys Morales","34","cu CU","B","R","6' 1""","242","Jun 20, 1983","11","150","141","150","12","0","0","12","0","0","0","0","0","0","0","129","9","0","0.0","$10,000,000",""
"Mike Ohlman","26","us US","R","R","6' 5""","240","Dec 14, 1990","1st","7","3","7","6","0","6","0","0","0","0","0","0","0","0","0","1","0","0.0","",""
"Roberto Osuna","22","mx MX","R","R","6' 2""","217","Feb 7, 1995","3","66","0","4","66","66","0","0","0","0","0","0","0","0","0","0","0","0","1.3","$552,400","All-Star"
"Ian Parmley","27","us US","L","L","5' 11""","175","Dec 19, 1989","1st","3","1","3","2","0","0","0","0","0","0","1","0","1","2","0","0","1","-0.1","",""
"Steve Pearce","34","us US","R","R","5' 11""","200","Apr 13, 1983","11","92","83","92","88","0","0","10","0","0","0","85","0","0","85","2","9","0","0.2","$6,250,000",""
"Kevin Pillar","28","us US","R","R","6' 0""","210","Jan 4, 1989","5","154","148","154","153","0","0","0","0","0","0","0","153","0","153","0","2","0","3.0","$555,000",""
"Carlos Ramírez","26","do DO","R","R","6' 5""","205","Apr 24, 1991","1st","12","0","0","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0.5","",""
"Rob Refsnyder","26","kr KR","R","R","6' 0""","203","Mar 26, 1991","3","32","14","32","22","0","0","2","18","0","0","2","0","1","3","5","6","5","-0.2","",""
