"Name","Age","X","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","X1B","X2B","X3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary","X.1"
"Aaron Barrett","26","us US","R","R","6' 3""","230","Jan 2, 1988","1st","50","0","46","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0.4","",""
"Jerry Blevins","30","us US","L","L","6' 4""","182","Sep 6, 1983","8","64","0","62","64","64","0","0","0","0","0","0","0","0","0","0","0","0","-0.4","$1,675,000",""
"Asdrúbal Cabrera","28","ve VE","B","R","6' 0""","235","Nov 13, 1985","8","49","48","49","48","0","0","0","48","0","1","0","0","0","0","0","1","0","0.4","",""
"Xavier Cedeño","27","pr PR","L","L","5' 11""","210","Aug 26, 1986","4","9","0","9","9","9","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","$507,800",""
"Tyler Clippard","29","us US","R","R","6' 3""","200","Feb 14, 1985","8","75","0","72","75","75","0","0","0","0","0","0","0","0","0","0","0","0","1.5","$5,875,000","All-Star"
"Ian Desmond","28","us US","R","R","6' 3""","217","Sep 20, 1985","6","154","154","154","154","0","0","0","0","0","154","0","0","0","0","0","0","0","4.1","$6,500,000",""
"Ross Detwiler","28","us US","R","L","6' 5""","210","Mar 6, 1986","7","47","0","44","47","47","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","$3,000,000",""
"Greg Dobbs","35","us US","L","R","6' 1""","205","Jul 2, 1978","11","21","3","21","3","0","0","3","0","0","0","0","0","0","0","0","18","0","-0.3","",""
"Danny Espinosa","27","us US","B","R","6' 0""","205","Apr 25, 1987","5","114","85","114","100","0","0","0","89","0","12","0","0","0","0","0","14","4","-0.1","$540,580",""
"Doug Fister","30","us US","L","R","6' 8""","210","Feb 4, 1984","6","26","25","24","25","25","0","0","0","0","0","0","0","0","0","0","1","0","4.1","$7,200,000",""
"Kevin Frandsen","32","us US","R","R","6' 0""","190","May 24, 1982","8","105","42","105","58","0","0","9","13","16","0","21","0","0","21","0","52","2","-0.6","$900,000",""
"Gio Gonzalez","28","us US","R","L","6' 0""","205","Sep 19, 1985","7","27","27","24","27","27","0","0","0","0","0","0","0","0","0","0","0","0","1.9","$8,500,000",""
"Scott Hairston","34","us US","R","R","6' 0""","200","May 25, 1980","11","61","12","61","16","0","0","0","0","0","0","15","0","1","16","1","47","1","-0.7","$2,500,000",""
"Bryce Harper","21","us US","L","R","6' 3""","210","Oct 16, 1992","3","100","94","100","98","0","0","0","0","0","0","90","7","10","98","0","2","0","1.0","$2,150,000",""
"Taylor Hill","25","us US","R","R","6' 3""","230","Mar 12, 1989","1st","3","1","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","-0.3","",""
"Taylor Jordan","25","us US","R","R","6' 5""","210","Jan 17, 1989","2","5","5","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","-0.6","$504,300",""
"Jeff Kobernus","26","us US","R","R","6' 2""","190","Jun 30, 1988","2","4","2","4","3","0","0","0","3","0","0","0","0","0","0","0","0","1","0.0","$501,000",""
"Adam LaRoche","34","us US","L","L","6' 2""","205","Nov 6, 1979","11","140","136","140","136","0","0","136","0","0","0","0","0","0","0","1","4","0","2.4","$12,000,000",""
"Sandy León","25","ve VE","B","R","5' 10""","235","Mar 13, 1989","3","20","17","20","20","0","20","0","0","0","0","0","0","0","0","0","1","0","0.1","$501,000",""
"José Lobatón","29","ve VE","B","R","6' 1""","212","Oct 21, 1984","5","66","58","66","64","0","64","0","0","0","0","0","0","0","0","0","2","0","0.7","$900,000",""
"Ryan Mattheus","30","us US","R","R","6' 3""","220","Nov 10, 1983","4","7","0","6","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0.3","$520,000",""
"Nate McLouth","32","us US","L","R","5' 10""","190","Oct 28, 1981","10","79","33","79","50","0","0","0","0","0","0","28","9","16","50","1","30","3","-0.7","$5,000,000",""
"Tyler Moore","27","us US","R","R","6' 2""","220","Jan 30, 1987","3","42","20","42","27","0","0","24","0","0","0","4","0","0","4","0","16","2","0.2","$507,900",""
"Wilson Ramos","26","ve VE","R","R","6' 1""","241","Aug 10, 1987","5","88","88","88","87","0","87","0","0","0","0","0","0","0","0","1","0","0","1.4","$2,095,000",""
"Anthony Rendon","24","us US","R","R","6' 1""","200","Jun 6, 1990","2","153","151","153","152","0","0","0","28","134","0","0","0","0","0","0","1","0","6.5","$1,800,000",""
"Tanner Roark","27","us US","R","R","6' 2""","238","Oct 5, 1986","2","31","31","29","31","31","0","0","0","0","0","0","0","0","0","0","0","0","4.5","$506,100",""
"Nate Schierholtz","30","us US","L","R","6' 2""","215","Feb 15, 1984","8","23","6","23","10","0","0","0","0","0","0","4","2","6","10","0","14","1","0.1","",""
"Rafael Soriano","34","do DO","R","R","6' 4""","230","Dec 19, 1979","13","64","0","60","64","64","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$11,000,000",""
"Steven Souza Jr.","25","us US","R","R","6' 4""","225","Apr 24, 1989","1st","21","4","21","13","0","0","0","0","0","0","4","1","8","13","0","8","2","-0.1","",""
"Denard Span","30","us US","L","L","6' 0""","210","Feb 27, 1984","7","147","144","147","147","0","0","0","0","0","0","0","147","0","147","0","0","0","4.3","$6,500,000",""
"Craig Stammen","30","us US","R","R","6' 2""","228","Mar 9, 1984","6","49","0","46","49","49","0","0","0","0","0","0","0","0","0","0","0","0","0.2","$1,375,000",""
"Drew Storen","26","us US","B","R","6' 1""","200","Aug 11, 1987","5","65","0","62","65","65","0","0","0","0","0","0","0","0","0","0","0","0","2.5","$3,450,000",""
"Stephen Strasburg","25","us US","R","R","6' 5""","239","Jul 20, 1988","5","34","34","33","34","34","0","0","0","0","0","0","0","0","0","0","0","0","3.3","$3,975,000",""
"Michael A. Taylor","23","us US","R","R","6' 4""","215","Mar 26, 1991","1st","17","8","17","14","0","0","0","0","0","0","0","10","5","14","0","5","0","-0.1","",""
"Matt Thornton","37","us US","L","L","6' 6""","235","Sep 15, 1976","11","18","0","17","18","18","0","0","0","0","0","0","0","0","0","0","0","0","0.7","$3,500,000",""
"Blake Treinen","26","us US","R","R","6' 5""","225","Jun 30, 1988","1st","15","7","15","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0.9","",""
"Zach Walters","24","us US","B","R","6' 2""","210","Sep 5, 1989","2","32","3","32","8","0","0","0","1","3","3","1","0","0","1","1","23","1","0.4","",""
"Jayson Werth","35","us US","R","R","6' 5""","235","May 20, 1979","12","147","142","147","139","0","0","0","0","0","0","0","0","139","139","5","5","0","4.2","$20,000,000",""
"Ryan Zimmerman","29","us US","R","R","6' 3""","215","Sep 28, 1984","10","61","56","61","55","0","0","5","0","23","0","30","0","0","30","2","4","0","0.4","$14,000,000",""
"Jordan Zimmermann","28","us US","R","R","6' 2""","225","May 23, 1986","6","32","32","30","32","32","0","0","0","0","0","0","0","0","0","0","0","0","4.8","$7,500,000","All-Star"
"Name","Age","","B","T","Ht","Wt","DoB","Yrs","G","GS","Batting","Defense","P","C","1B","2B","3B","SS","LF","CF","RF","OF","DH","PH","PR","WAR","Salary",""
