"Rank","Triples","HomeRuns","StolenBases","BaseOnBalls","Strikeouts","BattingAverage","OnBasePercentage","SluggingPercentage","OnBasePlusSlugging","IntentionalWalks","GamesStarted","BattingStats","DefenseStats","WinsAboveReplacement","Top100Status"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,3,27,0.5,"No"
41,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,7,0,"No"
42,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,11,-0.2,"No"
54,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,4,0,5,0.1,"No"
53,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,4,-0.4,"No"
24,0,0,0,0,1,0.2,0.2,0.2,0.4,0,33,2,33,4.5,"No"
26,0,0,0,0,1,0,0,0,0,0,33,2,33,-0.8,"No"
23,0,0,0,0,2,0,0,0,0,0,32,2,33,-0.1,"No"
26,0,0,0,3,23,0.133,0.175,0.167,0.341,0,34,30,34,0,"No"
25,0,0,0,3,36,0.063,0.106,0.063,0.17,0,31,29,31,2.3,"No"
23,0,0,0,2,33,0.068,0.098,0.068,0.166,0,30,29,30,1.6,"No"
30,0,1,0,0,20,0.119,0.116,0.19,0.307,0,26,24,26,2.5,"No"
26,0,0,0,0,1,0,0,0,0,0,34,2,35,2.4,"No"
54,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,25,-0.1,"No"
46,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,2,28,-0.2,"No"
48,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,24,1,"No"
59,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,1,6,0.4,"No"
31,0,0,0,0,0,0,0,0,0,0,1,3,3,-0.4,"No"
26,0,0,0,0,4,0,0,0,0,0,8,7,8,-0.3,"No"
32,0,0,0,2,5,0.143,0.25,0.143,0.393,0,8,11,11,1,"No"
33,0,1,0,0,1,0.333,0.333,1.333,1.667,0,2,4,4,-0.5,"No"
24,0,0,0,0,2,0,0,0,0,0,1,4,3,-0.1,"No"
21,0,0,0,0,1,0.1,0.1,0.1,0.2,0,2,8,7,-0.2,"No"
16,0,0,0,14,18,0.278,0.363,0.324,0.687,1,34,44,43,0.3,"No"
16,1,2,0,14,16,0.271,0.392,0.376,0.769,0,25,31,29,0.5,"No"
1,1,13,0,65,107,0.27,0.373,0.414,0.786,11,128,133,131,3.4,"No"
1,1,10,0,45,78,0.238,0.318,0.364,0.682,1,109,115,113,2.5,"No"
1,0,3,0,53,57,0.191,0.323,0.254,0.577,5,89,93,92,0.2,"No"
13,0,7,0,32,38,0.238,0.355,0.403,0.758,1,55,63,62,1.8,"No"
12,0,1,1,16,24,0.194,0.285,0.252,0.537,2,42,53,46,-0.2,"No"
12,0,6,0,12,29,0.21,0.298,0.371,0.669,0,36,51,39,0.6,"No"
20,0,1,1,3,7,0.313,0.371,0.5,0.871,0,8,11,11,0.2,"No"
13,0,1,0,26,37,0.272,0.378,0.344,0.722,1,43,66,45,0.3,"No"
41,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,15,0,15,2.1,"No"
29,0,0,0,1,3,0,0.2,0,0.2,0,32,2,32,2.7,"No"
29,0,0,0,0,2,0,0,0,0,0,23,1,23,1,"No"
23,0,0,0,1,5,0,0.167,0,0.167,0,15,3,18,0,"No"
20,0,0,0,0,7,0.083,0.083,0.083,0.167,0,1,7,5,-0.3,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,1,-0.2,"No"
47,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,16,16,0.4,"No"
52,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,60,65,0.8,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,35,36,-0.7,"No"
32,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,22,1.2,"No"
42,0,0,0,0,1,0,0,0,0,0,0,57,61,0.2,"No"
41,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,75,1.9,"No"
45,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,70,0.9,"No"
41,0,0,0,0,1,0,0,0,0,0,0,7,7,-0.1,"No"
33,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,2,0,2,0.1,"No"
1,1,9,0,19,37,0.3,0.339,0.43,0.769,2,105,113,107,1.4,"No"
12,0,2,1,6,29,0.219,0.243,0.304,0.547,1,59,81,64,-1.4,"No"
1,1,4,0,9,40,0.254,0.286,0.348,0.633,2,65,72,64,-0.2,"No"
1,1,13,1,19,71,0.281,0.312,0.416,0.728,5,127,134,131,0.9,"No"
1,1,13,1,24,52,0.3,0.331,0.425,0.755,6,125,138,131,1.5,"No"
1,0,9,3,15,39,0.27,0.3,0.388,0.688,2,123,128,127,1,"No"
1,1,8,0,23,33,0.287,0.323,0.405,0.728,6,119,129,120,0.6,"No"
1,4,27,0,28,78,0.278,0.326,0.501,0.827,5,126,135,126,3.3,"No"
15,0,1,0,5,14,0.244,0.295,0.305,0.6,0,20,30,23,-0.4,"No"
1,1,17,1,11,76,0.272,0.297,0.425,0.722,2,123,134,119,1.8,"No"
37,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,58,0.6,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,10,0.2,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,12,-0.1,"No"
43,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,0,62,1.1,"No"
40,0,0,0,0,0,0.194117349256831,0.251743838540656,0.297272473550983,0.546554098786266,0,0,5,5,-0.5,"No"
36,0,0,0,0,1,0,0,0,0,0,0,32,36,0.7,"No"
33,0,0,0,1,0,0,0.5,0,0.5,0,0,30,32,0.9,"No"
18,0,1,0,2,15,0.129,0.2,0.258,0.458,0,5,26,20,-0.3,"No"
23,0,0,0,0,2,0,0,0,0,0,1,2,1,0,"No"
15,4,5,6,16,41,0.241,0.338,0.489,0.827,0,35,39,37,1.8,"No"
11,0,4,7,23,69,0.197,0.3,0.288,0.587,2,54,57,57,-0.2,"No"
6,5,19,5,32,104,0.272,0.34,0.516,0.856,2,92,107,106,1.7,"No"
9,1,8,3,36,91,0.181,0.295,0.333,0.628,0,57,105,79,-1,"No"
