Rank,Player,Team,Position,Year
1,Ronald Acuna Jr.,ATL,RF,2008
2,Mookie Betts,LAD,RF,2008
3,Freddie Freeman,LAD,1B,2008
4,Matt Olson,ATL,1B,2008
5,Kyle Tucker,HOU,RF,2008
6,Gerrit Cole,NYY,SP,2008
7,Juan Soto,SD,LF,2008
8,Austin Riley,ATL,3B,2008
9,Corey Seager,TEX,SS,2008
10,Marcus Semien,TEX,2B,2008
11,Blake Snell,SD,SP,2008
12,Julio Rodriguez,SEA,CF,2008
13,Yandy Diaz,TB,1B,2008
13,Ozzie Albies,ATL,2B,2008
15,Corbin Carroll,ARI,LF,2008
16,Alex Bregman,HOU,3B,2008
17,Kyle Schwarber,PHI,LF,2008
18,Zac Gallen,ARI,SP,2008
19,Francisco Lindor,NYM,SS,2008
20,Bobby Witt Jr.,KC,SS,2008
21,Adolis Garcia,TEX,RF,2008
22,Justin Steele,CHC,SP,2008
23,Rafael Devers,BOS,3B,2008
24,Christian Yelich,MIL,LF,2008
25,Yordan Alvarez,HOU,LF,2008
26,Luis Castillo,SEA,SP,2008
27,Pete Alonso,NYM,1B,2008
28,Cody Bellinger,CHC,CF,2008
29,Kyle Bradish,BAL,SP,2008
30,Adley Rutschman,BAL,C,2008
31,Clayton Kershaw,LAD,SP,2008
32,Jose Ramirez,CLE,3B,2008
33,William Contreras,MIL,C,2008
34,Kodai Senga,NYM,SP,2008
35,Max Muncy,LAD,3B,2008
36,Kevin Gausman,TOR,SP,2008
37,Logan Webb,SF,SP,2008
38,Devin Williams,MIL,RP,2008
39,Trea Turner,PHI,SS,2008
40,Zack Wheeler,PHI,SP,2008
41,Luis Arraez,MIA,2B,2008
42,Marcell Ozuna,ATL,DH,2008
42,Nico Hoerner,CHC,2B,2008
44,Ketel Marte,ARI,2B,2008
45,Nathaniel Lowe,TEX,1B,2008
46,Sonny Gray,MIN,SP,2008
47,Christian Walker,ARI,1B,2008
48,Spencer Strider,ATL,SP,2008
49,Zach Eflin,TB,SP,2008
50,Felix Bautista,BAL,RP,2008
51,Corbin Burnes,MIL,SP,2008
52,Randy Arozarena,TB,LF,2008
53,Nick Castellanos,PHI,RF,2008
54,George Kirby,SEA,SP,2008
55,Merrill Kelly,ARI,SP,2008
56,Lane Thomas,WSH,RF,2008
57,J.P. Crawford,SEA,SS,2008
