"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Carson Kelly","25","39","129","122","11","27","5","0","5","19","0","0","6","29",".221",".264",".385",".649","73","47","4","1","0","0","0"
"2","1B","Christian Walker","29","57","243","218","35","59","18","1","7","34","1","1","19","50",".271",".333",".459",".792","112","100","6","3","0","3","0"
"3","2B","Ketel Marte#","26","45","195","181","19","52","14","1","2","17","1","0","7","21",".287",".323",".409",".732","97","74","2","4","0","3","0"
"4","SS","Nick Ahmed","30","57","217","199","29","53","10","1","5","29","4","0","18","46",".266",".327",".402",".729","97","80","3","0","0","0","0"
"5","3B","Eduardo Escobar#","31","54","222","203","22","43","7","3","4","20","1","0","15","41",".212",".270",".335",".605","63","68","5","2","0","2","4"
"6","LF","David Peralta*","32","54","218","203","19","61","10","1","5","34","1","0","13","45",".300",".339",".433",".773","108","88","4","0","0","2","0"
"7","CF","Starling Marte","31","33","138","122","23","38","8","1","2","14","5","2","10","19",".311",".384",".443",".827","124","54","3","5","0","1","1"
"8","RF","Kole Calhoun*","32","54","228","190","35","43","9","0","16","40","1","1","28","50",".226",".338",".526",".864","130","100","6","6","0","4","0"
"9","DH","Daulton Varsho*","23","37","115","101","16","19","5","2","3","9","3","1","12","33",".188",".287",".366",".653","76","37","1","2","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","OF","Tim Locastro","27","33","82","69","15","20","4","1","2","7","4","0","8","14",".290",".395",".464",".859","133","32","0","4","1","0","0"
"11","C","Stephen Vogt*","35","26","81","72","6","12","5","0","1","7","0","0","8","18",".167",".247",".278",".525","43","20","1","0","0","1","0"
"12","UT","Josh Rojas*","26","17","70","61","9","11","0","0","0","2","1","1","7","16",".180",".257",".180",".437","22","11","1","0","0","2","0"
"13","OF","Jon Jay*","35","18","57","50","5","8","1","0","1","4","0","0","3","12",".160",".211",".240",".451","22","12","0","1","0","3","0"
"14","CI","Jake Lamb*","29","18","50","43","2","5","1","0","0","1","0","1","6","17",".116",".240",".140",".380","7","6","0","1","0","0","0"
"15","UT","Pavin Smith*","24","12","44","37","7","10","0","1","1","4","1","0","5","8",".270",".341",".405",".746","102","15","0","0","0","2","0"
"16","IF","Josh VanMeter*","25","12","41","36","6","7","2","0","1","5","0","0","4","8",".194",".293",".333",".626","70","12","0","1","0","0","0"
"17","UT","Andrew Young","26","12","34","26","3","5","2","0","1","4","0","0","5","10",".192",".382",".385",".767","110","10","0","3","0","0","0"
"18","3B","Wyatt Mathisen","26","9","33","27","5","6","0","0","2","5","0","0","5","12",".222",".364",".444",".808","118","12","0","1","0","0","0"
"19","IF","Ildemaro Vargas#","28","8","21","20","2","3","0","0","0","0","0","0","1","5",".150",".190",".150",".340","-5","3","1","0","0","0","0"
"20","DH","Kevin Cron","27","8","20","17","0","0","0","0","0","0","0","0","1","7",".000",".150",".000",".150","-54","0","0","2","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"21","P","Travis Bergen*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"22","P","Luke Weaver","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"23","P","Joel Payamps","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"24","P","Artie Lewicki","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Andrew Chafin","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Taylor Widener*","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Madison Bumgarner","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Junior Guerra","35","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Zac Gallen","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Archie Bradley","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Joe Mantiply","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Stefan Crichton","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Robbie Ray*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Kevin Ginkel*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Riley Smith","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Yoan López","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Matt Grace*","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Silvino Bracho","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Keury Mella","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Caleb Smith","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Taylor Clarke","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Héctor Rondón","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Merrill Kelly","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Alex Young*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Jeremy Beasley","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","29.2","60","2238","1997","269","482","101","12","58","255","23","7","181","461",".241",".312",".391",".704","90","781","37","36","1","23","5"
"","","Rank in 15 NL teams","","","","6","9","9","6","3","14","","9","2","13","2","10","12","10","11","","9","","3","","1",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
