"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Travis d'Arnaud","33","107","426","396","61","106","25","1","18","60","0","0","19","90",".268",".319",".472",".791","117","187","12","11","0","0","0"
"2","1B","Matt Olson*","28","162","699","616","86","148","44","0","34","103","0","0","75","170",".240",".325",".477",".802","120","294","13","4","0","4","6"
"3","2B","Ozzie Albies#","25","64","269","247","36","61","16","0","8","35","3","5","16","47",".247",".294",".409",".703","93","101","0","2","0","4","0"
"4","SS","Dansby Swanson","28","162","696","640","99","177","32","1","25","96","18","7","49","182",".277",".329",".447",".776","114","286","12","3","0","4","0"
"5","3B","Austin Riley","25","159","693","615","90","168","39","2","38","93","2","0","57","168",".273",".349",".528",".878","140","325","13","17","0","4","1"
"6","LF","Eddie Rosario*","30","80","270","250","27","53","12","1","5","24","3","0","17","68",".212",".259",".328",".587","62","82","3","0","0","3","0"
"7","CF","Michael Harris II*","21","114","441","414","75","123","27","3","19","64","20","2","21","107",".297",".339",".514",".853","133","213","7","5","1","0","0"
"8","RF","Ronald Acuna Jr.","24","119","533","467","71","124","24","0","15","50","29","11","53","126",".266",".351",".413",".764","112","193","8","10","0","3","4"
"9","DH","Marcell Ozuna","31","124","507","470","56","106","19","0","23","56","2","1","31","122",".226",".274",".413",".687","88","194","12","2","0","4","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","C","William Contreras","24","97","376","334","51","93","14","1","20","45","2","0","39","104",".278",".354",".506",".860","136","169","5","1","0","2","1"
"11","OF","Adam Duvall","33","86","315","287","39","61","16","1","12","36","0","2","21","101",".213",".276",".401",".677","86","115","2","5","0","2","0"
"12","2B","Orlando Arcia","27","67","234","209","25","51","9","0","9","30","0","0","21","51",".244",".316",".416",".733","102","87","7","2","0","2","0"
"13","OF","Robbie Grossman#","32","46","157","138","16","30","6","0","5","22","3","1","18","39",".217",".306",".370",".675","87","51","1","0","0","1","0"
"14","2B","Vaughn Grissom","21","41","156","141","24","41","6","0","5","18","5","2","11","34",".291",".353",".440",".792","119","62","0","3","0","1","1"
"15","RF","Travis Demeritte","27","26","96","89","9","19","2","0","3","6","0","0","6","32",".213",".260",".337",".597","65","30","2","0","0","1","0"
"16","OF","Guillermo Heredia","31","74","82","76","12","12","3","1","3","8","0","0","6","32",".158",".220",".342",".562","53","26","1","0","0","0","0"
"17","DH","Alex Dickerson*","32","13","36","33","3","4","0","0","1","2","0","0","3","9",".121",".194",".212",".407","13","7","3","0","0","0","0"
"18","2B","Robinson Canó*","39","9","27","26","1","4","1","0","0","0","0","0","1","4",".154",".185",".192",".377","6","5","2","0","0","0","0"
"19","2B","Phil Gosselin","33","12","24","23","4","6","0","0","0","0","0","0","1","6",".261",".292",".261",".553","56","6","0","0","0","0","0"
"20","C","Manny Piña","35","5","17","14","1","2","0","0","0","2","0","0","1","1",".143",".235",".143",".378","9","2","0","1","0","1","0"
"21","IF","Ehire Adrianza#","32","6","16","13","3","2","1","0","0","0","0","0","3","3",".154",".313",".231",".543","55","3","0","0","0","0","0"
"22","DH","Mike Ford*","29","5","8","7","0","0","0","0","0","0","0","0","1","2",".000",".125",".000",".125","-61","0","0","0","0","0","0"
"23","C","Chadwick Tromp","27","1","4","4","0","3","2","0","0","3","0","0","0","0",".750",".750","1.250","2.000","444","5","0","0","0","0","0"
"24","2B","Rylan Bannon","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Tucker Davidson*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
