"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Adley Rutschman#","25","154","687","588","84","163","31","1","20","80","1","2","92","101",".277",".374",".435",".809","128","256","14","2","0","5","6"
"2","1B","Ryan Mountcastle","26","115","470","423","64","114","21","1","18","68","3","1","37","107",".270",".328",".452",".779","117","191","13","3","0","7","1"
"3","2B","Adam Frazier*","31","141","455","412","59","99","21","2","13","60","11","4","32","68",".240",".300",".396",".696","94","163","4","4","4","2","0"
"4","SS","Jorge Mateo","28","116","350","318","58","69","14","2","7","34","32","5","22","82",".217",".267",".340",".607","70","108","8","1","5","3","0"
"5","3B","Ramón Urías","29","116","396","360","45","95","22","3","4","42","3","1","27","101",".264",".328",".375",".703","98","135","10","8","0","1","0"
"6","LF","Austin Hays","27","144","566","520","76","143","36","2","16","67","5","1","38","141",".275",".325",".444",".769","114","231","11","3","0","5","1"
"7","CF","Cedric Mullins*","28","116","455","404","51","94","23","3","15","74","19","3","43","101",".233",".305",".416",".721","101","168","6","1","3","4","1"
"8","RF","Anthony Santander#","28","153","656","591","81","152","41","1","28","95","5","1","55","152",".257",".325",".472",".797","121","279","11","6","0","4","1"
"9","DH","Ryan O'Hearn*","29","112","368","346","48","100","22","1","14","60","5","1","15","82",".289",".322",".480",".801","122","166","2","3","1","3","2"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","IF","Gunnar Henderson*","22","150","622","560","100","143","29","9","28","82","10","3","56","159",".255",".325",".489",".814","125","274","10","3","0","3","1"
"11","CF","Aaron Hicks#","33","65","236","200","35","55","7","1","7","31","6","0","35","49",".275",".381",".425",".806","127","85","3","0","0","1","1"
"12","IF","Jordan Westburg","24","68","228","208","26","54","17","2","3","23","4","1","16","56",".260",".311",".404",".715","100","84","3","1","0","3","0"
"13","C","James McCann","33","69","226","207","25","46","14","0","6","26","3","1","9","57",".222",".269",".377",".646","79","78","5","5","3","2","0"
"14","OF","Ryan McKenna","26","88","139","122","23","31","7","0","2","18","5","0","9","40",".254",".316",".361",".677","91","44","4","3","3","2","0"
"15","OF","Colton Cowser*","23","26","77","61","15","7","2","0","0","4","1","0","13","22",".115",".286",".148",".433","28","9","1","2","0","1","0"
"16","UT","Terrin Vavra*","26","27","56","49","9","12","0","0","0","5","1","0","5","12",".245",".315",".245",".560","62","12","5","0","2","0","0"
"17","IF","Joey Ortiz","24","15","34","33","4","7","1","0","0","4","0","0","0","9",".212",".206",".242",".448","26","8","2","0","0","1","0"
"18","OF","Kyle Stowers*","25","14","33","30","1","2","0","0","0","0","0","0","3","12",".067",".152",".067",".218","-35","2","1","0","0","0","0"
"19","OF","Heston Kjerstad*","24","13","33","30","3","7","1","0","2","3","0","0","2","10",".233",".281",".467",".748","106","14","0","0","0","0","0"
"20","CI","Josh Lester*","28","11","23","22","0","4","0","0","0","4","0","0","1","7",".182",".217",".182",".399","15","4","1","0","0","0","0"
"21","C","Anthony Bemboom*","33","6","13","11","0","2","0","0","0","0","0","0","2","2",".182",".308",".182",".490","44","2","0","0","0","0","0"
"22","C","Mark Kolozsvary","27","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"23","P","Yennier Cano","29","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"24","P","DL Hall*","24","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Jack Flaherty","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Kyle Bradish","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Kyle Gibson","35","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Cionel Pérez","27","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Danny Coulombe*","33","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Shintaro Fujinami","29","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Keegan Akin*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Jacob Webb","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Eduard Bazardo","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Dean Kremer","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Jorge López","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","John Means*","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Chris Vallimont","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Mychal Givens","33","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Tyler Wells","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Bruce Zimmermann*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Mike Baumann","27","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Reed Garrett","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Joey Krehbiel","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Logan Gillaspie","26","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Bryan Baker","28","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Nick Vespi*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Félix Bautista","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Austin Voth","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"49","P","Grayson Rodriguez*","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"50","P","Cole Irvin*","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","27.3","162","6123","5495","807","1399","309","28","183","780","114","24","512","1370",".255",".321",".421",".742","107","2313","114","45","21","47","14"
"","","Rank in 15 AL teams","","","","9","4","6","3","4","9","","6","5","9","4","6","7","7","8","","8","","15","","2",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
