"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Christian Vázquez","31","84","318","294","33","83","20","0","8","42","1","2","18","51",".282",".327",".432",".759","109","127","7","3","0","3","0"
"2","1B","Bobby Dalbec","27","117","353","317","40","68","9","2","12","39","3","0","29","118",".215",".283",".369",".652","80","117","5","3","0","4","0"
"3","2B","Trevor Story","29","94","396","357","53","85","22","0","16","66","13","0","32","122",".238",".303",".434",".737","102","155","9","3","0","4","4"
"4","SS","Xander Bogaerts","29","150","631","557","84","171","38","0","15","73","8","2","57","118",".307",".377",".456",".833","131","254","14","10","0","7","2"
"5","3B","Rafael Devers*","25","141","614","555","84","164","42","1","27","88","3","1","50","114",".295",".358",".521",".879","141","289","14","6","0","3","11"
"6","LF","Alex Verdugo*","26","152","644","593","75","166","39","1","11","74","1","3","42","86",".280",".328",".405",".732","102","240","14","3","0","6","2"
"7","CF","Enrique Hernández","30","93","402","361","48","80","24","0","6","45","0","2","34","71",".222",".291",".338",".629","75","122","11","3","0","4","0"
"8","RF","Jackie Bradley Jr.*","32","91","290","271","21","57","19","1","3","29","2","3","17","58",".210",".257",".321",".578","60","87","3","0","2","0","0"
"9","DH","J.D. Martinez","34","139","596","533","76","146","43","1","16","62","0","0","52","145",".274",".341",".448",".790","117","239","20","5","0","5","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","2B","Christian Arroyo","27","87","300","280","32","80","16","1","6","36","5","1","13","49",".286",".322",".414",".736","103","116","7","3","2","2","2"
"11","1B","Franchy Cordero*","27","84","275","242","36","53","17","1","8","29","4","1","28","92",".219",".300",".397",".697","92","96","1","1","2","2","1"
"12","LF","Tommy Pham","34","53","235","214","32","50","12","0","6","24","1","1","14","67",".234",".298",".374",".672","86","80","7","6","0","1","0"
"13","CF","Jarren Duran*","25","58","223","204","23","45","14","3","3","17","7","1","14","63",".221",".283",".363",".645","78","74","1","4","0","1","0"
"14","OF","Rob Refsnyder","31","57","177","153","25","47","11","0","6","21","1","1","15","46",".307",".384",".497",".881","143","76","1","6","0","3","0"
"15","C","Kevin Plawecki","31","60","175","157","15","34","8","0","1","12","0","0","14","28",".217",".287",".287",".574","61","45","5","2","1","1","0"
"16","C","Reese McGuire*","27","36","108","98","13","33","5","1","3","12","1","0","6","23",".337",".377",".500",".877","142","49","4","1","1","1","0"
"17","1B","Triston Casas*","22","27","95","76","11","15","1","0","5","12","1","0","19","23",".197",".358",".408",".766","113","31","4","0","0","0","0"
"18","C","Connor Wong","26","27","56","48","8","9","3","0","1","7","0","0","5","16",".188",".273",".313",".585","63","15","0","1","1","1","0"
"19","1B","Eric Hosmer*","32","14","50","45","6","11","3","0","0","4","0","0","4","9",".244",".320",".311",".631","77","14","2","1","0","0","0"
"20","2B","Yolmer Sanchez#","30","14","44","37","1","4","0","0","0","2","0","2","5","13",".108",".214",".108",".322","-6","4","0","0","2","0","0"
"21","IF","Jeter Downs","23","14","41","39","4","6","1","0","1","4","0","0","1","21",".154",".171",".256",".427","17","10","0","0","0","1","0"
"22","OF","Abraham Almonte#","33","15","37","35","7","9","2","0","1","2","1","0","1","12",".257",".297",".400",".697","92","14","1","1","0","0","0"
"23","OF","Jaylin Davis","27","12","27","24","4","8","1","0","0","2","0","0","3","11",".333",".407",".375",".782","120","9","0","0","0","0","0"
"24","IF","Yu Chang","26","11","26","20","3","3","2","0","0","1","0","0","5","7",".150",".346",".250",".596","70","5","1","1","0","0","0"
"25","DH","Travis Shaw*","32","7","19","19","0","0","0","0","0","0","0","0","0","7",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"26","MI","Jonathan Araúz#","23","6","12","10","1","0","0","0","0","1","0","0","0","3",".000",".000",".000",".000","-100","0","0","0","1","1","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
