"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Willson Contreras","28","57","225","189","37","46","10","0","7","26","1","2","20","57",".243",".356",".407",".763","106","77","6","14","0","2","1"
"2","1B","Anthony Rizzo*","30","58","243","203","26","45","6","0","11","24","3","1","28","38",".222",".342",".414",".755","103","84","6","10","0","2","4"
"3","2B","Jason Kipnis*","33","44","135","114","13","27","8","1","3","16","1","0","18","41",".237",".341",".404",".744","101","46","1","1","0","2","0"
"4","SS","Javier Báez","27","59","235","222","27","45","9","1","8","24","3","0","7","75",".203",".238",".360",".599","59","80","8","4","0","2","0"
"5","3B","David Bote","27","45","145","125","15","25","3","1","7","29","2","0","17","40",".200",".303",".408",".711","90","51","6","2","0","1","0"
"6","LF","Kyle Schwarber*","27","59","224","191","30","36","6","0","11","24","1","0","30","66",".188",".308",".393",".701","88","75","3","3","0","0","1"
"7","CF","Ian Happ#","25","57","231","198","27","51","11","1","12","28","1","3","30","63",".258",".361",".505",".866","131","100","1","2","1","0","1"
"8","RF","Jason Heyward*","30","50","181","147","20","39","6","2","6","22","2","0","30","37",".265",".392",".456",".848","129","67","1","2","0","2","1"
"9","DH","Víctor Caratini#","26","44","132","116","10","28","7","0","1","16","0","1","12","31",".241",".333",".328",".661","80","38","4","4","0","0","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","3B","Kris Bryant","28","34","147","131","20","27","5","1","4","11","0","0","12","40",".206",".293",".351",".644","73","46","1","4","0","0","0"
"11","2B","Nico Hoerner","23","48","126","108","19","24","4","0","0","13","3","2","12","24",".222",".312",".259",".571","57","28","3","3","0","2","0"
"12","OF","Cameron Maybin","33","18","56","52","3","13","4","1","0","5","3","0","3","12",".250",".304",".365",".669","80","19","1","1","0","0","0"
"13","CF","Albert Almora","26","28","34","30","4","5","1","0","0","1","0","0","3","9",".167",".265",".200",".465","29","6","0","1","0","0","0"
"14","OF","Steven Souza Jr.","31","11","31","27","3","4","2","0","1","5","1","0","4","15",".148",".258",".333",".591","58","9","0","0","0","0","0"
"15","DH","José Martínez","31","10","22","21","0","0","0","0","0","0","0","0","1","7",".000",".045",".000",".045","-86","0","1","0","0","0","0"
"16","DH","Josh Phegley","32","11","18","16","4","1","0","0","1","2","0","0","1","3",".063",".167",".250",".417","11","4","0","1","0","0","0"
"17","CF","Billy Hamilton#","29","14","11","10","6","3","0","0","1","1","3","1","1","4",".300",".364",".600",".964","154","6","0","0","0","0","0"
"18","IF","Ildemaro Vargas#","28","6","9","9","1","2","0","0","1","1","0","0","0","3",".222",".222",".556",".778","100","5","0","0","0","0","0"
"19","UT","Hernán Pérez","29","3","6","6","0","1","0","0","0","0","0","0","0","2",".167",".167",".167",".333","-9","1","0","0","0","0","0"
"20","1B","Patrick Wisdom","28","2","2","2","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"21","","Ian Miller*","28","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"22","P","Alec Mills","28","1","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"23","P","Colin Rea","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"24","P","Jon Lester*","36","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Jose Quintana","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Andrew Chafin","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Jeremy Jeffress","32","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","James Norwood","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Brailyn Márquez*","21","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Ryan Tepera","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Rex Brothers*","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Brad Wieck*","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Kyle Hendricks","30","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Jason Adam","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Craig Kimbrel","32","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Duane Underwood Jr.","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
