"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Yasmani Grandal#","31","46","194","161","27","37","7","0","8","27","0","0","30","58",".230",".351",".422",".773","112","68","4","1","0","2","0"
"2","1B","José Abreu","33","60","262","240","43","76","15","0","19","60","0","0","18","59",".317",".370",".617",".987","165","148","10","3","0","1","1"
"3","2B","Nick Madrigal","23","29","109","103","8","35","3","0","0","11","2","1","4","7",".340",".376",".369",".745","107","38","5","2","0","0","0"
"4","SS","Tim Anderson","27","49","221","208","45","67","11","1","10","21","5","2","10","50",".322",".357",".529",".886","140","110","4","2","0","1","0"
"5","3B","Yoán Moncada#","25","52","231","200","28","45","8","3","6","24","0","0","28","72",".225",".320",".385",".705","94","77","1","1","0","2","0"
"6","LF","Eloy Jiménez","23","55","226","213","26","63","14","0","14","41","0","0","12","56",".296",".332",".559",".891","139","119","4","0","0","1","0"
"7","CF","Luis Robert Jr.","22","56","227","202","33","47","8","0","11","31","9","2","20","73",".233",".302",".436",".738","100","88","4","1","0","2","0"
"8","RF","Nomar Mazara*","25","42","149","136","13","31","6","0","1","15","0","1","10","44",".228",".295",".294",".589","64","40","0","3","0","0","0"
"9","DH","Edwin Encarnación","37","44","181","159","19","25","5","0","10","19","0","0","16","54",".157",".250",".377",".627","70","60","3","4","0","1","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","2B","Danny Mendick","26","33","114","107","11","26","4","1","3","6","0","1","6","25",".243",".281",".383",".664","81","41","3","0","0","1","0"
"11","C","James McCann","30","31","111","97","20","28","3","0","7","15","1","1","8","30",".289",".360",".536",".896","143","52","2","4","0","2","0"
"12","RF","Adam Engel","28","36","93","88","11","26","5","1","3","12","1","0","3","19",".295",".333",".477",".811","120","42","1","2","0","0","0"
"13","UT","Leury García#","29","16","63","59","6","16","1","0","3","8","0","0","4","9",".271",".317",".441",".758","106","26","0","0","0","0","0"
"14","OF","Nicky Delmonico*","27","6","22","20","0","3","0","0","0","3","0","0","2","2",".150",".227",".150",".377","8","3","2","0","0","0","0"
"15","IF","Yolmer Sanchez#","28","11","21","16","7","5","3","0","1","1","0","0","5","5",".313",".476",".688","1.164","216","11","1","0","0","0","0"
"16","DH","Zack Collins*","25","9","18","16","1","1","1","0","0","0","0","0","2","5",".063",".167",".125",".292","-17","2","0","0","0","0","0"
"17","OF","Jarrod Dyson*","35","11","11","10","3","3","0","0","0","0","2","0","0","1",".300",".300",".300",".600","67","3","0","0","1","0","0"
"18","DH","Ryan Goins*","32","14","10","9","4","0","0","0","0","0","0","0","1","1",".000",".100",".000",".100","-69","0","0","0","0","0","0"
"19","OF","Luis González*","24","3","2","1","1","0","0","0","0","0","0","0","0","1",".000",".500",".000",".500","57","0","0","1","0","0","0"
"20","DH","Yermín Mercedes","27","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"21","3B","Cheslor Cuthbert","27","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"22","P","Jonathan Stiever","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"23","P","Ian Hamilton","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"24","P","Matt Foster","25","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Zack Burdi","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Carlos Rodón*","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Aaron Bummer*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Ross Detwiler","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Jimmy Cordero","28","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Bernardo Flores Jr.*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"31","P","Dallas Keuchel*","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"32","P","Steve Cishek","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"33","P","Garrett Crochet*","21","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"34","P","Alex Colomé","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Dylan Cease","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Codi Heuer","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Gio Gonzalez","34","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","José Ruiz","25","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Drew Anderson","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Kelvin Herrera","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Dane Dunning","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Reynaldo López","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Evan Marshall","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Jimmy Lambert","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Brady Lail","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"46","P","Lucas Giolito","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"47","P","Alex McRae","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"48","P","Jace Fry*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","27.7","60","2267","2047","306","534","94","6","96","294","20","8","179","571",".261",".326",".453",".779","112","928","44","24","1","13","1"
"","","Rank in 15 AL teams","","","","2","2","2","9","11","1","","12","6","11","14","2","5","1","2","","1","","8","","9",""
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
