"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Tucker Barnhart#","26","121","423","370","26","100","24","2","7","44","4","0","42","68",".270",".347",".403",".750","95","149","12","3","5","3","11"
"2","1B","Joey Votto*","33","162","707","559","106","179","34","1","36","100","5","1","134","83",".320",".454",".578","1.032","167","323","16","8","0","6","20"
"3","2B","Scooter Gennett*","27","141","497","461","80","136","22","3","27","97","3","2","30","114",".295",".342",".531",".874","123","245","15","4","0","2","1"
"4","SS","Zack Cozart","31","122","507","438","80","130","24","7","24","63","3","0","62","78",".297",".385",".548",".933","140","240","5","3","0","4","0"
"5","3B","Eugenio Suárez","25","156","632","534","87","139","25","2","26","82","4","5","84","147",".260",".367",".461",".828","115","246","16","9","0","5","1"
"6","LF","Adam Duvall","28","157","647","587","78","146","37","3","31","99","5","3","39","170",".249",".301",".480",".782","99","282","11","10","0","11","1"
"7","CF","Billy Hamilton#","26","139","633","582","85","144","17","11","4","38","59","13","44","133",".247",".299",".335",".634","66","195","5","0","5","2","0"
"8","RF","Scott Schebler*","26","141","531","473","63","110","25","2","30","67","5","3","39","125",".233",".307",".484",".791","102","229","7","14","0","5","5"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","MI","José Peraza","23","143","518","487","50","126","9","4","5","37","23","8","20","70",".259",".297",".324",".622","63","158","7","7","3","1","1"
"10","OF","Patrick Kivlehan","27","115","204","178","23","37","5","1","9","26","1","2","22","61",".208",".304",".399",".703","82","71","2","3","0","1","1"
"11","C","Devin Mesoraco","29","56","165","141","17","30","5","1","6","14","1","0","18","38",".213",".321",".390",".711","85","55","4","5","0","1","0"
"12","RF","Jesse Winker*","23","47","137","121","21","36","7","0","7","15","1","1","15","24",".298",".375",".529",".904","132","64","2","0","1","0","0"
"13","UT","Arismendy Alcántara#","25","70","108","105","13","18","3","1","1","7","2","0","2","38",".171",".187",".248",".435","12","26","2","0","1","0","0"
