"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Lou Marson","24","87","294","262","29","51","15","0","3","22","8","1","26","55",".195",".274",".286",".560","58","75","7","3","2","1","0"
"2","1B","Matt LaPorta","25","110","425","376","41","83","15","1","12","41","0","0","46","82",".221",".306",".362",".668","87","136","12","1","0","2","1"
"3","2B","Luis Valbuena*","24","91","310","275","22","53","12","0","2","24","1","2","28","61",".193",".273",".258",".531","50","71","5","3","2","2","1"
"4","SS","Asdrúbal Cabrera#","24","97","425","381","39","105","16","1","3","29","6","4","25","60",".276",".326",".346",".673","89","132","10","5","11","3","0"
"5","3B","Jhonny Peralta","28","91","373","334","37","82","23","2","7","43","1","0","32","69",".246",".308",".389",".698","94","130","7","1","0","6","1"
"6","LF","Austin Kearns","30","84","342","301","42","82","18","1","8","42","4","1","34","78",".272",".354",".419",".772","116","126","12","5","0","2","2"
"7","CF","Trevor Crowe#","26","122","479","442","48","111","24","3","2","36","20","7","29","73",".251",".302",".333",".634","78","147","13","3","5","0","1"
"8","RF","Shin-Soo Choo*","27","144","646","550","81","165","31","2","22","90","22","7","83","118",".300",".401",".484",".885","147","266","11","11","0","2","11"
"9","DH","Travis Hafner*","33","118","462","396","46","110","29","0","13","50","2","1","51","94",".278",".374",".449",".824","130","178","2","12","0","3","10"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","CF","Michael Brantley*","23","72","325","297","38","73","9","3","3","22","10","2","22","38",".246",".296",".327",".623","75","97","6","0","4","2","0"
"11","MI","Jason Donald","25","88","325","296","39","75","19","3","4","24","5","1","22","70",".253",".312",".378",".690","93","112","3","3","4","0","2"
