"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Elías Díaz","30","106","371","338","52","83","18","1","18","44","0","0","30","60",".246",".310",".464",".774","95","157","15","2","0","1","1"
"2","1B","C.J. Cron","31","142","547","470","70","132","31","1","28","92","1","0","60","117",".281",".375",".530",".905","129","249","11","13","0","4","3"
"3","2B","Brendan Rodgers","24","102","415","387","49","110","21","3","15","51","0","0","19","84",".284",".328",".470",".798","102","182","8","7","0","2","0"
"4","SS","Trevor Story","28","142","595","526","88","132","34","5","24","75","20","6","53","139",".251",".329",".471",".801","102","248","7","11","0","5","2"
"5","3B","Ryan McMahon*","26","151","596","528","80","134","32","1","23","86","6","2","59","147",".254",".331",".449",".779","98","237","14","4","0","5","2"
"6","LF","Raimel Tapia*","27","133","533","487","69","133","26","2","6","50","20","6","40","70",".273",".327",".372",".699","79","181","8","1","1","4","2"
"7","CF","Garrett Hampson","26","147","494","453","69","106","21","6","11","33","17","7","33","118",".234",".289",".380",".669","70","172","6","3","3","2","2"
"8","RF","Charlie Blackmon*","34","150","582","514","76","139","25","4","13","78","3","0","54","91",".270",".351",".411",".761","95","211","8","11","0","3","1"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"9","OF","Yonathan Daza","27","107","331","301","26","85","12","2","2","30","2","1","21","60",".282",".332",".355",".688","77","107","9","2","6","1","0"
"10","3B","Joshua Fuentes","28","95","284","271","30","61","11","1","7","33","0","0","12","65",".225",".257",".351",".608","54","95","5","0","0","1","1"
"11","C","Dom Nuñez*","26","81","263","228","31","43","12","3","10","33","0","0","34","91",".189",".293",".399",".692","75","91","0","0","0","1","4"
"12","CF","Sam Hilliard*","27","81","238","214","32","46","7","2","14","34","5","0","23","87",".215",".294",".463",".757","90","99","0","1","0","0","3"
"13","LF","Connor Joe","28","63","211","179","23","51","9","0","8","35","0","0","26","41",".285",".379",".469",".848","116","84","1","3","0","3","0"
"14","MI","Alan Trejo","25","28","50","46","7","10","2","0","1","3","0","0","3","15",".217",".260",".326",".586","49","15","2","0","0","1","1"
"15","UT","Chris Owings","29","21","50","43","9","14","4","3","1","5","2","1","7","15",".326",".420",".628","1.048","164","27","0","0","0","0","1"
"16","CI","Colton Welker","23","19","40","37","7","7","1","0","0","2","0","0","3","11",".189",".250",".216",".466","22","8","1","0","0","0","0"
"17","UT","Rio Ruiz*","27","30","40","35","1","6","1","0","0","4","0","0","3","9",".171",".225",".200",".425","11","7","0","0","0","2","0"
"18","1B","Matt Adams*","32","22","40","36","3","6","1","0","0","2","0","0","4","9",".167",".250",".194",".444","17","7","1","0","0","0","1"
"19","UT","Taylor Motter","31","13","22","20","2","3","0","0","0","0","0","0","2","6",".150",".227",".150",".377","0","3","1","0","0","0","0"
"20","LF","Ryan Vilade","22","3","7","6","0","0","0","0","0","0","0","0","1","1",".000",".143",".000",".143","-58","0","0","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"21","P","Germán Márquez","26","29","60","53","5","14","5","0","1","9","0","0","0","13",".264",".264",".415",".679","71","22","0","0","7","0","0"
"22","P","Antonio Senzatela","26","27","51","39","1","2","0","0","0","1","0","0","0","19",".051",".051",".051",".103","-73","2","0","0","12","0","0"
"23","P","Jon Gray","29","30","50","47","2","5","0","0","0","3","0","0","0","32",".106",".106",".106",".213","-45","5","0","0","3","0","0"
"24","P","Austin Gomber*","27","22","42","32","0","3","0","0","0","1","0","0","1","13",".094",".121",".094",".215","-43","3","1","0","9","0","0"
"25","P","Kyle Freeland*","28","23","40","33","3","6","1","0","0","4","0","0","2","17",".182",".222",".212",".434","13","7","0","0","4","1","0"
"26","P","Chi Chi González","29","24","34","31","3","5","1","0","0","1","0","0","1","16",".161",".188",".194",".381","-2","6","0","0","2","0","0"
"27","P","Jhoulys Chacín","33","44","7","6","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","1","0","0"
"28","P","Ashton Goudeau","28","11","6","6","0","1","0","0","0","0","0","0","0","4",".167",".167",".167",".333","-14","1","0","0","0","0","0"
"29","P","Yency Almonte","27","46","3","3","0","0","0","0","0","0","0","0","0","2",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"30","P","Peter Lambert","24","2","2","2","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"31","P","Ryan Castellani","25","1","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"32","P","Ryan Feltner","24","2","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0"
"33","P","Daniel Bard","36","64","1","1","1","1","0","0","0","0","0","0","0","0","1.000","1.000","1.000","2.000","418","1","0","0","0","0","0"
"34","P","Julian Fernández","25","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"35","P","Lucas Gilbreath*","25","43","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"36","P","Tyler Kinley","30","66","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"37","P","Jesús Tinoco","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"38","P","Antonio Santos","24","6","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"39","P","Carlos Estévez","28","61","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"40","P","Ben Bowden*","26","36","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"41","P","Robert Stephenson","28","46","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"42","P","Justin Lawrence","26","16","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"43","P","Zac Rosscup","33","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"44","P","Mychal Givens","31","31","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"45","P","Jordan Sheffield","26","30","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"","","Team Totals","28.1","161","6007","5374","739","1338","275","34","182","709","76","23","491","1356",".249",".317",".414",".731","86","2227","98","58","48","36","24"
"","","Rank in 15 NL teams","","","","7","5","4","3","2","9","","7","8","13","5","2","8","6","6","","6","","13","","8",""
"","","Non-Pitcher Totals","28.1","161","5709","5119","724","1301","268","34","181","690","76","23","487","1236",".254",".324",".426",".750","91","2180","97","58","10","35","24"
"","","Pitcher Totals","27.4","161","298","255","15","37","7","0","1","19","0","0","4","120",".145",".158",".184",".342","-12","47","1","0","38","1","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
