"Rk","Pos","Name","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS.","TB","GDP","HBP","SH","SF","IBB"
"1","C","Martín Maldonado","33","47","165","135","19","29","4","0","6","24","1","0","27","51",".215",".350",".378",".727","99","51","2","1","2","0","0"
"2","1B","Yuli Gurriel","36","57","230","211","27","49","12","1","6","22","0","1","12","27",".232",".274",".384",".658","77","81","6","2","0","5","0"
"3","2B","José Altuve","30","48","210","192","32","42","9","0","5","18","2","3","17","39",".219",".286",".344",".629","71","66","5","1","0","0","0"
"4","SS","Carlos Correa","25","58","221","201","22","53","9","0","5","25","0","0","16","49",".264",".326",".383",".709","93","77","4","3","0","1","2"
"5","3B","Alex Bregman","26","42","180","153","19","37","12","1","6","22","0","0","24","26",".242",".350",".451",".801","117","69","2","2","0","1","1"
"6","LF","Kyle Tucker*","23","58","228","209","33","56","12","6","9","42","8","1","18","46",".268",".325",".512",".837","124","107","2","0","0","1","2"
"7","CF","George Springer","30","51","222","189","37","50","6","2","14","32","1","2","24","38",".265",".359",".540",".899","141","102","3","5","0","2","0"
"8","RF","Josh Reddick*","33","56","210","188","22","46","11","1","4","23","1","0","20","42",".245",".316",".378",".693","89","71","5","0","0","1","0"
"9","DH","Michael Brantley*","33","46","187","170","24","51","15","0","5","22","2","0","17","28",".300",".364",".476",".840","127","81","3","0","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"10","IF","Abraham Toro#","23","33","97","87","13","13","2","0","3","9","1","1","3","23",".149",".237",".276",".513","40","24","1","7","0","0","0"
"11","CF","Myles Straw","25","33","86","82","8","17","4","0","0","8","6","2","4","22",".207",".244",".256",".500","37","21","0","0","0","0","0"
"12","UT","Aledmys Díaz","29","17","59","58","8","14","5","0","3","6","0","0","1","12",".241",".254",".483",".737","95","28","1","0","0","0","0"
"13","IF","Jack Mayfield","29","21","47","42","5","8","1","0","0","3","0","0","2","14",".190",".239",".214",".453","26","9","1","1","1","1","0"
"14","C","Dustin Garneau","32","17","46","38","4","6","0","1","1","4","0","0","6","15",".158",".273",".289",".562","54","11","1","0","2","0","0"
"15","DH","Taylor Jones","26","7","22","21","3","4","1","0","1","3","0","0","1","7",".190",".227",".381",".608","62","8","2","0","0","0","0"
"16","UT","Garrett Stubbs*","27","14","10","8","1","1","0","0","0","1","0","1","0","0",".125",".111",".125",".236","-35","1","0","0","1","1","0"
"17","DH","Yordan Álvarez*","23","2","9","8","2","2","0","0","1","4","0","0","0","1",".250",".333",".625",".958","153","5","1","1","0","0","0"
"Rk","Pos","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB"
"18","P","Justin Verlander","37","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"19","P","Blake Taylor*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"20","P","Joe Biagini","30","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"21","P","Andre Scrubb","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"22","P","Cionel Pérez*","24","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"23","P","Brooks Raley*","32","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"24","P","Brandon Bailey","25","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"25","P","Ryan Pressly","31","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"26","P","Josh James","27","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"27","P","Humberto Castellanos","22","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"28","P","Chris Devenski","29","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"29","P","Carlos Sanabria","23","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
"30","P","Lance McCullers Jr.*","26","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0"
